Date,Unit,Power,Down,Reason or Comment,Change in report(*),Number of Scrams(#)
1999-02-01,BEAVER VALLEY 1,98, ,CLEANING MAIN CONDENSER WATER BOXES,*, 
1999-02-01,BEAVER VALLEY 2,100, , , , 
1999-02-01,CALVERT CLIFFS 1,100, , , , 
1999-02-01,CALVERT CLIFFS 2,100, , , , 
1999-02-01,FITZPATRICK 1,100, , , , 
1999-02-01,GINNA 1,100, , , , 
1999-02-01,HOPE CREEK 1,100, , , , 
1999-02-01,INDIAN POINT 2,99, ,ADMINISTRATIVE POWER LIMIT, , 
1999-02-01,INDIAN POINT 3,100, , , , 
1999-02-01,LIMERICK 1,100, , , , 
1999-02-01,LIMERICK 2,100, , , , 
1999-02-01,MILLSTONE 2,0,1996-02-20,REFUELING OUTAGE, , 
1999-02-01,MILLSTONE 3,100, , , , 
1999-02-01,NINE MILE POINT 1,100, , , , 
1999-02-01,NINE MILE POINT 2,100, , , , 
1999-02-01,OYSTER CREEK 1,100, , ,*, 
1999-02-01,PEACH BOTTOM 2,100, , , , 
1999-02-01,PEACH BOTTOM 3,100, , , , 
1999-02-01,PILGRIM 1,100, , , , 
1999-02-01,SALEM 1,100, , , , 
1999-02-01,SALEM 2,100, , , , 
1999-02-01,SEABROOK 1,100, , , , 
1999-02-01,SUSQUEHANNA 1,100, , , , 
1999-02-01,SUSQUEHANNA 2,100, , , , 
1999-02-01,THREE MILE ISLAND 1,100, , , , 
1999-02-01,VERMONT YANKEE 1,100, , , , 
1999-02-01,BROWNS FERRY 1,0,1985-03-03,DEFUELED, , 
1999-02-01,BROWNS FERRY 2,100, , , , 
1999-02-01,BROWNS FERRY 3,100, , , , 
1999-02-01,BRUNSWICK 1,100, , , , 
1999-02-01,BRUNSWICK 2,100, , , , 
1999-02-01,CATAWBA 1,100, , , , 
1999-02-01,CATAWBA 2,100, , , , 
1999-02-01,CRYSTAL RIVER 3,100, , , , 
1999-02-01,FARLEY 1,100, , , , 
1999-02-01,FARLEY 2,100, , , , 
