Date,Unit,Power,Down,Reason or Comment,Change in report(*),Number of Scrams(#)
1999-09-01,BEAVER VALLEY 1,100, , , , 
1999-09-01,BEAVER VALLEY 2,100, , , , 
1999-09-01,CALVERT CLIFFS 1,100, , , , 
1999-09-01,CALVERT CLIFFS 2,100, , , , 
1999-09-01,FITZPATRICK 1,100, , , , 
1999-09-01,GINNA 1,100, , , , 
1999-09-01,HOPE CREEK 1,18, ,PREPARING SYNCHRONIZE GENERATOR,*, 
1999-09-01,INDIAN POINT 2,0,1999-08-31,AUTOMATIC REACTOR TRIP ON SPURIOUS OVERTEMPERATURE DIFFERENTIAL TEMPERATURE,*,1
1999-09-01,INDIAN POINT 3,89, ,COASTDOWN TO REFUELING OUTAGE,*, 
1999-09-01,LIMERICK 1,100, , , , 
1999-09-01,LIMERICK 2,100, , , , 
1999-09-01,MILLSTONE 2,91, ,REDUCED POWER FOR MAINTENANCE,*, 
1999-09-01,MILLSTONE 3,100, , , , 
1999-09-01,NINE MILE POINT 1,100, , , , 
1999-09-01,NINE MILE POINT 2,100, , , , 
1999-09-01,OYSTER CREEK 1,100, , , , 
1999-09-01,PEACH BOTTOM 2,100, ,., , 
1999-09-01,PEACH BOTTOM 3,89, ,COASTDOWN TO REFUELING OUTAGE,*, 
1999-09-01,PILGRIM 1,100, , , , 
1999-09-01,SALEM 1,84, ,COASTDOWN TO REFUELING OUTAGE,*, 
1999-09-01,SALEM 2,100, , , , 
1999-09-01,SEABROOK 1,100, , , , 
1999-09-01,SUSQUEHANNA 1,100, , , , 
1999-09-01,SUSQUEHANNA 2,100, , , , 
1999-09-01,THREE MILE ISLAND 1,100, , , , 
1999-09-01,VERMONT YANKEE 1,100, , , , 
1999-09-01,BROWNS FERRY 1,0,1985-03-03,DEFUELED, , 
1999-09-01,BROWNS FERRY 2,100, , ,*, 
1999-09-01,BROWNS FERRY 3,100, , , , 
1999-09-01,BRUNSWICK 1,0,1999-08-29,MAINTENANCE OUTAGE, , 
1999-09-01,BRUNSWICK 2,30, ,INCREASING POWER,*, 
1999-09-01,CATAWBA 1,100, , , , 
1999-09-01,CATAWBA 2,100, , , , 
1999-09-01,CRYSTAL RIVER 3,100, , , , 
1999-09-01,FARLEY 1,100, , , , 
1999-09-01,FARLEY 2,100, , , , 
1999-09-01,HARRIS 1,100, , , , 
1999-09-01,HATCH 1,100, , , , 
1999-09-01,HATCH 2,98, , , , 
1999-09-01,MCGUIRE 1,100, , , , 
1999-09-01,MCGUIRE 2,100, , , , 
1999-09-01,NORTH ANNA 1,100, , , , 
1999-09-01,NORTH ANNA 2,89, ,COASTDOWN TO REFUELING OUTAGE,*, 
1999-09-01,OCONEE 1,100, , , , 
1999-09-01,OCONEE 2,100, , , , 
1999-09-01,OCONEE 3,100, , , , 
1999-09-01,ROBINSON 2,93, ,COASTDOWN TO REFUELING OUTAGE,*, 
1999-09-01,SAINT LUCIE 1,100, , , , 
1999-09-01,SAINT LUCIE 2,100, , , , 
1999-09-01,SEQUOYAH 1,100, , , , 
1999-09-01,SEQUOYAH 2,100, , , , 
1999-09-01,SUMMER 1,100, , , , 
1999-09-01,SURRY 1,100, , , , 
1999-09-01,SURRY 2,100, , , , 
1999-09-01,TURKEY POINT 3,100, , , , 
1999-09-01,TURKEY POINT 4,100, , , , 
1999-09-01,VOGTLE 1,100, , , , 
1999-09-01,VOGTLE 2,100, , , , 
1999-09-01,WATTS BAR 1,100, , , , 
1999-09-01,BRAIDWOOD 1,100, , , , 
1999-09-01,BRAIDWOOD 2,100, , , , 
1999-09-01,BYRON 1,100, , , , 
1999-09-01,BYRON 2,100, , , , 
1999-09-01,CLINTON 1,100, , , , 
1999-09-01,COOK 1,0,1997-09-08,REFUELING OUTAGE - DEFUELED, , 
1999-09-01,COOK 2,0,1997-09-09,REFUELING OUTAGE - DEFUELED, , 
1999-09-01,DAVIS BESSE 1,100, , , , 
1999-09-01,DRESDEN 2,100, , , , 
1999-09-01,DRESDEN 3,100, , , , 
1999-09-01,DUANE ARNOLD 1,100, , , , 
