Date,Unit,Power,Down,Reason or Comment,Change in report(*),Number of Scrams(#)
1999-01-01,BEAVER VALLEY 1,100, , , , 
1999-01-01,BEAVER VALLEY 2,100, , , , 
1999-01-01,CALVERT CLIFFS 1,100, , , , 
1999-01-01,CALVERT CLIFFS 2,100, , , , 
1999-01-01,FITZPATRICK 1,90, ,Holding power level,*, 
1999-01-01,GINNA 1,100, , , , 
1999-01-01,HOPE CREEK 1,100, , , , 
1999-01-01,INDIAN POINT 2,99, , , , 
1999-01-01,INDIAN POINT 3,100, , , , 
1999-01-01,LIMERICK 1,100, , , , 
1999-01-01,LIMERICK 2,100, , , , 
1999-01-01,MILLSTONE 2,0,1996-02-20,REFUELING OUTAGE - LOADING FUEL,*, 
1999-01-01,MILLSTONE 3,25, ,Slowly increasing reactor power,*, 
1999-01-01,NINE MILE POINT 1,100, , , , 
1999-01-01,NINE MILE POINT 2,100, , ,*, 
1999-01-01,OYSTER CREEK 1,100, , , , 
1999-01-01,PEACH BOTTOM 2,100, , , , 
1999-01-01,PEACH BOTTOM 3,100, , , , 
1999-01-01,PILGRIM 1,100, , , , 
1999-01-01,SALEM 1,100, , , , 
1999-01-01,SALEM 2,100, , , , 
1999-01-01,SEABROOK 1,100, , , , 
1999-01-01,SUSQUEHANNA 1,100, , , , 
1999-01-01,SUSQUEHANNA 2,100, , , , 
1999-01-01,THREE MILE ISLAND 1,100, , , , 
1999-01-01,VERMONT YANKEE 1,100, , , , 
1999-01-01,BROWNS FERRY 1,0,1985-03-03,DEFUELED, , 
1999-01-01,BROWNS FERRY 2,100, , , , 
1999-01-01,BROWNS FERRY 3,100, , , , 
1999-01-01,BRUNSWICK 1,100, , , , 
1999-01-01,BRUNSWICK 2,100, , , , 
1999-01-01,CATAWBA 1,100, , , , 
1999-01-01,CATAWBA 2,100, , , , 
1999-01-01,CRYSTAL RIVER 3,100, , , , 
1999-01-01,FARLEY 1,49, ,Will adjust nuclear instrumentation before increasing reactor power level., , 
1999-01-01,FARLEY 2,100, , , , 
1999-01-01,HARRIS 1,100, , , , 
1999-01-01,HATCH 1,100, , , , 
1999-01-01,HATCH 2,98, ,Power is limited by turbine since reactor power uprate., , 
1999-01-01,MCGUIRE 1,100, , , , 
1999-01-01,MCGUIRE 2,100, , , , 
1999-01-01,NORTH ANNA 1,100, , , , 
1999-01-01,NORTH ANNA 2,100, , , , 
1999-01-01,OCONEE 1,100, , , , 
1999-01-01,OCONEE 2,100, , , , 
1999-01-01,OCONEE 3,0,1998-12-31,Automatic reactor trip during control rod drive breaker testing. See event #,*, 
1999-01-01,ROBINSON 2,100, , , , 
1999-01-01,SAINT LUCIE 1,100, , , , 
1999-01-01,SAINT LUCIE 2,100, , , , 
1999-01-01,SEQUOYAH 1,100, , , , 
1999-01-01,SEQUOYAH 2,100, , , , 
1999-01-01,SUMMER 1,100, , , , 
1999-01-01,SURRY 1,100, , , , 
1999-01-01,SURRY 2,100, , , , 
1999-01-01,TURKEY POINT 3,100, , , , 
1999-01-01,TURKEY POINT 4,100, , , , 
1999-01-01,VOGTLE 1,100, , , , 
1999-01-01,VOGTLE 2,100, , , , 
1999-01-01,WATTS BAR 1,100, , , , 
1999-01-01,BRAIDWOOD 1,100, , , , 
1999-01-01,BRAIDWOOD 2,100, , , , 
1999-01-01,BYRON 1,100, , , , 
1999-01-01,BYRON 2,100, , , , 
1999-01-01,CLINTON 1,0,1996-09-06,REFUELING OUTAGE, , 
1999-01-01,COOK 1,0,1997-09-08,MAINTENANCE OUTAGE, , 
1999-01-01,COOK 2,0,1997-09-09,REFUELING OUTAGE, , 
1999-01-01,DAVIS BESSE 1,100, , , , 
1999-01-01,DRESDEN 2,99, , , , 
1999-01-01,DRESDEN 3,99, , , , 
1999-01-01,DUANE ARNOLD 1,100, , , , 
1999-01-01,FERMI 2,96, ,ADMINISTRATIVE POWER LIMIT, , 
1999-01-01,KEWAUNEE 1,95, ,POWER LIMITED DUE TO STEAM GENERATOR TUBE PLUGGING, , 
1999-01-01,LASALLE 1,100, , , , 
1999-01-01,LASALLE 2,0,1996-09-20,REFUELING OUTAGE - DEFUELED, , 
1999-01-01,MONTICELLO 1,100, , , , 
1999-01-01,PALISADES 1,0,1998-12-14,Reducing reactor coolant system inventory to replace Reactor Coolant Pump "A,*, 
1999-01-01,PERRY 1,99, , ,*, 
1999-01-01,POINT BEACH 1,100, , , , 
1999-01-01,POINT BEACH 2,0,1998-12-04,REFUELING OUTAGE - DEFUELED, , 
1999-01-01,PRAIRIE ISLAND 1,100, , , , 
1999-01-01,PRAIRIE ISLAND 2,6, ,Reactor startup in progress.,*, 
1999-01-01,QUAD CITIES 1,100, , , , 
1999-01-01,QUAD CITIES 2,100, , , , 
1999-01-01,ARKANSAS NUCLEAR 1,0,1998-12-28,Manual Reactor Trip. See event 35199. Design team reviewing intake structu, , 
1999-01-01,ARKANSAS NUCLEAR 2,80, ,COASTDOWN TO REFUELING OUTAGE,*, 
1999-01-01,CALLAWAY 1,100, , , , 
1999-01-01,COMANCHE PEAK 1,100, , , , 
1999-01-01,COMANCHE PEAK 2,100, , , , 
1999-01-01,COOPER 1,100, , , , 
1999-01-01,DIABLO CANYON 1,100, , , , 
1999-01-01,DIABLO CANYON 2,100, , , , 
1999-01-01,FT CALHOUN 1,100, , , , 
1999-01-01,GRAND GULF 1,100, , , , 
1999-01-01,PALO VERDE 1,100, , , , 
1999-01-01,PALO VERDE 2,100, , , , 
1999-01-01,PALO VERDE 3,100, , , , 
1999-01-01,RIVER BEND 1,96, , , , 
1999-01-01,SAN ONOFRE 2,87, ,COASTDOWN TO REFUELING OUTAGE, , 
1999-01-01,SAN ONOFRE 3,100, , , , 
1999-01-01,SOUTH TEXAS 1,100, , , , 
1999-01-01,SOUTH TEXAS 2,100, , , , 
1999-01-01,WASHINGTON NUCLEAR 2,65, ,Economic dispatch., , 
1999-01-01,WATERFORD 3,100, , , , 
1999-01-01,WOLF CREEK 1,100, , , , 
1999-01-02,BEAVER VALLEY 1,100, , , , 
1999-01-02,BEAVER VALLEY 2,100, , , , 
1999-01-02,CALVERT CLIFFS 1,100, , , , 
1999-01-02,CALVERT CLIFFS 2,100, , , , 
1999-01-02,FITZPATRICK 1,90, ,Holding power level, , 
1999-01-02,GINNA 1,100, , , , 
1999-01-02,HOPE CREEK 1,100, , , , 
1999-01-02,INDIAN POINT 2,99, , , , 
1999-01-02,INDIAN POINT 3,100, , , , 
1999-01-02,LIMERICK 1,100, , , , 
1999-01-02,LIMERICK 2,100, , , , 
1999-01-02,MILLSTONE 2,0,1996-02-20,REFUELING OUTAGE - LOADING FUEL, , 
1999-01-02,MILLSTONE 3,75, ,Slowly increasing reactor power,*, 
1999-01-02,NINE MILE POINT 1,100, , , , 
1999-01-02,NINE MILE POINT 2,100, , , , 
1999-01-02,OYSTER CREEK 1,100, , , , 
1999-01-02,PEACH BOTTOM 2,65, ,REDUCED POWER FOR REPAIRS TO #3 CONTROL VALVE,*, 
1999-01-02,PEACH BOTTOM 3,100, , , , 
1999-01-02,PILGRIM 1,100, , , , 
1999-01-02,SALEM 1,100, , , , 
1999-01-02,SALEM 2,100, , , , 
1999-01-02,SEABROOK 1,100, , , , 
1999-01-02,SUSQUEHANNA 1,100, , , , 
1999-01-02,SUSQUEHANNA 2,100, , , , 
1999-01-02,THREE MILE ISLAND 1,100, , , , 
1999-01-02,VERMONT YANKEE 1,100, , , , 
1999-01-02,BROWNS FERRY 1,0,1985-03-03,DEFUELED, , 
1999-01-02,BROWNS FERRY 2,100, , , , 
1999-01-02,BROWNS FERRY 3,100, , , , 
1999-01-02,BRUNSWICK 1,100, , , , 
1999-01-02,BRUNSWICK 2,100, , , , 
1999-01-02,CATAWBA 1,100, , , , 
1999-01-02,CATAWBA 2,100, , , , 
1999-01-02,CRYSTAL RIVER 3,100, , , , 
1999-01-02,FARLEY 1,87, ,INCREASING POWER TO 90% FOR CALORIMETRIC,*, 
1999-01-02,FARLEY 2,100, , , , 
1999-01-02,HARRIS 1,100, , , , 
1999-01-02,HATCH 1,100, , , , 
1999-01-02,HATCH 2,98, ,Power is limited by turbine since reactor power uprate., , 
1999-01-02,MCGUIRE 1,100, , , , 
1999-01-02,MCGUIRE 2,100, , , , 
1999-01-02,NORTH ANNA 1,100, , , , 
1999-01-02,NORTH ANNA 2,100, , , , 
1999-01-02,OCONEE 1,100, , , , 
1999-01-02,OCONEE 2,100, , , , 
1999-01-02,OCONEE 3,15, ,PREPARING TO PLACE TURBINE GENERATOR ONLINE,*, 
1999-01-02,ROBINSON 2,100, , , , 
1999-01-02,SAINT LUCIE 1,100, , , , 
1999-01-02,SAINT LUCIE 2,100, , , , 
1999-01-02,SEQUOYAH 1,100, , , , 
1999-01-02,SEQUOYAH 2,100, , , , 
1999-01-02,SUMMER 1,100, , , , 
1999-01-02,SURRY 1,100, , , , 
1999-01-02,SURRY 2,100, , , , 
1999-01-02,TURKEY POINT 3,100, , , , 
1999-01-02,TURKEY POINT 4,100, , , , 
1999-01-02,VOGTLE 1,100, , , , 
1999-01-02,VOGTLE 2,100, , , , 
1999-01-02,WATTS BAR 1,84, ,REDUCING POWER TO 65% FOR REPAIR OF CONDENSER WATERBOX TUBE LEAK,*, 
1999-01-02,BRAIDWOOD 1,100, , , , 
1999-01-02,BRAIDWOOD 2,100, , , , 
1999-01-02,BYRON 1,100, , , , 
1999-01-02,BYRON 2,100, , , , 
1999-01-02,CLINTON 1,0,1996-09-06,REFUELING OUTAGE, , 
1999-01-02,COOK 1,0,1997-09-08,MAINTENANCE OUTAGE, , 
1999-01-02,COOK 2,0,1997-09-09,REFUELING OUTAGE, , 
1999-01-02,DAVIS BESSE 1,100, , , , 
1999-01-02,DRESDEN 2,99, , , , 
1999-01-02,DRESDEN 3,99, , , , 
1999-01-02,DUANE ARNOLD 1,100, , , , 
1999-01-02,FERMI 2,96, ,ADMINISTRATIVE POWER LIMIT, , 
1999-01-02,KEWAUNEE 1,95, ,POWER LIMITED DUE TO STEAM GENERATOR TUBE PLUGGING, , 
1999-01-02,LASALLE 1,100, , , , 
1999-01-02,LASALLE 2,0,1996-09-20,REFUELING OUTAGE - DEFUELED, , 
1999-01-02,MONTICELLO 1,100, , , , 
1999-01-02,PALISADES 1,0,1998-12-14,Reduced reactor coolant system inventory to replace Reactor Coolant Pump "A",*, 
1999-01-02,PERRY 1,99, , , , 
1999-01-02,POINT BEACH 1,100, , , , 
1999-01-02,POINT BEACH 2,0,1998-12-04,REFUELING OUTAGE - DEFUELED, , 
1999-01-02,PRAIRIE ISLAND 1,100, , , , 
1999-01-02,PRAIRIE ISLAND 2,18, ,GENERATOR ONLINE - HOLDING POWER FOR STARTUP TESTING,*, 
1999-01-02,QUAD CITIES 1,100, , , , 
1999-01-02,QUAD CITIES 2,100, , , , 
1999-01-02,ARKANSAS NUCLEAR 1,0,1998-12-28,Manual Reactor Trip. See event 35199. Design team reviewing intake structu, , 
1999-01-02,ARKANSAS NUCLEAR 2,80, ,COASTDOWN TO REFUELING OUTAGE, , 
1999-01-02,CALLAWAY 1,100, , , , 
1999-01-02,COMANCHE PEAK 1,100, , , , 
1999-01-02,COMANCHE PEAK 2,99, ,INCREASING POWER TO 100%,*, 
1999-01-02,COOPER 1,100, , , , 
1999-01-02,DIABLO CANYON 1,100, , , , 
1999-01-02,DIABLO CANYON 2,100, , , , 
1999-01-02,FT CALHOUN 1,100, , , , 
1999-01-02,GRAND GULF 1,100, , , , 
1999-01-02,PALO VERDE 1,100, , , , 
1999-01-02,PALO VERDE 2,100, , , , 
1999-01-02,PALO VERDE 3,100, , , , 
1999-01-02,RIVER BEND 1,96, , , , 
1999-01-02,SAN ONOFRE 2,85, ,COASTDOWN TO REFUELING OUTAGE,*, 
1999-01-02,SAN ONOFRE 3,100, , , , 
1999-01-02,SOUTH TEXAS 1,100, , , , 
1999-01-02,SOUTH TEXAS 2,100, , , , 
1999-01-02,WASHINGTON NUCLEAR 2,65, ,Economic dispatch., , 
