Date,Unit,Power,Down,Reason or Comment,Change in report (*),Number of Scrams (#)
2013-05-01,Beaver Valley 1,100, , , , 
2013-05-01,Beaver Valley 2,100, , , , 
2013-05-01,Calvert Cliffs 1,100, , , , 
2013-05-01,Calvert Cliffs 2,100, , , , 
2013-05-01,FitzPatrick,100, , , , 
2013-05-01,Ginna,100, , , , 
2013-05-01,Hope Creek 1,100, , , , 
2013-05-01,Indian Point 2,100, ,13.8 KV LINE 33332LM OOS, , 
2013-05-01,Indian Point 3,100, ,13.8 KV LINE 33332LM OOS, , 
2013-05-01,Limerick 1,100, , , , 
2013-05-01,Limerick 2,100, , , , 
2013-05-01,Millstone 2,100, , , , 
2013-05-01,Millstone 3,0,2013-04-13,REFUELING OUTAGE, , 
2013-05-01,Nine Mile Point 1,0,2013-04-14,REFUELING OUTAGE, , 
2013-05-01,Nine Mile Point 2,100, , , , 
2013-05-01,Oyster Creek,100, , , , 
2013-05-01,Peach Bottom 2,100, , , , 
2013-05-01,Peach Bottom 3,100, , , , 
2013-05-01,Pilgrim 1,0,2013-04-14,REFUELING OUTAGE, , 
2013-05-01,Salem 1,0,2013-04-14,REFUELING OUTAGE - CORE RELOAD IN PROGRESS,*, 
2013-05-01,Salem 2,100, , , , 
2013-05-01,Seabrook 1,100, ,ONE CONTINGENCY AWAY FROM BEING LIMITED TO 800MW, , 
2013-05-01,Susquehanna 1,97, ,VOLTAGE REGULATOR IN MANUAL - OUTPUT LIMITED TO 1300 MWE BY GRID OPERATOR,*, 
2013-05-01,Susquehanna 2,0,2013-04-13,REFUELING OUTAGE,*, 
2013-05-01,Three Mile Island 1,100, , , , 
2013-05-01,Vermont Yankee,100, , , , 
2013-05-01,Browns Ferry 1,100, , , , 
2013-05-01,Browns Ferry 2,0,2013-03-14,EXITING REFUEL OUTAGE, , 
2013-05-01,Browns Ferry 3,100, , , , 
2013-05-01,Brunswick 1,100, , , , 
2013-05-01,Brunswick 2,0,2013-03-02,REFUELING OUTAGE, , 
2013-05-01,Catawba 1,100, , , , 
2013-05-01,Catawba 2,100, , , , 
2013-05-01,Crystal River 3,0,2013-02-03,DEFUELED, , 
2013-05-01,Farley 1,100, , , , 
2013-05-01,Farley 2,0,2013-04-14,REFUELING OUTAGE,*, 
2013-05-01,Harris 1,100, , , , 
2013-05-01,Hatch 1,100, ,MONITORING SAFETY RELIEF VALVES, , 
2013-05-01,Hatch 2,100, , , , 
2013-05-01,McGuire 1,100, , , , 
2013-05-01,McGuire 2,100, , , , 
2013-05-01,North Anna 1,100, , , , 
2013-05-01,North Anna 2,0,2013-04-06,REFUELING OUTAGE - PERFORMING FINAL PASS ON TENSIONING RV HEAD BOLTS - ANTICIPATE ENTERING MODE 5 ON 5/1 DAY SHIFT,*, 
2013-05-01,Oconee 1,100, , , , 
2013-05-01,Oconee 2,100, , , , 
2013-05-01,Oconee 3,100, , , , 
2013-05-01,Robinson 2,100, , , , 
2013-05-01,Saint Lucie 1,100, , , , 
2013-05-01,Saint Lucie 2,100, , , , 
2013-05-01,Sequoyah 1,100, , , , 
2013-05-01,Sequoyah 2,100, , , , 
2013-05-01,Summer,100, , , , 
2013-05-01,Surry 1,100, , , , 
2013-05-01,Surry 2,100, , , , 
2013-05-01,Turkey Point 3,100, , , , 
