Date,Unit,Power,Down,Reason or Comment,Change in report (*),Number of Scrams (#)
2004-06-01,Beaver Valley 1,100, , , , 
2004-06-01,Beaver Valley 2,100, , , , 
2004-06-01,Calvert Cliffs 1,100, , , , 
2004-06-01,Calvert Cliffs 2,100, , , , 
2004-06-01,FitzPatrick,99, ,REDUCED POWER UNTIL ROD PATTERN ADJUSTMENTS MADE,*, 
2004-06-01,Ginna,100, , , , 
2004-06-01,Hope Creek 1,100, , , , 
2004-06-01,Indian Point 2,100, , , , 
2004-06-01,Indian Point 3,100, , , , 
2004-06-01,Limerick 1,100, , , , 
2004-06-01,Limerick 2,100, , , , 
2004-06-01,Millstone 2,100, , , , 
2004-06-01,Millstone 3,100, , , , 
2004-06-01,Nine Mile Point 1,100, , , , 
2004-06-01,Nine Mile Point 2,100, , , , 
2004-06-01,Oyster Creek,0,2004-05-26,RETURN TO POWER FOLLOWING MAINTENANCE OUTAGE,*, 
2004-06-01,Peach Bottom 2,100, , , , 
2004-06-01,Peach Bottom 3,100, , , , 
2004-06-01,Pilgrim 1,100, , , , 
2004-06-01,Salem 1,18, ,HOLDING FOR GENERATOR PHASE TO GRID,*, 
2004-06-01,Salem 2,36, ,INCREASING POWER,*, 
2004-06-01,Seabrook 1,100, , , , 
2004-06-01,Susquehanna 1,95, ,REDUCED POWER AT LOAD DISPATCHER REQUEST,*, 
2004-06-01,Susquehanna 2,100, , , , 
2004-06-01,Three Mile Island 1,100, , , , 
2004-06-01,Vermont Yankee,100, , , , 
2004-06-01,Browns Ferry 1,0,1985-03-03,DEFUELED, , 
2004-06-01,Browns Ferry 2,100, , , , 
2004-06-01,Browns Ferry 3,100, , , , 
2004-06-01,Brunswick 1,100, , , , 
2004-06-01,Brunswick 2,70, ,INCREASING POWER,*, 
2004-06-01,Catawba 1,100, , , , 
2004-06-01,Catawba 2,100, , , , 
2004-06-01,Crystal River 3,100, , , , 
2004-06-01,Farley 1,100, , , , 
2004-06-01,Farley 2,100, , , , 
2004-06-01,Harris 1,100, , , , 
2004-06-01,Hatch 1,100, , , , 
2004-06-01,Hatch 2,99, ,MAXIMUM OPERATING POWER,*, 
2004-06-01,McGuire 1,100, , , , 
