Date,Unit,Power,Down,Reason or Comment,Change in report (*),Number of Scrams (#)
2015-04-01,Beaver Valley 1,100, , , , 
2015-04-01,Beaver Valley 2,100, , , , 
2015-04-01,Calvert Cliffs 1,100, , , , 
2015-04-01,Calvert Cliffs 2,100, , , , 
2015-04-01,FitzPatrick,100, , , , 
2015-04-01,Ginna,100, , , , 
2015-04-01,Hope Creek 1,100, ,COASTDOWN TO REFUELING OUTAGE, , 
2015-04-01,Indian Point 2,100, , , , 
2015-04-01,Indian Point 3,92, ,HOLDING POWER FOR TESTING, , 
2015-04-01,Limerick 1,100, , , , 
2015-04-01,Limerick 2,83, ,COASTDOWN TO REFUELING OUTAGE, , 
2015-04-01,Millstone 2,70, ,ONE OFFSITE LINE OOS TO WORK ON OFFSITE TRANSFORMER,*, 
2015-04-01,Millstone 3,85, ,ONE OFFSITE LINE OOS TO WORK ON OFFSITE TRANSFORMER,*, 
2015-04-01,Nine Mile Point 1,0,2015-03-15,REFUELING OUTAGE, , 
2015-04-01,Nine Mile Point 2,100, , , , 
2015-04-01,Oyster Creek,100, , , , 
2015-04-01,Peach Bottom 2,92, ,HOLDING POWER FOR EPU TESTING, , 
2015-04-01,Peach Bottom 3,100, , , , 
2015-04-01,Pilgrim 1,100, , , , 
2015-04-01,Salem 1,98, ,TROUBLESHOOTING FEEDPUMP VIBRATION,*, 
2015-04-01,Salem 2,100, , , , 
2015-04-01,Seabrook 1,100, , , , 
2015-04-01,Susquehanna 1,100, , , , 
2015-04-01,Susquehanna 2,100, , , , 
2015-04-01,Three Mile Island 1,100, , , , 
2015-04-01,Browns Ferry 1,100, , , , 
2015-04-01,Browns Ferry 2,0,2015-03-13,REFUELING OUTAGE, , 
2015-04-01,Browns Ferry 3,100, , , , 
2015-04-01,Brunswick 1,100, , , , 
2015-04-01,Brunswick 2,0,2015-02-20,REFUELING OUTAGE, , 
2015-04-01,Catawba 1,100, , , , 
2015-04-01,Catawba 2,6, ,STARTUP IN PROGRESS,*, 
2015-04-01,Farley 1,0,2015-03-29,REFUELING OUTAGE, , 
2015-04-01,Farley 2,100, , , , 
2015-04-01,Harris 1,100, , , , 
2015-04-01,Hatch 1,17, ,STEAM LEAK REPAIR IN CONDENSER BAY,*, 
2015-04-01,Hatch 2,100, , , , 
2015-04-01,McGuire 1,100, , , , 
2015-04-01,McGuire 2,100, , , , 
2015-04-01,North Anna 1,100, , , , 
2015-04-01,North Anna 2,100, , , , 
2015-04-01,Oconee 1,100, , , , 
2015-04-01,Oconee 2,100, , , , 
2015-04-01,Oconee 3,100, , , , 
2015-04-01,Robinson 2,100, , , , 
2015-04-01,Saint Lucie 1,0,2015-03-22,REFUELING OUTAGE,*, 
2015-04-01,Saint Lucie 2,100, , , , 
2015-04-01,Sequoyah 1,75, ,COASTDOWN TO REFUELING OUTAGE, , 
2015-04-01,Sequoyah 2,100, , , , 
2015-04-01,Summer,100, , , , 
2015-04-01,Surry 1,100, ,COASTDOWN TO REFUELING OUTAGE,*, 
2015-04-01,Surry 2,100, , , , 
2015-04-01,Turkey Point 3,100, , , , 
2015-04-01,Turkey Point 4,100, , , , 
2015-04-01,Vogtle 1,100, , , , 
2015-04-01,Vogtle 2,100, , , , 
2015-04-01,Watts Bar 1,100, , , , 
2015-04-01,Braidwood 1,0,2015-03-29,REFUELING OUTAGE, , 
2015-04-01,Braidwood 2,100, , , , 
2015-04-01,Byron 1,100, , , , 
2015-04-01,Byron 2,100, , , , 
2015-04-01,Clinton,99, ,100% ELECTRICAL CAPABILITY, , 
2015-04-01,D.C. Cook 1,100, , , , 
2015-04-01,D.C. Cook 2,0,2015-03-25,REFUELING OUTAGE, , 
2015-04-01,Davis-Besse,100, , , , 
2015-04-01,Dresden 2,100, , , , 
2015-04-01,Dresden 3,100, , , , 
2015-04-01,Duane Arnold,100, , , , 
2015-04-01,Fermi 2,0,2015-03-19,REACTOR SCRAM SEE EN #50903, , 
2015-04-01,La Salle 1,100, , , , 
2015-04-01,La Salle 2,100, , , , 
2015-04-01,Monticello,95, ,EPU TESTING IN PROGRESS,*, 
2015-04-01,Palisades,100, , , , 
2015-04-01,Perry 1,0,2015-03-08,REFUELING OUTAGE, , 
2015-04-01,Point Beach 1,100, , , , 
2015-04-01,Point Beach 2,100, , , , 
2015-04-01,Prairie Island 1,100, , , , 
2015-04-01,Prairie Island 2,100, , , , 
2015-04-01,Quad Cities 1,100, , , , 
2015-04-01,Quad Cities 2,100, , , , 
2015-04-01,Arkansas Nuclear 1,100, , , , 
2015-04-01,Arkansas Nuclear 2,100, , , , 
2015-04-01,Callaway,100, , , , 
2015-04-01,Columbia Generating Station,100, , , , 
2015-04-01,Comanche Peak 1,100, , , , 
2015-04-01,Comanche Peak 2,100, , , , 
2015-04-01,Cooper,100, , , , 
2015-04-01,Diablo Canyon 1,100, , , , 
2015-04-01,Diablo Canyon 2,100, , , , 
2015-04-01,Fort Calhoun,100, , ,*, 
2015-04-01,Grand Gulf 1,100, , , , 
2015-04-01,Palo Verde 1,100, , , , 
2015-04-01,Palo Verde 2,100, , , , 
2015-04-01,Palo Verde 3,100, , , , 
2015-04-01,River Bend 1,89, ,INCREASING POWER,*, 
2015-04-01,South Texas 1,100, , , , 
2015-04-01,South Texas 2,0,2015-03-28,REFUELING OUTAGE, , 
2015-04-01,Waterford 3,100, , , , 
2015-04-01,Wolf Creek 1,0,2015-02-28,REFUELING OUTAGE, , 
2015-04-02,Beaver Valley 1,100, , , , 
2015-04-02,Beaver Valley 2,100, , , , 
2015-04-02,Calvert Cliffs 1,100, , , , 
2015-04-02,Calvert Cliffs 2,100, , , , 
2015-04-02,FitzPatrick,100, , , , 
2015-04-02,Ginna,100, , , , 
2015-04-02,Hope Creek 1,100, ,COASTDOWN TO REFUELING OUTAGE, , 
2015-04-02,Indian Point 2,100, , , , 
2015-04-02,Indian Point 3,100, , ,*, 
2015-04-02,Limerick 1,100, , , , 
2015-04-02,Limerick 2,83, ,COASTDOWN TO REFUELING OUTAGE, , 
2015-04-02,Millstone 2,72, ,ONE OFFSITE LINE OOS TO WORK ON OFFSITE TRANSFORMER,*, 
2015-04-02,Millstone 3,84, ,ONE OFFSITE LINE OOS TO WORK ON OFFSITE TRANSFORMER,*, 
2015-04-02,Nine Mile Point 1,0,2015-03-15,REFUELING OUTAGE, , 
2015-04-02,Nine Mile Point 2,100, , , , 
