Date,Unit,Power,Down,Reason or Comment,Change in report (*),Number of Scrams (#)
2009-07-01,Beaver Valley 1,100, , , , 
2009-07-01,Beaver Valley 2,100, , , , 
2009-07-01,Calvert Cliffs 1,100, ,MIN GENERATION ALERT IN EFFECT AT 2133 EDT ON 6/30,*, 
2009-07-01,Calvert Cliffs 2,100, ,MIN GENERATION ALERT IN EFFECT AT 2133 EDT ON 6/30,*, 
2009-07-01,FitzPatrick,100, , , , 
2009-07-01,Ginna,100, , , , 
2009-07-01,Hope Creek 1,85, ,REDUCED POWER DUE TO MAIN CONDENSER VACUUM CONCERN IDENTIFIED DURING STEAM JET AIR EJECTOR SWAP,*, 
2009-07-01,Indian Point 2,100, ,138 KV LINE 33332 L&M FEEDER OOS, , 
2009-07-01,Indian Point 3,100, ,138 KV LINE 33332 L&M FEEDER OOS, , 
2009-07-01,Limerick 1,100, , , , 
2009-07-01,Limerick 2,100, , , , 
2009-07-01,Millstone 2,100, , , , 
2009-07-01,Millstone 3,100, , , , 
2009-07-01,Nine Mile Point 1,100, , , , 
2009-07-01,Nine Mile Point 2,100, , , , 
2009-07-01,Oyster Creek,100, , , , 
2009-07-01,Peach Bottom 2,100, , , , 
2009-07-01,Peach Bottom 3,65, ,REDUCED POWER TO SEARCH FOR AIR LEAK IN OFFGAS SYSTEM,*, 
2009-07-01,Pilgrim 1,100, ,345 KV LINE 355 OOS, , 
2009-07-01,Salem 1,100, , , , 
2009-07-01,Salem 2,100, , , , 
2009-07-01,Seabrook 1,100, , , , 
2009-07-01,Susquehanna 1,94, ,100% ELECTRICAL CAPABILITY - MIN GENERATION ALERT IN EFFECT AT 2134 EDT ON 6/30,*, 
2009-07-01,Susquehanna 2,94, ,100% ELECTRICAL CAPABILITY - MIN GENERATION ALERT IN EFFECT AT 2134 EDT ON 6/30,*, 
2009-07-01,Three Mile Island 1,100, ,MIN GENERATION ALERT IN EFFECT,*, 
2009-07-01,Vermont Yankee,84, ,SECOND CHLORINATION OF CIRC WATER SYSTEM IN PROGRESS,*, 
2009-07-01,Browns Ferry 1,100, , , , 
2009-07-01,Browns Ferry 2,65, ,REDUCED POWER FOR ROD PATTERN ADJUSTMENT,*, 
2009-07-01,Browns Ferry 3,100, , ,*, 
2009-07-01,Brunswick 1,100, , , , 
2009-07-01,Brunswick 2,100, , , , 
2009-07-01,Catawba 1,100, , , , 
2009-07-01,Catawba 2,100, , , , 
2009-07-01,Crystal River 3,100, , , , 
2009-07-01,Farley 1,100, , , , 
2009-07-01,Farley 2,100, , , , 
2009-07-01,Harris 1,100, , , , 
2009-07-01,Hatch 1,100, , , , 
2009-07-01,Hatch 2,100, , , , 
2009-07-01,McGuire 1,100, , , , 
2009-07-01,McGuire 2,100, , , , 
2009-07-01,North Anna 1,100, , , , 
2009-07-01,North Anna 2,100, , , , 
2009-07-01,Oconee 1,100, , , , 
2009-07-01,Oconee 2,100, , , , 
2009-07-01,Oconee 3,100, , , , 
2009-07-01,Robinson 2,100, , , , 
2009-07-01,Saint Lucie 1,100, , , , 
2009-07-01,Saint Lucie 2,100, , , , 
2009-07-01,Sequoyah 1,100, ,MAINTENANCE ON EAST CLEVELAND OFFSITE POWER LINE, , 
2009-07-01,Sequoyah 2,100, ,MAINTENANCE ON EAST CLEVELAND OFFSITE POWER LINE, , 
2009-07-01,Summer,100, , , , 
2009-07-01,Surry 1,100, , , , 
2009-07-01,Surry 2,100, , , , 
2009-07-01,Turkey Point 3,100, , , , 
2009-07-01,Turkey Point 4,100, , , , 
2009-07-01,Vogtle 1,100, , , , 
2009-07-01,Vogtle 2,100, , , , 
2009-07-01,Watts Bar 1,100, , , , 
2009-07-01,Braidwood 1,100, , , , 
2009-07-01,Braidwood 2,100, , , , 
2009-07-01,Byron 1,100, , , , 
2009-07-01,Byron 2,100, , , , 
2009-07-01,Clinton,97, ,100% ELECTRICAL CAPABILITY, , 
2009-07-01,D.C. Cook 1,0,2009-03-02,FORCED OUTAGE - SEE EN #44507, , 
2009-07-01,D.C. Cook 2,100, , , , 
2009-07-01,Davis-Besse,100, , , , 
2009-07-01,Dresden 2,98, ,100% ELECTRICAL CAPABILITY, , 
2009-07-01,Dresden 3,99, ,100% ELECTRICAL CAPABILITY, , 
2009-07-01,Duane Arnold,100, , , , 
2009-07-01,Fermi 2,100, , ,*, 
2009-07-01,Kewaunee,100, , , , 
2009-07-01,La Salle 1,100, , , , 
2009-07-01,La Salle 2,100, , , , 
2009-07-01,Monticello,100, , , , 
2009-07-01,Palisades,100, , , , 
2009-07-01,Perry 1,100, , , , 
2009-07-01,Point Beach 1,100, , , , 
2009-07-01,Point Beach 2,100, , , , 
2009-07-01,Prairie Island 1,100, , , , 
2009-07-01,Prairie Island 2,100, , , , 
2009-07-01,Quad Cities 1,100, , , , 
2009-07-01,Quad Cities 2,100, , , , 
2009-07-01,Arkansas Nuclear 1,100, , , , 
2009-07-01,Arkansas Nuclear 2,100, , , , 
2009-07-01,Callaway,100, , , , 
2009-07-01,Columbia Generating Station,10, ,NOT YET SYNCHED TO GRID,*, 
2009-07-01,Comanche Peak 1,100, , , , 
2009-07-01,Comanche Peak 2,100, , , , 
2009-07-01,Cooper,100, , , , 
2009-07-01,Diablo Canyon 1,100, , , , 
2009-07-01,Diablo Canyon 2,0,2009-06-30,OUTAGE FOR REPAIRS TO MAIN TRANSFORMER COOLING,*, 
2009-07-01,Fort Calhoun,100, , , , 
2009-07-01,Grand Gulf 1,100, , , , 
2009-07-01,Palo Verde 1,100, , , , 
2009-07-01,Palo Verde 2,100, , , , 
2009-07-01,Palo Verde 3,100, , , , 
2009-07-01,River Bend 1,100, , , , 
2009-07-01,San Onofre 2,98, ,LIMITED BY S/G CAPACITY,*, 
2009-07-01,San Onofre 3,99, , ,*, 
2009-07-01,South Texas 1,100, , , , 
2009-07-01,South Texas 2,100, , , , 
2009-07-01,Waterford 3,100, , , , 
2009-07-01,Wolf Creek 1,100, , , , 
2009-07-02,Beaver Valley 1,100, , , , 
2009-07-02,Beaver Valley 2,100, , , , 
2009-07-02,Calvert Cliffs 1,100, , ,*, 
2009-07-02,Calvert Cliffs 2,100, , ,*, 
2009-07-02,FitzPatrick,100, , , , 
2009-07-02,Ginna,100, , , , 
2009-07-02,Hope Creek 1,100, , ,*, 
2009-07-02,Indian Point 2,100, ,138 KV LINE 33332 L&M FEEDER OOS, , 
2009-07-02,Indian Point 3,100, ,138 KV LINE 33332 L&M FEEDER OOS, , 
2009-07-02,Limerick 1,100, , , , 
2009-07-02,Limerick 2,100, , , , 
2009-07-02,Millstone 2,100, , , , 
2009-07-02,Millstone 3,100, , , , 
2009-07-02,Nine Mile Point 1,100, , , , 
2009-07-02,Nine Mile Point 2,100, , , , 
2009-07-02,Oyster Creek,100, , , , 
2009-07-02,Peach Bottom 2,100, , , , 
2009-07-02,Peach Bottom 3,100, , ,*, 
2009-07-02,Pilgrim 1,100, ,345 KV LINE 355 OOS, , 
2009-07-02,Salem 1,100, , , , 
2009-07-02,Salem 2,100, , , , 
2009-07-02,Seabrook 1,100, , , , 
2009-07-02,Susquehanna 1,94, ,100% ELECTRICAL CAPABILITY,*, 
2009-07-02,Susquehanna 2,94, ,100% ELECTRICAL CAPABILITY,*, 
2009-07-02,Three Mile Island 1,100, , ,*, 
2009-07-02,Vermont Yankee,86, ,SECOND CHLORINATION OF CIRC WATER SYSTEM IN PROGRESS,*, 
2009-07-02,Browns Ferry 1,100, , , , 
2009-07-02,Browns Ferry 2,100, , ,*, 
2009-07-02,Browns Ferry 3,100, , , , 
2009-07-02,Brunswick 1,100, , , , 
