Date,Unit,Power,Down,Reason or Comment,Change in report (*),Number of Scrams (#)
2010-03-01,Beaver Valley 1,100, , , , 
2010-03-01,Beaver Valley 2,100, , , , 
2010-03-01,Calvert Cliffs 1,0,2010-02-18,REFUELING OUTAGE, , 
2010-03-01,Calvert Cliffs 2,95, ,HOLDING POWER PENDING RESOLUTION OF MSR ISSUES,*, 
2010-03-01,FitzPatrick,100, , , , 
2010-03-01,Ginna,100, , , , 
2010-03-01,Hope Creek 1,100, , ,*, 
2010-03-01,Indian Point 2,100, , , , 
2010-03-01,Indian Point 3,100, , , , 
2010-03-01,Limerick 1,99, ,COASTDOWN TO REFUELING OUTAGE, , 
2010-03-01,Limerick 2,100, , , , 
2010-03-01,Millstone 2,60, ,INCREASING POWER TO 70% FOR HOLD AND MAIN CONDENSER EVALUATION,*, 
2010-03-01,Millstone 3,100, , , , 
2010-03-01,Nine Mile Point 1,100, , , , 
2010-03-01,Nine Mile Point 2,100, , , , 
2010-03-01,Oyster Creek,100, , ,*, 
2010-03-01,Peach Bottom 2,100, , , , 
2010-03-01,Peach Bottom 3,100, , , , 
2010-03-01,Pilgrim 1,100, , , , 
2010-03-01,Salem 1,100, , , , 
2010-03-01,Salem 2,100, , , , 
2010-03-01,Seabrook 1,100, , , , 
2010-03-01,Susquehanna 1,82, ,COASTDOWN TO REFUELING OUTAGE, , 
2010-03-01,Susquehanna 2,94, ,100% ELECTRICAL CAPABILITY, , 
2010-03-01,Three Mile Island 1,100, , , , 
2010-03-01,Vermont Yankee,100, , , , 
2010-03-01,Browns Ferry 1,100, , , , 
2010-03-01,Browns Ferry 2,100, , , , 
2010-03-01,Browns Ferry 3,0,2010-02-27,REFUELING OUTAGE,*, 
2010-03-01,Brunswick 1,0,2010-02-26,REFUELING OUTAGE, , 
2010-03-01,Brunswick 2,100, , , , 
2010-03-01,Catawba 1,100, , , , 
2010-03-01,Catawba 2,100, , , , 
2010-03-01,Crystal River 3,0,2009-09-25,DEFUELED, , 
2010-03-01,Farley 1,100, , , , 
2010-03-01,Farley 2,100, , , , 
2010-03-01,Harris 1,100, , , , 
2010-03-01,Hatch 1,0,2010-02-07,REFUELING OUTAGE, , 
2010-03-01,Hatch 2,100, , , , 
2010-03-01,McGuire 1,100, , , , 
2010-03-01,McGuire 2,100, , , , 
2010-03-01,North Anna 1,100, , , , 
2010-03-01,North Anna 2,100, , , , 
2010-03-01,Oconee 1,100, , , , 
2010-03-01,Oconee 2,100, , , , 
2010-03-01,Oconee 3,100, , , , 
2010-03-01,Robinson 2,100, , , , 
2010-03-01,Saint Lucie 1,100, , , , 
2010-03-01,Saint Lucie 2,100, , , , 
2010-03-01,Sequoyah 1,100, , , , 
2010-03-01,Sequoyah 2,100, , , , 
2010-03-01,Summer,100, , , , 
2010-03-01,Surry 1,100, , , , 
2010-03-01,Surry 2,100, , , , 
2010-03-01,Turkey Point 3,100, , , , 
2010-03-01,Turkey Point 4,100, , , , 
2010-03-01,Vogtle 1,100, , , , 
2010-03-01,Vogtle 2,99, ,COASTDOWN TO REFUELING OUTAGE, , 
2010-03-01,Watts Bar 1,100, , , , 
2010-03-01,Braidwood 1,100, , , , 
2010-03-01,Braidwood 2,100, , , , 
2010-03-01,Byron 1,100, , , , 
2010-03-01,Byron 2,100, , , , 
2010-03-01,Clinton,97, ,100% ELECTRICAL CAPABILITY,*, 
2010-03-01,D.C. Cook 1,50, ,MAIN STEAM SAFETY VALVE TESTING,*, 
2010-03-01,D.C. Cook 2,100, , , , 
2010-03-01,Davis-Besse,0,2010-02-27,REFUELING OUTAGE,*, 
2010-03-01,Dresden 2,100, , , , 
2010-03-01,Dresden 3,99, ,100% ELECTRICAL CAPABILITY, , 
2010-03-01,Duane Arnold,100, , , , 
2010-03-01,Fermi 2,100, , , , 
2010-03-01,Kewaunee,100, , , , 
2010-03-01,La Salle 1,0,2010-02-07,REFUELING OUTAGE, , 
2010-03-01,La Salle 2,100, , , , 
2010-03-01,Monticello,100, , , , 
2010-03-01,Palisades,100, , , , 
2010-03-01,Perry 1,100, , , , 
2010-03-01,Point Beach 1,0,2010-02-28,REFUELING OUTAGE,*, 
2010-03-01,Point Beach 2,100, , , , 
2010-03-01,Prairie Island 1,100, , , , 
2010-03-01,Prairie Island 2,100, , , , 
2010-03-01,Quad Cities 1,100, , , , 
2010-03-01,Quad Cities 2,98, ,COASTDOWN TO REFUELING OUTAGE, , 
2010-03-01,Arkansas Nuclear 1,100, , , , 
2010-03-01,Arkansas Nuclear 2,100, , , , 
2010-03-01,Callaway,100, , , , 
2010-03-01,Columbia Generating Station,100, , , , 
2010-03-01,Comanche Peak 1,100, , , , 
2010-03-01,Comanche Peak 2,100, , , , 
2010-03-01,Cooper,83, ,HOLDING POWER FOR FEED PUMP REPAIRS - WILL COMPLETE ROD PATTERN ADJUSTMENT DURING POWER INCREASE,*, 
2010-03-01,Diablo Canyon 1,100, , , , 
2010-03-01,Diablo Canyon 2,100, , , , 
2010-03-01,Fort Calhoun,100, , , , 
2010-03-01,Grand Gulf 1,100, , , , 
2010-03-01,Palo Verde 1,100, , , , 
2010-03-01,Palo Verde 2,100, , , , 
2010-03-01,Palo Verde 3,100, , , , 
2010-03-01,River Bend 1,100, , , , 
2010-03-01,San Onofre 2,0,2009-09-26,REFUELING OUTAGE, , 
2010-03-01,San Onofre 3,100, , , , 
2010-03-01,South Texas 1,100, , , , 
2010-03-01,South Texas 2,100, , , , 
2010-03-01,Waterford 3,100, , , , 
2010-03-01,Wolf Creek 1,100, , , , 
2010-03-02,Beaver Valley 1,100, , , , 
2010-03-02,Beaver Valley 2,100, , , , 
2010-03-02,Calvert Cliffs 1,0,2010-02-18,REFUELING OUTAGE, , 
2010-03-02,Calvert Cliffs 2,100, , ,*, 
2010-03-02,FitzPatrick,100, , , , 
2010-03-02,Ginna,100, , , , 
2010-03-02,Hope Creek 1,100, , , , 
2010-03-02,Indian Point 2,100, , , , 
2010-03-02,Indian Point 3,100, , , , 
2010-03-02,Limerick 1,99, ,COASTDOWN TO REFUELING OUTAGE, , 
2010-03-02,Limerick 2,100, , , , 
2010-03-02,Millstone 2,98, ,INCREASING POWER,*, 
2010-03-02,Millstone 3,100, , , , 
2010-03-02,Nine Mile Point 1,100, , , , 
2010-03-02,Nine Mile Point 2,100, , , , 
2010-03-02,Oyster Creek,100, , , , 
2010-03-02,Peach Bottom 2,100, , , , 
2010-03-02,Peach Bottom 3,100, , , , 
2010-03-02,Pilgrim 1,100, , , , 
2010-03-02,Salem 1,100, , , , 
2010-03-02,Salem 2,100, , , , 
2010-03-02,Seabrook 1,100, , , , 
2010-03-02,Susquehanna 1,0,2010-03-01,REFUELING OUTAGE COMMENCING SHUTDOWN IN PROGRESS,*, 
2010-03-02,Susquehanna 2,94, ,100% ELECTRICAL CAPABILITY, , 
2010-03-02,Three Mile Island 1,100, , , , 
2010-03-02,Vermont Yankee,100, , , , 
2010-03-02,Browns Ferry 1,100, , , , 
2010-03-02,Browns Ferry 2,100, , , , 
2010-03-02,Browns Ferry 3,0,2010-02-27,REFUELING OUTAGE, , 
2010-03-02,Brunswick 1,0,2010-02-26,REFUELING OUTAGE,*, 
2010-03-02,Brunswick 2,100, , , , 
2010-03-02,Catawba 1,100, , , , 
2010-03-02,Catawba 2,100, , , , 
2010-03-02,Crystal River 3,0,2009-09-25,DEFUELED, , 
2010-03-02,Farley 1,100, , , , 
2010-03-02,Farley 2,100, , , , 
2010-03-02,Harris 1,100, , , , 
2010-03-02,Hatch 1,0,2010-02-07,REFUELING OUTAGE, , 
2010-03-02,Hatch 2,100, , , , 
2010-03-02,McGuire 1,100, , , , 
2010-03-02,McGuire 2,100, , , , 
2010-03-02,North Anna 1,100, , , , 
2010-03-02,North Anna 2,100, , , , 
2010-03-02,Oconee 1,100, , , , 
2010-03-02,Oconee 2,100, , , , 
2010-03-02,Oconee 3,100, , , , 
2010-03-02,Robinson 2,100, , , , 
2010-03-02,Saint Lucie 1,100, , , , 
2010-03-02,Saint Lucie 2,100, , , , 
2010-03-02,Sequoyah 1,100, , , , 
2010-03-02,Sequoyah 2,100, , , , 
2010-03-02,Summer,100, , , , 
2010-03-02,Surry 1,100, , , , 
2010-03-02,Surry 2,100, , , , 
