Date,Unit,Power,Down,Reason or Comment,Change in report(*),Number of Scrams(#)
1999-04-01,BEAVER VALLEY 1,98, , , , 
1999-04-01,BEAVER VALLEY 2,0,1999-02-26,REFUELING OUTAGE, , 
1999-04-01,CALVERT CLIFFS 1,100, , , , 
1999-04-01,CALVERT CLIFFS 2,0,1999-03-12,REFUELING OUTAGE, , 
1999-04-01,FITZPATRICK 1,100, , , , 
1999-04-01,GINNA 1,0,1999-03-01,REFUELING OUTAGE - DEFUELED, , 
1999-04-01,HOPE CREEK 1,23, ,STARTUP TESTING,*, 
1999-04-01,INDIAN POINT 2,99, , , , 
1999-04-01,INDIAN POINT 3,100, , , , 
1999-04-01,LIMERICK 1,100, , , , 
1999-04-01,LIMERICK 2,86, ,COASTDOWN TO REFUELING OUTAGE,*, 
1999-04-01,MILLSTONE 2,0,1996-02-20,REFUELING OUTAGE,*, 
1999-04-01,MILLSTONE 3,100, , , , 
1999-04-01,NINE MILE POINT 1,100, , , , 
1999-04-01,NINE MILE POINT 2,100, , , , 
1999-04-01,OYSTER CREEK 1,100, , , , 
1999-04-01,PEACH BOTTOM 2,100, , , , 
1999-04-01,PEACH BOTTOM 3,100, , , , 
1999-04-01,PILGRIM 1,80, ,ONE MSIV INOPERABLE, , 
1999-04-01,SALEM 1,100, , , , 
1999-04-01,SALEM 2,75, ,TESTING SECONDARY SAFETY VALVES, , 
1999-04-01,SEABROOK 1,0,1999-03-27,REFUELING OUTAGE, , 
1999-04-01,SUSQUEHANNA 1,100, , , , 
1999-04-01,SUSQUEHANNA 2,0,1999-03-12,REFUELING OUTAGE, , 
1999-04-01,THREE MILE ISLAND 1,100, , , , 
1999-04-01,VERMONT YANKEE 1,100, , , , 
1999-04-01,BROWNS FERRY 1,0,1985-03-03,DEFUELED, , 
1999-04-01,BROWNS FERRY 2,87, ,COASTDOWN TO REFUELING OUTAGE, , 
1999-04-01,BROWNS FERRY 3,100, , , , 
1999-04-01,BRUNSWICK 1,100, , , , 
1999-04-01,BRUNSWICK 2,24, ,STARTUP TESTING,*, 
1999-04-01,CATAWBA 1,100, , , , 
1999-04-01,CATAWBA 2,100, , , , 
1999-04-01,CRYSTAL RIVER 3,100, , , , 
