Date,Unit,Power,Down,Reason or Comment,Change in report(*),Number of Scrams(#)
2000-01-01,BEAVER VALLEY 1,100, , , , 
2000-01-01,BEAVER VALLEY 2,51, ,FUEL CONSERVATION,*, 
2000-01-01,CALVERT CLIFFS 1,100, , , , 
2000-01-01,CALVERT CLIFFS 2,65, ,Y2K TRANSITION PLANNED POWER,*, 
2000-01-01,FITZPATRICK 1,80, ,Y2K TRANSITION PLANNED POWER,*, 
2000-01-01,GINNA 1,100, , , , 
2000-01-01,HOPE CREEK 1,86, ,Y2K TRANSITION PLANNED POWER,*, 
2000-01-01,INDIAN POINT 2,99, , , , 
2000-01-01,INDIAN POINT 3,100, , , , 
2000-01-01,LIMERICK 1,64, ,FOLLOWING LOAD SCHEDULE,*, 
2000-01-01,LIMERICK 2,0,1999-12-31,REACTOR SCRAM DUE TO MAIN TRANSFORMER FAILURE. SEE EVENT 36553., , 
2000-01-01,MILLSTONE 2,100, , , , 
2000-01-01,MILLSTONE 3,100, , , , 
2000-01-01,NINE MILE POINT 1,76, ,REMOVING A CONDENSATE PUMP FROM SERVICE, , 
2000-01-01,NINE MILE POINT 2,98, , ,*, 
2000-01-01,OYSTER CREEK 1,70, ,Y2K TRANSITION PLANNED POWER,*, 
2000-01-01,PEACH BOTTOM 2,70, ,WILL MAINTAIN REDUCED POWER THROUGH Y2K TRANSITION, , 
2000-01-01,PEACH BOTTOM 3,70, ,WILL MAINTAIN REDUCED POWER THROUGH Y2K TRANSITION, , 
2000-01-01,PILGRIM 1,100, , , , 
2000-01-01,SALEM 1,80, ,Y2K TRANSITION PLANNED POWER,*, 
2000-01-01,SALEM 2,80, ,Y2K TRANSITION PLANNED POWER,*, 
2000-01-01,SEABROOK 1,100, , , , 
2000-01-01,SUSQUEHANNA 1,80, ,Y2K TRANSITION PLANNED POWER,*, 
2000-01-01,SUSQUEHANNA 2,80, ,Y2K TRANSITION PLANNED POWER,*, 
2000-01-01,THREE MILE ISLAND 1,85, ,Y2K TRANSITION PLANNED POWER,*, 
2000-01-01,VERMONT YANKEE 1,100, , , , 
2000-01-01,BROWNS FERRY 1,0,1985-03-03,DEFUELED, , 
2000-01-01,BROWNS FERRY 2,100, , , , 
2000-01-01,BROWNS FERRY 3,100, , , , 
2000-01-01,BRUNSWICK 1,100, , , , 
2000-01-01,BRUNSWICK 2,100, , , , 
2000-01-01,CATAWBA 1,100, , , , 
2000-01-01,CATAWBA 2,0,1999-12-30,REACTOR TRIP FOR UNKNOWN REASONS. SEE EVENT 36551., , 
2000-01-01,CRYSTAL RIVER 3,70, ,Y2K TRANSITION PLANNED POWER,*, 
2000-01-01,FARLEY 1,100, , , , 
2000-01-01,FARLEY 2,100, , , , 
2000-01-01,HARRIS 1,100, , , , 
2000-01-01,HATCH 1,100, , , , 
2000-01-01,HATCH 2,98, ,MAXIMUM OPERATING POWER, , 
2000-01-01,MCGUIRE 1,85, ,Y2K TRANSITION PLANNED POWER,*, 
2000-01-01,MCGUIRE 2,65, ,HOLDING POWER AT THIS LEVEL IN ORDER TO EXTEND CORE LIFE, , 
2000-01-01,NORTH ANNA 1,100, , , , 
2000-01-01,NORTH ANNA 2,100, , , , 
2000-01-01,OCONEE 1,100, , , , 
2000-01-01,OCONEE 2,100, , , , 
2000-01-01,OCONEE 3,26, ,Y2K TRANSITION HOLD POWER,*, 
2000-01-01,ROBINSON 2,100, , , , 
2000-01-01,SAINT LUCIE 1,100, , , , 
2000-01-01,SAINT LUCIE 2,100, , , , 
2000-01-01,SEQUOYAH 1,100, , , , 
2000-01-01,SEQUOYAH 2,100, , , , 
2000-01-01,SUMMER 1,100, , , , 
2000-01-01,SURRY 1,100, , , , 
2000-01-01,SURRY 2,100, , , , 
2000-01-01,TURKEY POINT 3,100, , , , 
2000-01-01,TURKEY POINT 4,100, , , , 
2000-01-01,VOGTLE 1,100, , , , 
2000-01-01,VOGTLE 2,78, ,MONITORING Y2K TRANSITION HOLDING POWER,*, 
2000-01-01,WATTS BAR 1,100, , , , 
2000-01-01,BRAIDWOOD 1,75, ,Y2K TRANSITION PLANNED POWER,*, 
2000-01-01,BRAIDWOOD 2,65, ,Y2K TRANSITION PLANNED POWER,*, 
2000-01-01,BYRON 1,70, ,Y2K TRANSITION PLANNED POWER,*, 
2000-01-01,BYRON 2,70, ,Y2K TRANSITION PLANNED POWER,*, 
2000-01-01,CLINTON 1,80, ,Y2K TRANSITION PLANNED POWER,*, 
2000-01-01,COOK 1,0,1997-09-08,REFUELING OUTAGE - DEFUELED, , 
2000-01-01,COOK 2,0,1997-09-09,REFUELING OUTAGE - DEFUELED, , 
2000-01-01,DAVIS BESSE 1,85, ,Y2K TRANSITION PLANNED POWER,*, 
2000-01-01,DRESDEN 2,67, ,REDUCED POWER FOR PLANNED MAINTENANCE,*, 
2000-01-01,DRESDEN 3,100, , , , 
2000-01-01,DUANE ARNOLD 1,98, , ,*, 
2000-01-01,FERMI 2,78, ,Y2K TRANSITION PLANNED POWER,*, 
2000-01-01,KEWAUNEE 1,97, , , , 
2000-01-01,LASALLE 1,81, ,Y2K TRANSITION PLANNED POWER,*, 
2000-01-01,LASALLE 2,87, ,Y2K TRANSITION PLANNED POWER,*, 
2000-01-01,MONTICELLO 1,84, ,COASTDOWN TO REFUELING OUTAGE, , 
2000-01-01,PALISADES 1,54, ,CHEMISTRY HOLD,*, 
2000-01-01,PERRY 1,85, ,Y2K TRANSITION PLANNED POWER,*, 
2000-01-01,POINT BEACH 1,96, , ,*, 
2000-01-01,POINT BEACH 2,98, , ,*, 
2000-01-01,PRAIRIE ISLAND 1,100, , , , 
2000-01-01,PRAIRIE ISLAND 2,100, , , , 
2000-01-01,QUAD CITIES 1,86, ,Y2K TRANSITION PLANNED POWER,*, 
2000-01-01,QUAD CITIES 2,93, ,COASTDOWN TO REFUELING OUTAGE,*, 
2000-01-01,ARKANSAS NUCLEAR 1,80, ,Y2K TRANSITION PLANNED POWER,*, 
2000-01-01,ARKANSAS NUCLEAR 2,81, ,REDUCED POWER FOR MAINTENANCE ON 'A' MFP,*, 
2000-01-01,CALLAWAY 1,100, , , , 
2000-01-01,COMANCHE PEAK 1,100, , , , 
2000-01-01,COMANCHE PEAK 2,100, , , , 
2000-01-01,COOPER 1,72, ,Y2K TRANSITION PLANNED POWER,*, 
2000-01-01,DIABLO CANYON 1,80, ,Y2K TRANSITION PLANNED POWER,*, 
2000-01-01,DIABLO CANYON 2,80, ,Y2K TRANSITION PLANNED POWER,*, 
2000-01-01,FT CALHOUN 1,100, , , , 
2000-01-01,GRAND GULF 1,81, ,REDUCED POWER THROUGH Y2K TRANSITION,*, 
2000-01-01,PALO VERDE 1,95, ,Y2K TRANSITION PLANNED POWER,*, 
2000-01-01,PALO VERDE 2,95, ,Y2K TRANSITION PLANNED POWER,*, 
2000-01-01,PALO VERDE 3,95, ,Y2K TRANSITION PLANNED POWER,*, 
2000-01-01,RIVER BEND 1,90, ,REDUCED POWER THROUGH Y2K TRANSITION, , 
2000-01-01,SAN ONOFRE 2,100, , , , 
2000-01-01,SAN ONOFRE 3,100, , , , 
2000-01-01,SOUTH TEXAS 1,100, , , , 
2000-01-01,SOUTH TEXAS 2,100, , , , 
2000-01-01,WATERFORD 3,75, ,REDUCED POWER THROUGH Y2K TRANSITION, , 
2000-01-01,WNP2,80, ,Y2K TRANSITION PLANNED POWER,*, 
2000-01-01,WOLF CREEK 1,54, ,Y2K TRANSITION PLANNED POWER,*, 
2000-01-02,BEAVER VALLEY 1,100, , , , 
2000-01-02,BEAVER VALLEY 2,52, ,FUEL CONSERVATION,*, 
2000-01-02,CALVERT CLIFFS 1,100, , , , 
2000-01-02,CALVERT CLIFFS 2,100, , ,*, 
