Date,Unit,Power,Down,Reason or Comment,Change in report(*),Number of Scrams(#)
2001-10-01,PALO VERDE 1,95, , , , 
2001-10-01,PALO VERDE 2,99, , , , 
2001-10-01,PALO VERDE 3,0,2001-09-28,REFUELING OUTAGE, , 
2001-10-01,RIVER BEND 1,0,2001-09-23,REFUELING OUTAGE, , 
2001-10-01,SAN ONOFRE 2,98, , ,*, 
2001-10-01,SAN ONOFRE 3,100, , , , 
2001-10-01,SOUTH TEXAS 1,89, ,COASTDOWN TO REFUELING OUTAGE, , 
2001-10-01,SOUTH TEXAS 2,100, , , , 
2001-10-01,WATERFORD 3,100, , , , 
2001-10-01,WOLF CREEK 1,100, , , , 
2001-10-02,BEAVER VALLEY 1,0,2001-08-31,REFUELING OUTAGE, , 
2001-10-02,BEAVER VALLEY 2,100, , , , 
2001-10-02,CALVERT CLIFFS 1,100, , , , 
2001-10-02,CALVERT CLIFFS 2,100, , , , 
2001-10-02,FITZPATRICK 1,55, ,REDUCED POWER FOR MAINTENANCE,*, 
2001-10-02,GINNA 1,100, , , , 
2001-10-02,HOPE CREEK 1,80, ,REDUCED POWER DUE TO SOLAR MAGNETIC DISTURBANCES AFFECTING THE MAIN TRANSFORMER,*, 
2001-10-02,INDIAN POINT 2,100, , , , 
2001-10-02,INDIAN POINT 3,100, , , , 
2001-10-02,LIMERICK 1,100, , , , 
2001-10-02,LIMERICK 2,100, , , , 
2001-10-02,MILLSTONE 2,100, , , , 
2001-10-02,MILLSTONE 3,100, , , , 
2001-10-02,NINE MILE POINT 1,100, , , , 
2001-10-02,NINE MILE POINT 2,100, , , , 
2001-10-02,OYSTER CREEK 1,100, , , , 
2001-10-02,PEACH BOTTOM 2,100, , , , 
2001-10-02,PEACH BOTTOM 3,0,2001-09-14,REFUELING OUTAGE - DEFUELED, , 
2001-10-02,PILGRIM 1,100, , , , 
2001-10-02,SALEM 1,0,2001-09-24,VALVE MAINTENANCE, , 
2001-10-02,SALEM 2,100, , , , 
2001-10-02,SEABROOK 1,100, , , , 
2001-10-02,SUSQUEHANNA 1,100, , , , 
2001-10-02,SUSQUEHANNA 2,100, , , , 
2001-10-02,THREE MILE ISLAND 1,90, ,COASTDOWN TO REFUELING OUTAGE,*, 
2001-10-02,VERMONT YANKEE 1,100, , , , 
2001-10-02,BROWNS FERRY 1,0,1985-03-03,DEFUELED, , 
2001-10-02,BROWNS FERRY 2,100, , , , 
2001-10-02,BROWNS FERRY 3,100, , , , 
2001-10-02,BRUNSWICK 1,100, , , , 
2001-10-02,BRUNSWICK 2,100, , , , 
2001-10-02,CATAWBA 1,100, , , , 
2001-10-02,CATAWBA 2,0,2001-09-15,REFUELING OUTAGE - DEFUELED, , 
2001-10-02,CRYSTAL RIVER 3,0,2001-09-29,REFUELING OUTAGE, , 
2001-10-02,FARLEY 1,94, ,COASTDOWN TO REFUELING OUTAGE, , 
2001-10-02,FARLEY 2,100, , , , 
2001-10-02,HARRIS 1,0,2001-09-21,REFUELING OUTAGE - DEFUELED,*, 
2001-10-02,HATCH 1,100, , , , 
2001-10-02,HATCH 2,0,2001-09-15,REFUELING OUTAGE, , 
2001-10-02,MCGUIRE 1,100, , , , 
2001-10-02,MCGUIRE 2,100, , , , 
2001-10-02,NORTH ANNA 1,0,2001-09-08,REFUELING OUTAGE, , 
2001-10-02,NORTH ANNA 2,100, , , , 
2001-10-02,OCONEE 1,100, , , , 
2001-10-02,OCONEE 2,100, , ,*, 
2001-10-02,OCONEE 3,100, , , , 
2001-10-02,ROBINSON 2,100, , , , 
2001-10-02,SAINT LUCIE 1,100, , , , 
2001-10-02,SAINT LUCIE 2,100, , , , 
2001-10-02,SEQUOYAH 1,100, , , , 
2001-10-02,SEQUOYAH 2,100, , , , 
2001-10-02,SUMMER 1,100, , , , 
2001-10-02,SURRY 1,86, ,COASTDOWN TO REFUELING OUTAGE,*, 
2001-10-02,SURRY 2,100, , , , 
2001-10-02,TURKEY POINT 3,0,2001-09-29,REFUELING OUTAGE, , 
2001-10-02,TURKEY POINT 4,100, , , , 
2001-10-02,VOGTLE 1,100, , , , 
2001-10-02,VOGTLE 2,100, , , , 
2001-10-02,WATTS BAR 1,100, , , , 
2001-10-02,BRAIDWOOD 1,0,2001-09-21,REFUELING OUTAGE, , 
2001-10-02,BRAIDWOOD 2,96, ,100% OF RATED ELECTRICAL CAPABILITY, , 
2001-10-02,BYRON 1,100, ,100% OF RATED ELECTRICAL CAPABILITY,*, 
2001-10-02,BYRON 2,98, , ,*, 
2001-10-02,CLINTON 1,100, , , , 
2001-10-02,COOK 1,99, , ,*, 
2001-10-02,COOK 2,0,2001-08-30,MAINTENANCE OUTAGE, , 
2001-10-02,DAVIS BESSE 1,100, , , , 
2001-10-02,DRESDEN 2,92, ,COASTDOWN TO REFUELING OUTAGE, , 
2001-10-02,DRESDEN 3,100, , , , 
2001-10-02,DUANE ARNOLD 1,100, , , , 
2001-10-02,FERMI 2,100, , , , 
2001-10-02,KEWAUNEE 1,0,2001-09-23,REFUELING OUTAGE, , 
2001-10-02,LASALLE 1,100, , , , 
2001-10-02,LASALLE 2,100, , , , 
2001-10-02,MONTICELLO 1,100, , , , 
2001-10-02,PALISADES 1,0,2001-06-20,MAINTENANCE OUTAGE, , 
2001-10-02,PERRY 1,100, , , , 
2001-10-02,POINT BEACH 1,100, , , , 
2001-10-02,POINT BEACH 2,100, , , , 
2001-10-02,PRAIRIE ISLAND 1,100, , , , 
2001-10-02,PRAIRIE ISLAND 2,100, , , , 
2001-10-02,QUAD CITIES 1,100, , , , 
2001-10-02,QUAD CITIES 2,100, , , , 
2001-10-02,ARKANSAS NUCLEAR 1,100, , , , 
2001-10-02,ARKANSAS NUCLEAR 2,100, , , , 
2001-10-02,CALLAWAY 1,100, , , , 
2001-10-02,COLUMBIA GENERATING,100, , , , 
2001-10-02,COMANCHE PEAK 1,100, , , , 
2001-10-02,COMANCHE PEAK 2,100, , , , 
2001-10-02,COOPER 1,100, , , , 
2001-10-02,DIABLO CANYON 1,100, , , , 
2001-10-02,DIABLO CANYON 2,100, , , , 
2001-10-02,FT CALHOUN 1,100, , , , 
2001-10-02,GRAND GULF 1,100, , , , 
2001-10-02,PALO VERDE 1,99, , ,*, 
2001-10-02,PALO VERDE 2,99, , , , 
2001-10-02,PALO VERDE 3,0,2001-09-28,REFUELING OUTAGE, , 
2001-10-02,RIVER BEND 1,0,2001-09-23,REFUELING OUTAGE, , 
2001-10-02,SAN ONOFRE 2,98, , , , 
2001-10-02,SAN ONOFRE 3,100, , , , 
2001-10-02,SOUTH TEXAS 1,88, ,COASTDOWN TO REFUELING OUTAGE,*, 
2001-10-02,SOUTH TEXAS 2,100, , , , 
2001-10-02,WATERFORD 3,100, , , , 
2001-10-02,WOLF CREEK 1,100, , , , 
2001-10-03,BEAVER VALLEY 1,0,2001-08-31,REFUELING OUTAGE, , 
2001-10-03,BEAVER VALLEY 2,100, , , , 
2001-10-03,CALVERT CLIFFS 1,100, , , , 
2001-10-03,CALVERT CLIFFS 2,100, , , , 
2001-10-03,FITZPATRICK 1,100, , ,*, 
2001-10-03,GINNA 1,100, , , , 
2001-10-03,HOPE CREEK 1,80, ,REDUCED POWER DUE TO SOLAR MAGNETIC DISTURBANCES AFFECTING THE MAIN TRANSFORMER, , 
2001-10-03,INDIAN POINT 2,100, , , , 
2001-10-03,INDIAN POINT 3,100, , , , 
2001-10-03,LIMERICK 1,100, , , , 
2001-10-03,LIMERICK 2,100, , , , 
2001-10-03,MILLSTONE 2,100, , , , 
2001-10-03,MILLSTONE 3,100, , , , 
2001-10-03,NINE MILE POINT 1,100, , , , 
2001-10-03,NINE MILE POINT 2,100, , , , 
2001-10-03,OYSTER CREEK 1,100, , , , 
2001-10-03,PEACH BOTTOM 2,100, , , , 
2001-10-03,PEACH BOTTOM 3,0,2001-09-14,REFUELING OUTAGE - CORE RELOAD IN PROGRESS,*, 
2001-10-03,PILGRIM 1,100, , , , 
2001-10-03,SALEM 1,0,2001-09-24,RCS HEATUP IN PROGRESS,*, 
2001-10-03,SALEM 2,100, , , , 
2001-10-03,SEABROOK 1,100, , , , 
2001-10-03,SUSQUEHANNA 1,100, , , , 
2001-10-03,SUSQUEHANNA 2,100, , , , 
2001-10-03,THREE MILE ISLAND 1,89, ,COASTDOWN TO REFUELING OUTAGE,*, 
2001-10-03,VERMONT YANKEE 1,100, , , , 
2001-10-03,BROWNS FERRY 1,0,1985-03-03,DEFUELED, , 
2001-10-03,BROWNS FERRY 2,100, , , , 
2001-10-03,BROWNS FERRY 3,100, , , , 
2001-10-03,BRUNSWICK 1,100, , , , 
2001-10-03,BRUNSWICK 2,100, , , , 
2001-10-03,CATAWBA 1,100, , , , 
2001-10-03,CATAWBA 2,0,2001-09-15,REFUELING OUTAGE - DEFUELED, , 
2001-10-03,CRYSTAL RIVER 3,0,2001-09-29,REFUELING OUTAGE,*, 
2001-10-03,FARLEY 1,93, ,COASTDOWN TO REFUELING OUTAGE,*, 
2001-10-03,FARLEY 2,100, , , , 
2001-10-03,HARRIS 1,0,2001-09-21,REFUELING OUTAGE - DEFUELED, , 
2001-10-03,HATCH 1,100, , , , 
2001-10-03,HATCH 2,0,2001-09-15,REFUELING OUTAGE, , 
2001-10-03,MCGUIRE 1,100, , , , 
2001-10-03,MCGUIRE 2,100, , , , 
2001-10-03,NORTH ANNA 1,0,2001-09-08,REFUELING OUTAGE, , 
2001-10-03,NORTH ANNA 2,100, , , , 
2001-10-03,OCONEE 1,100, , , , 
2001-10-03,OCONEE 2,100, , , , 
2001-10-03,OCONEE 3,100, , , , 
2001-10-03,ROBINSON 2,100, , , , 
2001-10-03,SAINT LUCIE 1,100, , , , 
