Date,Unit,Power,Down,Reason or Comment,Change in report (*),Number of Scrams (#)
2016-08-01,Beaver Valley 1,100, , , , 
2016-08-01,Beaver Valley 2,100, , , , 
2016-08-01,Calvert Cliffs 1,100, , , , 
2016-08-01,Calvert Cliffs 2,100, , , , 
2016-08-01,FitzPatrick,84, ,HOLDING POWER FOR 1 OF 3 CONDENSER BOOSTER PUMP OOS, , 
2016-08-01,Ginna,100, , , , 
2016-08-01,Hope Creek 1,98, ,LIMITED DUE TO ATMOSPHERIC CONDITIONS,*, 
2016-08-01,Indian Point 2,100, , , , 
2016-08-01,Indian Point 3,100, ,13.8 kV and 138 kV FEEDER RESTRICTIONS, , 
2016-08-01,Limerick 1,100, , , , 
2016-08-01,Limerick 2,100, , , , 
2016-08-01,Millstone 2,100, , , , 
2016-08-01,Millstone 3,100, , , , 
2016-08-01,Nine Mile Point 1,100, , , , 
2016-08-01,Nine Mile Point 2,100, , , , 
2016-08-01,Oyster Creek,100, , , , 
2016-08-01,Peach Bottom 2,100, ,100 MVAR LIMIT FOR TURBINE BEARING VIBRATION, , 
2016-08-01,Peach Bottom 3,100, , , , 
2016-08-01,Pilgrim 1,100, , , , 
2016-08-01,Salem 1,47, ,CONDUCTING SURVEILLANCE TESTS,*, 
2016-08-01,Salem 2,13, ,GENERATOR OFF-LINE DUE TO GENERATOR GROUNDS, , 
2016-08-01,Seabrook 1,100, , , , 
2016-08-01,Susquehanna 1,100, , ,*, 
2016-08-01,Susquehanna 2,100, , , , 
2016-08-01,Three Mile Island 1,100, , , , 
2016-08-01,Browns Ferry 1,0,2016-07-26,REACTOR IS CRITICAL,*, 
2016-08-01,Browns Ferry 2,100, , , , 
2016-08-01,Browns Ferry 3,100, , , , 
2016-08-01,Brunswick 1,100, , , , 
2016-08-01,Brunswick 2,100, , , , 
2016-08-01,Catawba 1,100, , , , 
2016-08-01,Catawba 2,100, , , , 
2016-08-01,Farley 1,100, , , , 
2016-08-01,Farley 2,100, , , , 
2016-08-01,Harris 1,100, , , , 
2016-08-01,Hatch 1,100, , , , 
2016-08-01,Hatch 2,100, , , , 
2016-08-01,McGuire 1,100, , , , 
2016-08-01,McGuire 2,100, , , , 
2016-08-01,North Anna 1,100, , , , 
2016-08-01,North Anna 2,0,2016-07-30,FORCED OUTAGE DUE TO RX COOLANT PUMP SEAL LEAKOFF LEAK,*, 
2016-08-01,Oconee 1,100, , , , 
2016-08-01,Oconee 2,100, , , , 
2016-08-01,Oconee 3,100, , , , 
2016-08-01,Robinson 2,100, , , , 
2016-08-01,Saint Lucie 1,72, ,TECHNICAL SPECIFICATION REQUIRED SHUTDOWN,*, 
2016-08-01,Saint Lucie 2,100, , , , 
2016-08-01,Sequoyah 1,100, , , , 
2016-08-01,Sequoyah 2,100, , , , 
2016-08-01,Summer,94, ,FEEDWATER BOOSTER PUMP TRIP, , 
2016-08-01,Surry 1,100, , , , 
2016-08-01,Surry 2,100, , , , 
