Date,Unit,Power,Down,Reason or Comment,Change in report (*),Number of Scrams (#)
2005-02-01,Beaver Valley 1,100, , , , 
2005-02-01,Beaver Valley 2,100, , , , 
2005-02-01,Calvert Cliffs 1,100, , , , 
2005-02-01,Calvert Cliffs 2,100, , , , 
2005-02-01,FitzPatrick,100, , , , 
2005-02-01,Ginna,100, , , , 
2005-02-01,Hope Creek 1,48, ,INCREASING POWER,*, 
2005-02-01,Indian Point 2,100, , , , 
2005-02-01,Indian Point 3,100, , , , 
2005-02-01,Limerick 1,100, , , , 
2005-02-01,Limerick 2,97, ,COASTDOWN TO REFUELING OUTAGE,*, 
2005-02-01,Millstone 2,100, , , , 
2005-02-01,Millstone 3,100, , , , 
2005-02-01,Nine Mile Point 1,100, , , , 
2005-02-01,Nine Mile Point 2,100, , , , 
2005-02-01,Oyster Creek,100, , , , 
2005-02-01,Peach Bottom 2,100, , , , 
2005-02-01,Peach Bottom 3,100, , , , 
2005-02-01,Pilgrim 1,100, , , , 
2005-02-01,Salem 1,100, , , , 
2005-02-01,Salem 2,100, , , , 
2005-02-01,Seabrook 1,100, , , , 
2005-02-01,Susquehanna 1,100, , , , 
2005-02-01,Susquehanna 2,95, ,COASTDOWN TO REFUELING OUTAGE,*, 
2005-02-01,Three Mile Island 1,100, , , , 
2005-02-01,Vermont Yankee,100, , , , 
2005-02-01,Browns Ferry 1,0,1985-03-03,DEFUELED, , 
2005-02-01,Browns Ferry 2,100, , , , 
2005-02-01,Browns Ferry 3,100, , , , 
2005-02-01,Brunswick 1,100, , , , 
2005-02-01,Brunswick 2,91, ,COASTDOWN TO REFUELING OUTAGE, , 
2005-02-01,Catawba 1,100, , , , 
2005-02-01,Catawba 2,100, , , , 
2005-02-01,Crystal River 3,100, , , , 
2005-02-01,Farley 1,100, , , , 
2005-02-01,Farley 2,100, , , , 
2005-02-01,Harris 1,100, , , , 
2005-02-01,Hatch 1,100, , , , 
2005-02-01,Hatch 2,96, ,COASTDOWN TO REFUELING OUTAGE, , 
2005-02-01,McGuire 1,100, , , , 
2005-02-01,McGuire 2,100, , , , 
2005-02-01,North Anna 1,100, , , , 
2005-02-01,North Anna 2,100, , , , 
2005-02-01,Oconee 1,100, , , , 
2005-02-01,Oconee 2,100, , , , 
2005-02-01,Oconee 3,100, , , , 
2005-02-01,Robinson 2,100, , , , 
2005-02-01,Saint Lucie 1,100, , , , 
2005-02-01,Saint Lucie 2,0,2005-01-05,REFUELING OUTAGE - REFUELING COMPLETED, , 
2005-02-01,Sequoyah 1,100, , , , 
2005-02-01,Sequoyah 2,100, , , , 
2005-02-01,Summer,100, , , , 
2005-02-01,Surry 1,100, , , , 
2005-02-01,Surry 2,100, , , , 
2005-02-01,Turkey Point 3,60, ,REDUCED POWER FOR WATERBOX CLEANING,*, 
2005-02-01,Turkey Point 4,100, , , , 
2005-02-01,Vogtle 1,100, , , , 
2005-02-01,Vogtle 2,100, , , , 
2005-02-01,Watts Bar 1,100, , , , 
2005-02-01,Braidwood 1,100, , , , 
2005-02-01,Braidwood 2,100, , , , 
2005-02-01,Byron 1,100, , , , 
