Date,Unit,Power,Down,Reason or Comment,Change in report (*),Number of Scrams (#)
2010-05-01,Beaver Valley 1,100, , , , 
2010-05-01,Beaver Valley 2,100, , , , 
2010-05-01,Calvert Cliffs 1,100, , , , 
2010-05-01,Calvert Cliffs 2,100, , , , 
2010-05-01,FitzPatrick,100, , , , 
2010-05-01,Ginna,100, , , , 
2010-05-01,Hope Creek 1,100, , , , 
2010-05-01,Indian Point 2,100, , , , 
2010-05-01,Indian Point 3,100, , , , 
2010-05-01,Limerick 1,100, , , , 
2010-05-01,Limerick 2,100, , , , 
2010-05-01,Millstone 2,100, , , , 
2010-05-01,Millstone 3,0,2010-04-10,REFUELING OUTAGE - CORE RELOAD COMPLETED, , 
2010-05-01,Nine Mile Point 1,100, , , , 
2010-05-01,Nine Mile Point 2,0,2010-04-02,REFUELING OUTAGE, , 
2010-05-01,Oyster Creek,0,2010-04-28,MAINTENANCE OUTAGE, , 
2010-05-01,Peach Bottom 2,100, , , , 
2010-05-01,Peach Bottom 3,100, , , , 
2010-05-01,Pilgrim 1,100, , , , 
2010-05-01,Salem 1,91, ,INCREASING POWER,*, 
2010-05-01,Salem 2,100, , , , 
2010-05-01,Seabrook 1,100, ,CONTINGENCY IN EFFECT TO REDUCE POWER TO 800MWE DUE TO 379 LINE MAINTENANCE UNTIL MAY 9, , 
2010-05-01,Susquehanna 1,36, ,HOLDING FOR INTEGRATED CONTROL SYSTEM TESTING,*, 
2010-05-01,Susquehanna 2,89, ,INCREASING POWER,*, 
2010-05-01,Three Mile Island 1,100, , , , 
2010-05-01,Vermont Yankee,0,2010-04-24,REFUELING OUTAGE, , 
2010-05-01,Browns Ferry 1,100, , , , 
2010-05-01,Browns Ferry 2,100, , , , 
2010-05-01,Browns Ferry 3,100, , , , 
2010-05-01,Brunswick 1,100, , ,*, 
2010-05-01,Brunswick 2,100, , , , 
2010-05-01,Catawba 1,100, , , , 
2010-05-01,Catawba 2,100, , , , 
2010-05-01,Crystal River 3,0,2009-09-25,DEFUELED, , 
2010-05-01,Farley 1,100, , , , 
2010-05-01,Farley 2,0,2010-04-04,REFUELING OUTAGE-CORE RELOAD COMPLETED, , 
2010-05-01,Harris 1,100, , , , 
2010-05-01,Hatch 1,100, , , , 
2010-05-01,Hatch 2,100, , ,*, 
2010-05-01,McGuire 1,100, , , , 
2010-05-01,McGuire 2,100, , , , 
2010-05-01,North Anna 1,100, , , , 
2010-05-01,North Anna 2,75, ,INCREASING POWER,*, 
2010-05-01,Oconee 1,100, , , , 
2010-05-01,Oconee 2,0,2010-04-24,REFUELING OUTAGE, , 
2010-05-01,Oconee 3,100, , , , 
2010-05-01,Robinson 2,0,2010-03-28,DEFUELED,*, 
2010-05-01,Saint Lucie 1,0,2010-04-04,DEFUELED, , 
2010-05-01,Saint Lucie 2,100, , , , 
2010-05-01,Sequoyah 1,100, , , , 
2010-05-01,Sequoyah 2,100, , , , 
2010-05-01,Summer,100, , , , 
2010-05-01,Surry 1,100, , , , 
2010-05-01,Surry 2,100, , , , 
2010-05-01,Turkey Point 3,100, , , , 
2010-05-01,Turkey Point 4,100, , , , 
2010-05-01,Vogtle 1,100, , , , 
2010-05-01,Vogtle 2,100, , , , 
2010-05-01,Watts Bar 1,100, , , , 
2010-05-01,Braidwood 1,100, , , , 
2010-05-01,Braidwood 2,100, , , , 
2010-05-01,Byron 1,100, , , , 
2010-05-01,Byron 2,0,2010-04-18,REFUELING OUTAGE, , 
2010-05-01,Clinton,97, ,100% ELECTRICAL CAPABILITY, , 
2010-05-01,D.C. Cook 1,100, , , , 
2010-05-01,D.C. Cook 2,100, , , , 
2010-05-01,Davis-Besse,0,2010-02-27,DEFUELED, , 
2010-05-01,Dresden 2,100, , , , 
2010-05-01,Dresden 3,100, , , , 
2010-05-01,Duane Arnold,0,2010-04-25,MAINTENANCE OUTAGE, , 
2010-05-01,Fermi 2,100, , , , 
2010-05-01,Kewaunee,100, , ,*, 
2010-05-01,La Salle 1,100, , , , 
2010-05-01,La Salle 2,100, , , , 
2010-05-01,Monticello,100, , , , 
2010-05-01,Palisades,100, , , , 
2010-05-01,Perry 1,100, , , , 
2010-05-01,Point Beach 1,100, , , , 
2010-05-01,Point Beach 2,100, , , , 
2010-05-01,Prairie Island 1,100, , , , 
2010-05-01,Prairie Island 2,0,2010-04-16,DEFUELED, , 
2010-05-01,Quad Cities 1,100, , , , 
2010-05-01,Quad Cities 2,100, , , , 
