Date,Unit,Power,Down,Reason or Comment,Change in report(*),Number of Scrams(#)
2001-04-01,BEAVER VALLEY 1,100, , , , 
2001-04-01,BEAVER VALLEY 2,100, , , , 
2001-04-01,CALVERT CLIFFS 1,100, , , , 
2001-04-01,CALVERT CLIFFS 2,0,2001-03-16,REFUELING OUTAGE, , 
2001-04-01,FITZPATRICK 1,60, ,INCREASING POWER,*, 
2001-04-01,GINNA 1,100, , , , 
2001-04-01,HOPE CREEK 1,65, ,HOLDING POWER DUE TO SOLAR MAGNETIC DISTURBANCE'S,*, 
2001-04-01,INDIAN POINT 2,100, , , , 
2001-04-01,INDIAN POINT 3,100, , , , 
2001-04-01,LIMERICK 1,100, , , , 
2001-04-01,LIMERICK 2,83, ,COASTDOWN TO REFUELING OUTAGE, , 
2001-04-01,MILLSTONE 2,100, , , , 
2001-04-01,MILLSTONE 3,32, ,HOLDING POWER LEVEL FOR TESTING,*, 
2001-04-01,NINE MILE POINT 1,0,2001-03-18,REFUELING OUTAGE, , 
2001-04-01,NINE MILE POINT 2,100, , , , 
2001-04-01,OYSTER CREEK 1,94, ,ROD TESTING,*, 
2001-04-01,PEACH BOTTOM 2,100, , , , 
2001-04-01,PEACH BOTTOM 3,100, , , , 
2001-04-01,PILGRIM 1,100, , , , 
2001-04-01,SALEM 1,96, ,COASTDOWN TO REFUELING OUTAGE,*, 
2001-04-01,SALEM 2,100, , , , 
2001-04-01,SEABROOK 1,100, , , , 
2001-04-01,SUSQUEHANNA 1,93, ,ROD SEQUENCE EXCHANGE,*, 
2001-04-01,SUSQUEHANNA 2,0,2001-03-09,REFUELING OUTAGE, , 
2001-04-01,THREE MILE ISLAND 1,100, , , , 
2001-04-01,VERMONT YANKEE 1,100, , , , 
2001-04-01,BROWNS FERRY 1,0,1985-03-03,DEFUELED, , 
2001-04-01,BROWNS FERRY 2,0,2001-03-18,REFUELING OUTAGE, , 
2001-04-01,BROWNS FERRY 3,100, , , , 
2001-04-01,BRUNSWICK 1,100, , , , 
2001-04-01,BRUNSWICK 2,93, ,INCREASING REACTOR POWER,*, 
2001-04-01,CATAWBA 1,100, , , , 
2001-04-01,CATAWBA 2,100, , , , 
2001-04-01,CRYSTAL RIVER 3,100, , , , 
2001-04-01,FARLEY 1,100, , , , 
2001-04-01,FARLEY 2,0,2001-02-24,REFUELING OUTAGE - DEFUELED, , 
2001-04-01,HARRIS 1,100, , , , 
2001-04-01,HATCH 1,23, ,HOLDING POWER LEVEL FOR REPAIRS,*, 
2001-04-01,HATCH 2,100, , , , 
2001-04-01,MCGUIRE 1,0,2001-03-09,REFUELING OUTAGE - DEFUELED, , 
2001-04-01,MCGUIRE 2,100, , , , 
2001-04-01,NORTH ANNA 1,100, , , , 
2001-04-01,NORTH ANNA 2,0,2001-03-10,REFUELING OUTAGE - DEFUELED, , 
2001-04-01,OCONEE 1,100, , , , 
2001-04-01,OCONEE 2,100, , , , 
2001-04-01,OCONEE 3,0,2001-02-16,MAINTENANCE OUTAGE, , 
2001-04-01,ROBINSON 2,73, ,COASTDOWN TO REFUELING OUTAGE,*, 
2001-04-01,SAINT LUCIE 1,88, ,REDUCING POWER LEVEL FOR PLANNED OUTAGE,*, 
2001-04-01,SAINT LUCIE 2,100, , , , 
2001-04-01,SEQUOYAH 1,100, , , , 
2001-04-01,SEQUOYAH 2,100, , , , 
2001-04-01,SUMMER 1,100, , , , 
2001-04-01,SURRY 1,100, , , , 
2001-04-01,SURRY 2,100, , , , 
2001-04-01,TURKEY POINT 3,100, , , , 
2001-04-01,TURKEY POINT 4,100, , , , 
2001-04-01,VOGTLE 1,100, , , , 
2001-04-01,VOGTLE 2,94, ,COASTDOWN TO REFUELING OUTAGE,*, 
2001-04-01,WATTS BAR 1,100, , , , 
2001-04-01,BRAIDWOOD 1,100, , , , 
2001-04-01,BRAIDWOOD 2,100, , , , 
2001-04-01,BYRON 1,100, , , , 
2001-04-01,BYRON 2,93, ,COASTDOWN TO REFUELING OUTAGE,*, 
2001-04-01,CLINTON 1,100, , , , 
2001-04-01,COOK 1,100, , ,*, 
2001-04-01,COOK 2,55, ,CLEANING WATER BOXES,*, 
2001-04-01,DAVIS BESSE 1,60, ,WATER BOX CLEANING, , 
2001-04-01,DRESDEN 2,100, , , , 
2001-04-01,DRESDEN 3,100, , , , 
2001-04-01,DUANE ARNOLD 1,100, , , , 
2001-04-01,FERMI 2,100, , , , 
2001-04-01,KEWAUNEE 1,96, ,MAXIMUM POWER LEVEL DUE TO PLUGGED STEAM GENERATOR TUBES, , 
2001-04-01,LASALLE 1,100, , , , 
2001-04-01,LASALLE 2,50, ,PLANNED MAINTENANCE,*, 
2001-04-01,MONTICELLO 1,0,2001-02-25,MAINTENANCE OUTAGE, , 
2001-04-01,PALISADES 1,0,2001-03-30,REFUELING OUTAGE,*, 
2001-04-01,PERRY 1,100, , ,*, 
2001-04-01,POINT BEACH 1,100, , , , 
2001-04-01,POINT BEACH 2,100, , , , 
2001-04-01,PRAIRIE ISLAND 1,73, ,REDUCING POWER FOR PLANNED MAINTENANCE,*, 
2001-04-01,PRAIRIE ISLAND 2,100, , , , 
2001-04-01,QUAD CITIES 1,100, , , , 
2001-04-01,QUAD CITIES 2,100, , , , 
2001-04-01,ARKANSAS NUCLEAR 1,0,2001-03-16,REFUELING OUTAGE, , 
2001-04-01,ARKANSAS NUCLEAR 2,100, , , , 
2001-04-01,CALLAWAY 1,92, ,COASTDOWN TO REFUELING OUTAGE,*, 
2001-04-01,COLUMBIA GENERATING,100, , , , 
2001-04-01,COMANCHE PEAK 1,0,2001-03-24,REFUELING OUTAGE, , 
2001-04-01,COMANCHE PEAK 2,100, , , , 
2001-04-01,COOPER 1,100, , , , 
2001-04-01,DIABLO CANYON 1,100, , , , 
2001-04-01,DIABLO CANYON 2,100, , , , 
