Date,Unit,Power,Down,Reason or Comment,Change in report (*),Number of Scrams (#)
2012-12-01,Beaver Valley 1,100, , , , 
2012-12-01,Beaver Valley 2,100, , , , 
2012-12-01,Calvert Cliffs 1,1, ,INCREASING POWER,*, 
2012-12-01,Calvert Cliffs 2,100, , , , 
2012-12-01,FitzPatrick,100, , , , 
2012-12-01,Ginna,100, , , , 
2012-12-01,Hope Creek 1,100, , , , 
2012-12-01,Indian Point 2,100, ,138 KV FEEDER (LINE 33332) OOS, , 
2012-12-01,Indian Point 3,100, ,138 KV FEEDER (LINE 33332LM) OOS, , 
2012-12-01,Limerick 1,100, , , , 
2012-12-01,Limerick 2,100, , , , 
2012-12-01,Millstone 2,100, , , , 
2012-12-01,Millstone 3,100, , , , 
2012-12-01,Nine Mile Point 1,0,2012-11-30,MAINTENANCE OUTAGE FOR TURBINE VIBRATION,*, 
2012-12-01,Nine Mile Point 2,100, , , , 
2012-12-01,Oyster Creek,2, ,CRITICAL, HEATING UP, , 
2012-12-01,Peach Bottom 2,100, , , , 
2012-12-01,Peach Bottom 3,100, , ,*, 
2012-12-01,Pilgrim 1,100, , , , 
2012-12-01,Salem 1,100, , , , 
2012-12-01,Salem 2,100, , ,*, 
2012-12-01,Seabrook 1,100, , , , 
2012-12-01,Susquehanna 1,100, , ,*, 
2012-12-01,Susquehanna 2,77, ,INCREASING POWER,*, 
2012-12-01,Three Mile Island 1,100, , , , 
2012-12-01,Vermont Yankee,100, , , , 
2012-12-01,Browns Ferry 1,1, ,INCREASING POWER,*, 
2012-12-01,Browns Ferry 2,100, , , , 
2012-12-01,Browns Ferry 3,100, , , , 
2012-12-01,Brunswick 1,100, , , , 
2012-12-01,Brunswick 2,88, ,INCREASING POWER,*, 
2012-12-01,Catawba 1,0,2012-11-24,REFUELING OUTAGE, , 
2012-12-01,Catawba 2,100, , , , 
2012-12-01,Crystal River 3,0,2009-09-25,DEFUELED - CONT. TENSIONING ON HOLD, , 
2012-12-01,Farley 1,100, , , , 
2012-12-01,Farley 2,100, , , , 
2012-12-01,Harris 1,100, , , , 
2012-12-01,Hatch 1,100, , , , 
2012-12-01,Hatch 2,100, , , , 
2012-12-01,McGuire 1,100, , , , 
2012-12-01,McGuire 2,29, ,HOLD FOR TESTING,*, 
2012-12-01,North Anna 1,100, , , , 
2012-12-01,North Anna 2,100, , , , 
2012-12-01,Oconee 1,75, ,INCREASING POWER,*, 
2012-12-01,Oconee 2,100, , , , 
2012-12-01,Oconee 3,100, , , , 
2012-12-01,Robinson 2,100, ,1 OF 2 GENERATOR OUTPUT BREAKERS TO BE OPENED FOR MAINTENANCE,*, 
2012-12-01,Saint Lucie 1,100, , , , 
2012-12-01,Saint Lucie 2,73, ,HOLDING POWER FOR MAINTENANCE ON THE 2B HTR DRAIN PUMP, , 
2012-12-01,Sequoyah 1,100, , ,*, 
2012-12-01,Sequoyah 2,0,2012-10-14,DEFUELED - REFUELING OUTAGE,*, 
2012-12-01,Summer,0,2012-10-12,EXITING REFUELING OUTAGE,*, 
