Date,Unit,Power,Down,Reason or Comment,Change in report (*),Number of Scrams (#)
2012-04-01,Beaver Valley 1,96, ,COASTDOWN TO REFUELING OUTAGE,*, 
2012-04-01,Beaver Valley 2,100, , , , 
2012-04-01,Calvert Cliffs 1,0,2012-02-05,REFUELING OUTAGE HIGH SYSTEM VOLTAGE ACTION, , 
2012-04-01,Calvert Cliffs 2,100, ,HIGH SYSTEM VOLTAGE ACTION, , 
2012-04-01,FitzPatrick,100, , , , 
2012-04-01,Ginna,100, , , , 
2012-04-01,Hope Creek 1,99, ,COASTDOWN TO REFUELING OUTAGE - HIGH SYSTEM VOLTAGE ACTION, , 
2012-04-01,Indian Point 2,6, ,TROUBLESHOOTING TURBINE GENERATOR EXCITER,*, 
2012-04-01,Indian Point 3,100, , , , 
2012-04-01,Limerick 1,100, , , , 
2012-04-01,Limerick 2,100, , , , 
2012-04-01,Millstone 2,100, , , , 
2012-04-01,Millstone 3,100, , , , 
2012-04-01,Nine Mile Point 1,100, , , , 
2012-04-01,Nine Mile Point 2,97, ,COASTDOWN TO REFUELING OUTAGE, , 
2012-04-01,Oyster Creek,100, , , , 
2012-04-01,Peach Bottom 2,100, , , , 
2012-04-01,Peach Bottom 3,100, , , , 
2012-04-01,Pilgrim 1,100, , , , 
2012-04-01,Salem 1,100, , , , 
2012-04-01,Salem 2,100, , , , 
2012-04-01,Seabrook 1,85, ,HOLDING POWER BASED ON GENERATOR STATOR COOLING DELTA T LIMIT., , 
2012-04-01,Susquehanna 1,0,2012-03-31,REFUELING OUTAGE - HIGH SYSTEM VOLTAGE ACTION,*, 
2012-04-01,Susquehanna 2,100, ,HIGH SYSTEM VOLTAGE ACTION, , 
2012-04-01,Three Mile Island 1,100, , ,*, 
2012-04-01,Vermont Yankee,100, , ,*, 
2012-04-01,Browns Ferry 1,100, , , , 
2012-04-01,Browns Ferry 2,100, , , , 
2012-04-01,Browns Ferry 3,95, ,COASTDOWN TO REFUELING OUTAGE, , 
2012-04-01,Brunswick 1,0,2012-02-23,REFUELING OUTAGE, , 
2012-04-01,Brunswick 2,100, , , , 
2012-04-01,Catawba 1,100, , , , 
2012-04-01,Catawba 2,0,2012-03-10,FUEL LOADED,*, 
2012-04-01,Crystal River 3,0,2009-09-25,DEFUELED - CONTAINMENT TENSIONING ON HOLD, , 
2012-04-01,Farley 1,30, ,COASTDOWN TO REFUELING OUTAGE,*, 
2012-04-01,Farley 2,100, , , , 
2012-04-01,Harris 1,100, , , , 
2012-04-01,Hatch 1,92, ,ROD PATTERN ADJUSTMENT,*, 
2012-04-01,Hatch 2,100, , , , 
2012-04-01,McGuire 1,100, , , , 
2012-04-01,McGuire 2,100, , , , 
2012-04-01,North Anna 1,0,2012-03-10,REFUELING OUTAGE, , 
2012-04-01,North Anna 2,100, , , , 
2012-04-01,Oconee 1,100, , , , 
2012-04-01,Oconee 2,100, , , , 
2012-04-01,Oconee 3,90, ,COASTDOWN TO REFUELING OUTAGE, , 
2012-04-01,Robinson 2,45, ,INCREASING POWER,*, 
2012-04-01,Saint Lucie 1,0,2012-03-30,MANUAL RX TRIP - SEE EN #47793, , 
2012-04-01,Saint Lucie 2,100, , , , 
2012-04-01,Sequoyah 1,14, ,READY TO ROLL TURBINE,*, 
2012-04-01,Sequoyah 2,100, , , , 
2012-04-01,Summer,100, , , , 
2012-04-01,Surry 1,100, , , , 
2012-04-01,Surry 2,100, , , , 
2012-04-01,Turkey Point 3,0,2012-02-26,DEFUELED, , 
2012-04-01,Turkey Point 4,100, , , , 
2012-04-01,Vogtle 1,100, , , , 
2012-04-01,Vogtle 2,100, , , , 
2012-04-01,Watts Bar 1,100, , , , 
2012-04-01,Braidwood 1,100, , , , 
2012-04-01,Braidwood 2,100, , , , 
2012-04-01,Byron 1,100, ,FEED WATER FLOW INVESTIGATION,*, 
2012-04-01,Byron 2,100, ,FEED WATER FLOW INVESTIGATION, , 
2012-04-01,Clinton,97, ,100% ELECTRICAL CAPABILITY, , 
2012-04-01,D.C. Cook 1,100, ,HIGH SYSTEM VOLTAGE ALERT IN EFFECT, , 
2012-04-01,D.C. Cook 2,0,2012-03-21,DEFUELED - HIGH SYSTEM VOLTAGE ALERT IN EFFECT,*, 
2012-04-01,Davis-Besse,100, ,HIGH VOLTAGE WARNING,*, 
2012-04-01,Dresden 2,100, , , , 
2012-04-01,Dresden 3,100, , , , 
2012-04-01,Duane Arnold,100, , , , 
