Date,Unit,Power,Down,Reason or Comment,Change in report(*),Number of Scrams(#)
1999-06-01,BEAVER VALLEY 1,100, , ,*, 
1999-06-01,BEAVER VALLEY 2,100, , , , 
1999-06-01,CALVERT CLIFFS 1,100, , , , 
1999-06-01,CALVERT CLIFFS 2,100, , , , 
1999-06-01,FITZPATRICK 1,100, , , , 
1999-06-01,GINNA 1,100, , , , 
1999-06-01,HOPE CREEK 1,100, , , , 
1999-06-01,INDIAN POINT 2,99, , ,*, 
1999-06-01,INDIAN POINT 3,100, , , , 
1999-06-01,LIMERICK 1,100, , , , 
1999-06-01,LIMERICK 2,100, , , , 
1999-06-01,MILLSTONE 2,100, , ,*, 
1999-06-01,MILLSTONE 3,0,1999-05-01,REFUELING OUTAGE - DEFUELED, , 
1999-06-01,NINE MILE POINT 1,0,1999-04-11,REFUELING OUTAGE,*, 
1999-06-01,NINE MILE POINT 2,100, , , , 
1999-06-01,OYSTER CREEK 1,100, , , , 
1999-06-01,PEACH BOTTOM 2,100, , , , 
1999-06-01,PEACH BOTTOM 3,100, , , , 
1999-06-01,PILGRIM 1,0,1999-05-08,REFUELING OUTAGE,*, 
1999-06-01,SALEM 1,100, , , , 
1999-06-01,SALEM 2,75, ,ADJUSTING NUCLEAR INSTRUMENTATION,*, 
1999-06-01,SEABROOK 1,100, , , , 
1999-06-01,SUSQUEHANNA 1,0,1999-05-29,MAINTENANCE OUTAGE, , 
1999-06-01,SUSQUEHANNA 2,100, , , , 
1999-06-01,THREE MILE ISLAND 1,100, , , , 
1999-06-01,VERMONT YANKEE 1,100, , , , 
1999-06-01,BROWNS FERRY 1,0,1985-03-03,DEFUELED, , 
1999-06-01,BROWNS FERRY 2,100, , , , 
1999-06-01,BROWNS FERRY 3,100, , , , 
1999-06-01,BRUNSWICK 1,100, , , , 
1999-06-01,BRUNSWICK 2,100, , , , 
1999-06-01,CATAWBA 1,100, , , , 
1999-06-01,CATAWBA 2,0,1999-05-03,MAINTENANCE OUTAGE - REPAIRING MAIN GENERATOR ROTOR,*, 
1999-06-01,CRYSTAL RIVER 3,100, , , , 
1999-06-01,FARLEY 1,100, , ,*, 
1999-06-01,FARLEY 2,100, , , , 
1999-06-01,HARRIS 1,100, , , , 
1999-06-01,HATCH 1,100, , ,*, 
1999-06-01,HATCH 2,98, , ,*, 
1999-06-01,MCGUIRE 1,100, , , , 
1999-06-01,MCGUIRE 2,100, , , , 
1999-06-01,NORTH ANNA 1,83, ,CLEANING MAIN CONDENSER WATER BOXES,*, 
1999-06-01,NORTH ANNA 2,100, , , , 
1999-06-01,OCONEE 1,0,1999-05-20,REFUELING OUTAGE - DEFUELED,*, 
1999-06-01,OCONEE 2,100, , , , 
1999-06-01,OCONEE 3,100, , , , 
1999-06-01,ROBINSON 2,100, , ,*, 
1999-06-01,SAINT LUCIE 1,100, , , , 
1999-06-01,SAINT LUCIE 2,48, ,INVESTIGATING CAUSE OF DROPPED CONTROL ROD. REFER TO EVENT #35785.,*, 
1999-06-01,SEQUOYAH 1,100, , , , 
1999-06-01,SEQUOYAH 2,100, , , , 
1999-06-01,SUMMER 1,100, , , , 
1999-06-01,SURRY 1,100, , , , 
1999-06-01,SURRY 2,64, ,REPAIRING 'B' MAIN FEEDWATER PUMP,*, 
1999-06-01,TURKEY POINT 3,100, , , , 
1999-06-01,TURKEY POINT 4,100, , , , 
1999-06-01,VOGTLE 1,100, , , , 
1999-06-01,VOGTLE 2,100, , , , 
1999-06-01,WATTS BAR 1,100, , , , 
1999-06-01,BRAIDWOOD 1,100, , , , 
1999-06-01,BRAIDWOOD 2,100, , , , 
1999-06-01,BYRON 1,100, , , , 
1999-06-01,BYRON 2,100, , , , 
1999-06-01,CLINTON 1,70, ,INCREASING POWER,*, 
1999-06-01,COOK 1,0,1997-09-08,MAINTENANCE OUTAGE, , 
1999-06-01,COOK 2,0,1997-09-09,REFUELING OUTAGE, , 
1999-06-01,DAVIS BESSE 1,100, , , , 
1999-06-01,DRESDEN 2,99, , , , 
1999-06-01,DRESDEN 3,91, ,FLUSHING MAIN CONDENSER WITH REVERSE CIRC WATER FLOW,*, 
1999-06-01,DUANE ARNOLD 1,100, , , , 
1999-06-01,FERMI 2,97, , , , 
1999-06-01,KEWAUNEE 1,97, ,POWER LIMITED DUE TO STEAM GENERATOR TUBE PLUGGING, , 
1999-06-01,LASALLE 1,100, , , , 
1999-06-01,LASALLE 2,100, , , , 
1999-06-01,MONTICELLO 1,100, , , , 
1999-06-01,PALISADES 1,100, , , , 
1999-06-01,PERRY 1,100, , , , 
1999-06-01,POINT BEACH 1,100, , , , 
1999-06-01,POINT BEACH 2,100, , , , 
1999-06-01,PRAIRIE ISLAND 1,100, , , , 
1999-06-01,PRAIRIE ISLAND 2,100, , , , 
1999-06-01,QUAD CITIES 1,100, , , , 
1999-06-01,QUAD CITIES 2,100, , , , 
1999-06-01,ARKANSAS NUCLEAR 1,100, , , , 
1999-06-01,ARKANSAS NUCLEAR 2,100, , , , 
1999-06-01,CALLAWAY 1,100, , , , 
1999-06-01,COMANCHE PEAK 1,100, , , , 
1999-06-01,COMANCHE PEAK 2,100, , , , 
1999-06-01,COOPER 1,100, , , , 
1999-06-01,DIABLO CANYON 1,100, , , , 
1999-06-01,DIABLO CANYON 2,100, , , , 
1999-06-01,FT CALHOUN 1,100, , , , 
1999-06-01,GRAND GULF 1,100, , , , 
1999-06-01,PALO VERDE 1,100, , , , 
1999-06-01,PALO VERDE 2,100, , , , 
1999-06-01,PALO VERDE 3,100, , , , 
1999-06-01,RIVER BEND 1,0,1999-04-03,REFUELING OUTAGE, , 
1999-06-01,SAN ONOFRE 2,100, , , , 
1999-06-01,SAN ONOFRE 3,100, , , , 
1999-06-01,SOUTH TEXAS 1,100, , , , 
1999-06-01,SOUTH TEXAS 2,100, , ,*, 
1999-06-01,WASHINGTON NUCLEAR 2,0,1999-04-17,MAINTENANCE OUTAGE, , 
1999-06-01,WATERFORD 3,100, , , , 
1999-06-01,WOLF CREEK 1,100, , , , 
1999-06-02,BEAVER VALLEY 1,100, , ,*, 
1999-06-02,BEAVER VALLEY 2,100, , , , 
1999-06-02,CALVERT CLIFFS 1,100, , , , 
1999-06-02,CALVERT CLIFFS 2,100, , , , 
1999-06-02,FITZPATRICK 1,100, , , , 
1999-06-02,GINNA 1,100, , , , 
1999-06-02,HOPE CREEK 1,100, , , , 
1999-06-02,INDIAN POINT 2,99, , ,*, 
1999-06-02,INDIAN POINT 3,100, , , , 
1999-06-02,LIMERICK 1,100, , , , 
1999-06-02,LIMERICK 2,100, , , , 
1999-06-02,MILLSTONE 2,100, , , , 
1999-06-02,MILLSTONE 3,0,1999-05-01,REFUELING OUTAGE,*, 
1999-06-02,NINE MILE POINT 1,0,1999-04-11,REFUELING OUTAGE,*, 
1999-06-02,NINE MILE POINT 2,100, , , , 
1999-06-02,OYSTER CREEK 1,100, , , , 
1999-06-02,PEACH BOTTOM 2,100, , , , 
1999-06-02,PEACH BOTTOM 3,100, , , , 
1999-06-02,PILGRIM 1,0,1999-05-08,REFUELING OUTAGE,*, 
1999-06-02,SALEM 1,78, ,REPAIRING MAIN TURBINE AUXILIARY COOLING HEAT EXCHANGER,*, 
1999-06-02,SALEM 2,76, ,ADJUSTING NUCLEAR INSTRUMENTATION,*, 
1999-06-02,SEABROOK 1,100, , , , 
1999-06-02,SUSQUEHANNA 1,0,1999-05-29,MAINTENANCE OUTAGE, , 
1999-06-02,SUSQUEHANNA 2,100, , , , 
1999-06-02,THREE MILE ISLAND 1,100, , , , 
1999-06-02,VERMONT YANKEE 1,100, , , , 
1999-06-02,BROWNS FERRY 1,0,1985-03-03,DEFUELED, , 
1999-06-02,BROWNS FERRY 2,100, , , , 
1999-06-02,BROWNS FERRY 3,100, , , , 
1999-06-02,BRUNSWICK 1,100, , , , 
1999-06-02,BRUNSWICK 2,100, , , , 
1999-06-02,CATAWBA 1,100, , , , 
1999-06-02,CATAWBA 2,0,1999-05-03,MAINTENANCE OUTAGE - REPAIRING MAIN GENERATOR ROTOR,*, 
1999-06-02,CRYSTAL RIVER 3,100, , , , 
1999-06-02,FARLEY 1,100, , , , 
1999-06-02,FARLEY 2,100, , , , 
1999-06-02,HARRIS 1,100, , , , 
1999-06-02,HATCH 1,100, , ,*, 
1999-06-02,HATCH 2,100, , ,*, 
1999-06-02,MCGUIRE 1,100, , , , 
1999-06-02,MCGUIRE 2,100, , , , 
1999-06-02,NORTH ANNA 1,87, ,CLEANING MAIN CONDENSER WATER BOXES,*, 
1999-06-02,NORTH ANNA 2,100, , , , 
1999-06-02,OCONEE 1,0,1999-05-20,REFUELING OUTAGE - DEFUELED,*, 
1999-06-02,OCONEE 2,100, , , , 
1999-06-02,OCONEE 3,100, , , , 
1999-06-02,ROBINSON 2,100, , , , 
1999-06-02,SAINT LUCIE 1,100, , , , 
1999-06-02,SAINT LUCIE 2,48, ,INVESTIGATING CAUSE OF DROPPED CONTROL ROD. REFER TO EVENT #35785.,*, 
1999-06-02,SEQUOYAH 1,100, , , , 
1999-06-02,SEQUOYAH 2,100, , , , 
1999-06-02,SUMMER 1,100, , , , 
1999-06-02,SURRY 1,100, , , , 
1999-06-02,SURRY 2,64, ,REPAIRING 'B' MAIN FEEDWATER PUMP,*, 
1999-06-02,TURKEY POINT 3,100, , , , 
1999-06-02,TURKEY POINT 4,100, , , , 
1999-06-02,VOGTLE 1,100, , , , 
1999-06-02,VOGTLE 2,100, , , , 
1999-06-02,WATTS BAR 1,100, , , , 
1999-06-02,BRAIDWOOD 1,100, , , , 
1999-06-02,BRAIDWOOD 2,100, , , , 
1999-06-02,BYRON 1,100, , , , 
1999-06-02,BYRON 2,100, , , , 
1999-06-02,CLINTON 1,70, ,INCREASING POWER,*, 
1999-06-02,COOK 1,0,1997-09-08,MAINTENANCE OUTAGE, , 
1999-06-02,COOK 2,0,1997-09-09,REFUELING OUTAGE, , 
1999-06-02,DAVIS BESSE 1,100, , , , 
1999-06-02,DRESDEN 2,99, , , , 
1999-06-02,DRESDEN 3,91, ,FLUSHING MAIN CONDENSER WITH REVERSE CIRC WATER FLOW,*, 
1999-06-02,DUANE ARNOLD 1,100, , , , 
1999-06-02,FERMI 2,97, , , , 
1999-06-02,KEWAUNEE 1,97, , ,*, 
1999-06-02,LASALLE 1,100, , , , 
1999-06-02,LASALLE 2,100, , , , 
1999-06-02,MONTICELLO 1,100, , , , 
1999-06-02,PALISADES 1,100, , , , 
1999-06-02,PERRY 1,100, , , , 
1999-06-02,POINT BEACH 1,100, , , , 
1999-06-02,POINT BEACH 2,100, , , , 
1999-06-02,PRAIRIE ISLAND 1,100, , , , 
1999-06-02,PRAIRIE ISLAND 2,100, , , , 
1999-06-02,QUAD CITIES 1,100, , , , 
1999-06-02,QUAD CITIES 2,100, , , , 
1999-06-02,ARKANSAS NUCLEAR 1,100, , , , 
1999-06-02,ARKANSAS NUCLEAR 2,100, , , , 
1999-06-02,CALLAWAY 1,100, , , , 
1999-06-02,COMANCHE PEAK 1,100, , , , 
1999-06-02,COMANCHE PEAK 2,100, , , , 
1999-06-02,COOPER 1,100, , , , 
1999-06-02,DIABLO CANYON 1,100, , , , 
1999-06-02,DIABLO CANYON 2,100, , , , 
1999-06-02,FT CALHOUN 1,100, , , , 
1999-06-02,GRAND GULF 1,100, , , , 
1999-06-02,PALO VERDE 1,100, , , , 
1999-06-02,PALO VERDE 2,100, , , , 
1999-06-02,PALO VERDE 3,100, , , , 
1999-06-02,RIVER BEND 1,0,1999-04-03,REFUELING OUTAGE, , 
1999-06-02,SAN ONOFRE 2,100, , , , 
1999-06-02,SAN ONOFRE 3,100, , , , 
1999-06-02,SOUTH TEXAS 1,100, , , , 
1999-06-02,SOUTH TEXAS 2,100, , ,*, 
1999-06-02,WASHINGTON NUCLEAR 2,0,1999-04-17,MAINTENANCE OUTAGE, , 
1999-06-02,WATERFORD 3,100, , , , 
1999-06-02,WOLF CREEK 1,100, , , , 
1999-06-03,BEAVER VALLEY 1,100, , , , 
1999-06-03,BEAVER VALLEY 2,100, , , , 
1999-06-03,CALVERT CLIFFS 1,100, , , , 
1999-06-03,CALVERT CLIFFS 2,100, , , , 
1999-06-03,FITZPATRICK 1,100, , , , 
1999-06-03,GINNA 1,100, , , , 
1999-06-03,HOPE CREEK 1,100, , , , 
1999-06-03,INDIAN POINT 2,99, , , , 
1999-06-03,INDIAN POINT 3,100, , , , 
1999-06-03,LIMERICK 1,100, , , , 
1999-06-03,LIMERICK 2,100, , , , 
1999-06-03,MILLSTONE 2,100, , , , 
1999-06-03,MILLSTONE 3,0,1999-05-01,REFUELING OUTAGE,*, 
1999-06-03,NINE MILE POINT 1,0,1999-04-11,REFUELING OUTAGE, , 
1999-06-03,NINE MILE POINT 2,100, , , , 
1999-06-03,OYSTER CREEK 1,100, , , , 
1999-06-03,PEACH BOTTOM 2,100, , , , 
1999-06-03,PEACH BOTTOM 3,100, , , , 
1999-06-03,PILGRIM 1,0,1999-05-08,REFUELING OUTAGE, , 
1999-06-03,SALEM 1,78, ,REPAIRING MAIN TURBINE AUXILIARY COOLING HEAT EXCHANGER,*, 
1999-06-03,SALEM 2,76, ,ADJUSTING NUCLEAR INSTRUMENTATION,*, 
1999-06-03,SEABROOK 1,100, , , , 
1999-06-03,SUSQUEHANNA 1,0,1999-05-29,MAINTENANCE OUTAGE, , 
1999-06-03,SUSQUEHANNA 2,100, , , , 
1999-06-03,THREE MILE ISLAND 1,100, , , , 
1999-06-03,VERMONT YANKEE 1,100, , , , 
1999-06-03,BROWNS FERRY 1,0,1985-03-03,DEFUELED, , 
1999-06-03,BROWNS FERRY 2,100, , , , 
1999-06-03,BROWNS FERRY 3,100, , , , 
1999-06-03,BRUNSWICK 1,100, , , , 
1999-06-03,BRUNSWICK 2,100, , , , 
1999-06-03,CATAWBA 1,100, , , , 
1999-06-03,CATAWBA 2,0,1999-05-03,MAINTENANCE OUTAGE - REPAIRING MAIN GENERATOR ROTOR, , 
1999-06-03,CRYSTAL RIVER 3,100, , , , 
1999-06-03,FARLEY 1,100, , , , 
1999-06-03,FARLEY 2,100, , , , 
1999-06-03,HARRIS 1,100, , , , 
1999-06-03,HATCH 1,100, , , , 
1999-06-03,HATCH 2,100, , ,*, 
1999-06-03,MCGUIRE 1,100, , , , 
1999-06-03,MCGUIRE 2,100, , , , 
1999-06-03,NORTH ANNA 1,87, ,CLEANING MAIN CONDENSER WATER BOXES,*, 
1999-06-03,NORTH ANNA 2,100, , , , 
1999-06-03,OCONEE 1,0,1999-05-20,REFUELING OUTAGE - DEFUELED, , 
1999-06-03,OCONEE 2,100, , , , 
1999-06-03,OCONEE 3,100, , , , 
1999-06-03,ROBINSON 2,100, , , , 
1999-06-03,SAINT LUCIE 1,100, , , , 
1999-06-03,SAINT LUCIE 2,48, ,INVESTIGATING CAUSE OF DROPPED CONTROL ROD,*, 
1999-06-03,SEQUOYAH 1,100, , , , 
1999-06-03,SEQUOYAH 2,100, , , , 
1999-06-03,SUMMER 1,100, , , , 
1999-06-03,SURRY 1,100, , , , 
1999-06-03,SURRY 2,93, ,INCREASING POWER,*, 
1999-06-03,TURKEY POINT 3,100, , , , 
