Date,Unit,Power,Down,Reason or Comment,Change in report (*),Number of Scrams (#)
2006-11-01,Beaver Valley 1,100, , , , 
2006-11-01,Beaver Valley 2,0,2006-10-01,REFUELING OUTAGE, , 
2006-11-01,Calvert Cliffs 1,100, ,4KV FEEDER LINE OOS FOR MAINTENANCE,*, 
2006-11-01,Calvert Cliffs 2,100, ,4KV FEEDER LINE OOS FOR MAINTENANCE,*, 
2006-11-01,FitzPatrick,0,2006-10-08,REFUELING OUTAGE, , 
2006-11-01,Ginna,0,2006-10-08,REFUELING OUTAGE, , 
2006-11-01,Hope Creek 1,100, , , , 
2006-11-01,Indian Point 2,100, , , , 
2006-11-01,Indian Point 3,100, , , , 
2006-11-01,Limerick 1,100, , , , 
2006-11-01,Limerick 2,100, , , , 
2006-11-01,Millstone 2,0,2006-10-06,DEFUELED, , 
2006-11-01,Millstone 3,100, , , , 
2006-11-01,Nine Mile Point 1,100, , , , 
2006-11-01,Nine Mile Point 2,100, , , , 
2006-11-01,Oyster Creek,0,2006-10-15,REFUELING OUTAGE, , 
2006-11-01,Peach Bottom 2,100, , , , 
2006-11-01,Peach Bottom 3,100, , , , 
2006-11-01,Pilgrim 1,100, , , , 
2006-11-01,Salem 1,100, , , , 
2006-11-01,Salem 2,18, ,HOLDING,*, 
2006-11-01,Seabrook 1,0,2006-09-30,REFUELING OUTAGE,*, 
2006-11-01,Susquehanna 1,100, , , , 
2006-11-01,Susquehanna 2,100, , , , 
2006-11-01,Three Mile Island 1,100, , , , 
2006-11-01,Vermont Yankee,100, , , , 
2006-11-01,Browns Ferry 1,0,1985-03-03,DEFUELED 500KV LINE MAINTENANCE, , 
2006-11-01,Browns Ferry 2,100, ,500KV LINE MAINTENANCE, , 
2006-11-01,Browns Ferry 3,100, ,500KV LINE MAINTENANCE, , 
2006-11-01,Brunswick 1,100, , , , 
2006-11-01,Brunswick 2,100, , , , 
2006-11-01,Catawba 1,100, , , , 
2006-11-01,Catawba 2,100, , , , 
2006-11-01,Crystal River 3,100, , , , 
2006-11-01,Farley 1,100, , , , 
2006-11-01,Farley 2,100, , , , 
2006-11-01,Harris 1,100, , , , 
2006-11-01,Hatch 1,100, , , , 
2006-11-01,Hatch 2,100, , , , 
2006-11-01,McGuire 1,100, , , , 
2006-11-01,McGuire 2,0,2006-09-16,REFUELING OUTAGE, , 
2006-11-01,North Anna 1,100, , , , 
2006-11-01,North Anna 2,100, , , , 
2006-11-01,Oconee 1,0,2006-10-06,REFUELING OUTAGE - DEFUELED; ONE 100KV OFFSITE LINE BEING TAKEN OOS FOR 1 SHIFT FOR MAINTENANCE,*, 
2006-11-01,Oconee 2,100, ,ONE 100KV OFFSITE LINE BEING TAKEN OOS FOR 1 SHIFT FOR MAINTENANCE,*, 
2006-11-01,Oconee 3,100, ,ONE 100KV OFFSITE LINE BEING TAKEN OOS FOR 1 SHIFT FOR MAINTENANCE,*, 
2006-11-01,Robinson 2,100, , , , 
2006-11-01,Saint Lucie 1,100, , , , 
2006-11-01,Saint Lucie 2,100, , , , 
2006-11-01,Sequoyah 1,100, , , , 
2006-11-01,Sequoyah 2,100, , , , 
2006-11-01,Summer,0,2006-10-13,DEFUELED SAFEGUARD BUSES ON SAME OFFSITE POWER SOURCE, , 
2006-11-01,Surry 1,100, , , , 
2006-11-01,Surry 2,0,2006-10-07,DEFUELED, , 
2006-11-01,Turkey Point 3,100, , , , 
2006-11-01,Turkey Point 4,0,2006-10-30,REFUELING OUTAGE, , 
2006-11-01,Vogtle 1,76, ,INCREASING POWER,*, 
2006-11-01,Vogtle 2,100, , , , 
2006-11-01,Watts Bar 1,0,2006-09-10,DEFUELED - REPLACING ALL 4 STEAM GENERATORS, , 
2006-11-01,Braidwood 1,100, , , , 
2006-11-01,Braidwood 2,0,2006-10-15,REFUELING OUTAGE, , 
2006-11-01,Byron 1,100, , , , 
2006-11-01,Byron 2,100, , , , 
2006-11-01,Clinton,96, ,100% ELECTRICAL CAPABILITY, , 
