Date,Unit,Power,Down,Reason or Comment,Change in report(*),Number of Scrams(#)
1999-05-01,BEAVER VALLEY 1,16, ,STARTUP TESTING,*, 
1999-05-01,BEAVER VALLEY 2,100, , , , 
1999-05-01,CALVERT CLIFFS 1,100, , , , 
1999-05-01,CALVERT CLIFFS 2,0,1999-03-12,REFUELING OUTAGE, , 
1999-05-01,FITZPATRICK 1,100, , , , 
1999-05-01,GINNA 1,95, , ,*, 
1999-05-01,HOPE CREEK 1,95, , ,*, 
1999-05-01,INDIAN POINT 2,99, , ,*, 
1999-05-01,INDIAN POINT 3,100, , , , 
1999-05-01,LIMERICK 1,95, , ,*, 
1999-05-01,LIMERICK 2,0,1999-04-16,REFUELING OUTAGE, , 
1999-05-01,MILLSTONE 2,0,1996-02-20,PLANT STARTUP ON HOLD DUE TO A TEMPORARY COURT RESTRAINING ORDER,*, 
1999-05-01,MILLSTONE 3,20, ,SHUTTING DOWN TO REFUELING OUTAGE,*, 
1999-05-01,NINE MILE POINT 1,0,1999-04-11,REFUELING OUTAGE - DEFUELED, , 
1999-05-01,NINE MILE POINT 2,0,1999-04-23,MAINTENANCE OUTAGE, , 
1999-05-01,OYSTER CREEK 1,100, , , , 
1999-05-01,PEACH BOTTOM 2,100, , , , 
1999-05-01,PEACH BOTTOM 3,100, , , , 
1999-05-01,PILGRIM 1,80, ,INOPERABLE MAIN STEAM ISOLATION VALVE, , 
1999-05-01,SALEM 1,100, , , , 
1999-05-01,SALEM 2,0,1999-04-03,REFUELING OUTAGE, , 
1999-05-01,SEABROOK 1,0,1999-03-27,REFUELING OUTAGE, , 
1999-05-01,SUSQUEHANNA 1,100, , , , 
1999-05-01,SUSQUEHANNA 2,90, ,INCREASING POWER,*, 
1999-05-01,THREE MILE ISLAND 1,100, , , , 
1999-05-01,VERMONT YANKEE 1,100, , , , 
1999-05-01,BROWNS FERRY 1,0,1985-03-03,DEFUELED, , 
1999-05-01,BROWNS FERRY 2,0,1999-04-11,REFUELING OUTAGE,*, 
1999-05-01,BROWNS FERRY 3,100, , , , 
1999-05-01,BRUNSWICK 1,100, , , , 
1999-05-01,BRUNSWICK 2,0,1999-04-16,REFUELING OUTAGE - DEFUELED, , 
1999-05-01,CATAWBA 1,0,1999-04-21,REFUELING OUTAGE, , 
1999-05-01,CATAWBA 2,100, , , , 
1999-05-01,CRYSTAL RIVER 3,100, , , , 
1999-05-01,FARLEY 1,100, , , , 
1999-05-01,FARLEY 2,49, ,OPERATING AT REDUCED POWER TO AVOID COASTDOWN DURING PEAK DEMAND PERIOD, , 
1999-05-01,HARRIS 1,100, , , , 
1999-05-01,HATCH 1,16, ,STARTUP TESTING,*, 
1999-05-01,HATCH 2,98, , ,*, 
1999-05-01,MCGUIRE 1,100, , , , 
1999-05-01,MCGUIRE 2,100, , , , 
1999-05-01,NORTH ANNA 1,100, , , , 
1999-05-01,NORTH ANNA 2,100, , , , 
1999-05-01,OCONEE 1,100, , , , 
1999-05-01,OCONEE 2,100, , , , 
1999-05-01,OCONEE 3,100, , , , 
1999-05-01,ROBINSON 2,100, , , , 
1999-05-01,SAINT LUCIE 1,100, , , , 
1999-05-01,SAINT LUCIE 2,100, , , , 
1999-05-01,SEQUOYAH 1,100, , , , 
1999-05-01,SEQUOYAH 2,0,1999-04-18,REFUELING OUTAGE, , 
1999-05-01,SUMMER 1,0,1999-04-03,REFUELING OUTAGE, , 
1999-05-01,SURRY 1,100, , , , 
1999-05-01,SURRY 2,0,1999-04-18,REFUELING OUTAGE - DEFUELED, , 
1999-05-01,TURKEY POINT 3,100, , , , 
1999-05-01,TURKEY POINT 4,100, , , , 
1999-05-01,VOGTLE 1,100, , , , 
1999-05-01,VOGTLE 2,100, , , , 
1999-05-01,WATTS BAR 1,100, , , , 
1999-05-01,BRAIDWOOD 1,100, , , , 
1999-05-01,BRAIDWOOD 2,0,1999-04-23,REFUELING OUTAGE, , 
1999-05-01,BYRON 1,99, , ,*, 
1999-05-01,BYRON 2,100, , , , 
1999-05-01,CLINTON 1,0,1996-09-06,REFUELING OUTAGE, , 
1999-05-01,COOK 1,0,1997-09-08,MAINTENANCE OUTAGE, , 
1999-05-01,COOK 2,0,1997-09-09,REFUELING OUTAGE, , 
1999-05-01,DAVIS BESSE 1,0,1999-04-23,MAINTENANCE OUTAGE, , 
1999-05-01,DRESDEN 2,100, , , , 
1999-05-01,DRESDEN 3,100, , ,*, 
1999-05-01,DUANE ARNOLD 1,26, ,INCREASING POWER,*, 
1999-05-01,FERMI 2,97, , ,*, 
1999-05-01,KEWAUNEE 1,97, , , , 
1999-05-01,LASALLE 1,100, , , , 
1999-05-01,LASALLE 2,60, ,LOCATING MAIN CONDENSER TUBE LEAK,*, 
1999-05-01,MONTICELLO 1,90, ,INCREASING POWER,*, 
1999-05-01,PALISADES 1,100, , , , 
1999-05-01,PERRY 1,0,1999-03-26,REFUELING OUTAGE, , 
1999-05-01,POINT BEACH 1,100, , , , 
1999-05-01,POINT BEACH 2,100, , , , 
1999-05-01,PRAIRIE ISLAND 1,0,1999-04-16,REFUELING OUTAGE, , 
1999-05-01,PRAIRIE ISLAND 2,100, , , , 
1999-05-01,QUAD CITIES 1,15, ,STARTUP TESTING,*, 
1999-05-01,QUAD CITIES 2,100, , , , 
1999-05-01,ARKANSAS NUCLEAR 1,100, , , , 
1999-05-01,ARKANSAS NUCLEAR 2,100, , , , 
1999-05-01,CALLAWAY 1,100, , , , 
1999-05-01,COMANCHE PEAK 1,100, , , , 
1999-05-01,COMANCHE PEAK 2,100, , , , 
1999-05-01,COOPER 1,100, , , , 
1999-05-01,DIABLO CANYON 1,100, , , , 
1999-05-01,DIABLO CANYON 2,97, , ,*, 
1999-05-01,FT CALHOUN 1,100, , , , 
1999-05-01,GRAND GULF 1,100, , , , 
1999-05-01,PALO VERDE 1,100, , , , 
1999-05-01,PALO VERDE 2,1, ,STARTUP TESTING,*, 
1999-05-01,PALO VERDE 3,100, , , , 
1999-05-01,RIVER BEND 1,0,1999-04-03,REFUELING OUTAGE, , 
1999-05-01,SAN ONOFRE 2,100, , , , 
1999-05-01,SAN ONOFRE 3,0,1999-03-27,REFUELING OUTAGE,*, 
1999-05-01,SOUTH TEXAS 1,77, ,INCREASING POWER,*, 
1999-05-01,SOUTH TEXAS 2,100, , , , 
1999-05-01,WASHINGTON NUCLEAR 2,0,1999-04-17,MAINTENANCE OUTAGE, , 
1999-05-01,WATERFORD 3,94, ,TESTING MODERATOR TEMPERATURE COEFFICIENT,*, 
1999-05-01,WOLF CREEK 1,0,1999-04-03,REFUELING OUTAGE, , 
1999-05-02,BEAVER VALLEY 1,0,1999-05-01,SHUTDOWN FROM STARTUP TESTING DUE TO PROBLEMS WITH THE MAIN TURBINE SEAL OIL,*, 
1999-05-02,BEAVER VALLEY 2,100, , , , 
1999-05-02,CALVERT CLIFFS 1,100, , , , 
1999-05-02,CALVERT CLIFFS 2,0,1999-03-12,REFUELING OUTAGE, , 
1999-05-02,FITZPATRICK 1,100, , , , 
1999-05-02,GINNA 1,99, , ,*, 
1999-05-02,HOPE CREEK 1,97, , ,*, 
1999-05-02,INDIAN POINT 2,99, , , , 
1999-05-02,INDIAN POINT 3,100, , , , 
1999-05-02,LIMERICK 1,100, , ,*, 
1999-05-02,LIMERICK 2,0,1999-04-16,REFUELING OUTAGE, , 
1999-05-02,MILLSTONE 2,0,1996-02-20,PLANT STARTUP ON HOLD,*, 
1999-05-02,MILLSTONE 3,0,1999-05-01,ENTERING REFUELING OUTAGE,*, 
1999-05-02,NINE MILE POINT 1,0,1999-04-11,REFUELING OUTAGE - DEFUELED, , 
1999-05-02,NINE MILE POINT 2,0,1999-04-23,MAINTENANCE OUTAGE, , 
1999-05-02,OYSTER CREEK 1,100, , , , 
1999-05-02,PEACH BOTTOM 2,100, , , , 
1999-05-02,PEACH BOTTOM 3,100, , , , 
1999-05-02,PILGRIM 1,80, ,INOPERABLE MAIN STEAM ISOLATION VALVE, , 
1999-05-02,SALEM 1,100, , , , 
1999-05-02,SALEM 2,0,1999-04-03,REFUELING OUTAGE, , 
1999-05-02,SEABROOK 1,0,1999-03-27,REFUELING OUTAGE, , 
1999-05-02,SUSQUEHANNA 1,100, , , , 
1999-05-02,SUSQUEHANNA 2,100, , ,*, 
1999-05-02,THREE MILE ISLAND 1,100, , , , 
1999-05-02,VERMONT YANKEE 1,100, , , , 
1999-05-02,BROWNS FERRY 1,0,1985-03-03,DEFUELED, , 
1999-05-02,BROWNS FERRY 2,0,1999-04-11,REFUELING OUTAGE, , 
1999-05-02,BROWNS FERRY 3,100, , , , 
1999-05-02,BRUNSWICK 1,100, , , , 
1999-05-02,BRUNSWICK 2,0,1999-04-16,REFUELING OUTAGE - DEFUELED, , 
1999-05-02,CATAWBA 1,0,1999-04-21,REFUELING OUTAGE, , 
1999-05-02,CATAWBA 2,100, , , , 
1999-05-02,CRYSTAL RIVER 3,100, , , , 
1999-05-02,FARLEY 1,100, , , , 
1999-05-02,FARLEY 2,49, ,OPERATING AT REDUCED POWER TO AVOID COASTDOWN DURING PEAK DEMAND PERIOD, , 
1999-05-02,HARRIS 1,100, , , , 
1999-05-02,HATCH 1,35, ,STARTUP TESTING,*, 
1999-05-02,HATCH 2,98, ,MAXIMUM OPERATING POWER,*, 
1999-05-02,MCGUIRE 1,100, , , , 
1999-05-02,MCGUIRE 2,100, , , , 
1999-05-02,NORTH ANNA 1,100, , , , 
1999-05-02,NORTH ANNA 2,100, , , , 
1999-05-02,OCONEE 1,100, , , , 
1999-05-02,OCONEE 2,100, , , , 
1999-05-02,OCONEE 3,100, , , , 
1999-05-02,ROBINSON 2,100, , , , 
1999-05-02,SAINT LUCIE 1,100, , , , 
1999-05-02,SAINT LUCIE 2,100, , , , 
1999-05-02,SEQUOYAH 1,100, , , , 
1999-05-02,SEQUOYAH 2,0,1999-04-18,REFUELING OUTAGE, , 
1999-05-02,SUMMER 1,0,1999-04-03,REFUELING OUTAGE, , 
1999-05-02,SURRY 1,100, , , , 
1999-05-02,SURRY 2,0,1999-04-18,REFUELING OUTAGE - DEFUELED, , 
1999-05-02,TURKEY POINT 3,100, , , , 
1999-05-02,TURKEY POINT 4,100, , , , 
1999-05-02,VOGTLE 1,100, , , , 
1999-05-02,VOGTLE 2,100, , , , 
1999-05-02,WATTS BAR 1,100, , , , 
1999-05-02,BRAIDWOOD 1,100, , , , 
1999-05-02,BRAIDWOOD 2,0,1999-04-23,REFUELING OUTAGE, , 
1999-05-02,BYRON 1,100, , ,*, 
1999-05-02,BYRON 2,100, , , , 
1999-05-02,CLINTON 1,0,1996-09-06,REFUELING OUTAGE, , 
1999-05-02,COOK 1,0,1997-09-08,MAINTENANCE OUTAGE, , 
1999-05-02,COOK 2,0,1997-09-09,REFUELING OUTAGE, , 
1999-05-02,DAVIS BESSE 1,0,1999-04-23,MAINTENANCE OUTAGE, , 
1999-05-02,DRESDEN 2,100, , , , 
1999-05-02,DRESDEN 3,100, , , , 
1999-05-02,DUANE ARNOLD 1,80, ,INCREASING POWER,*, 
1999-05-02,FERMI 2,97, ,ADMINISTRATIVE POWER LIMIT,*, 
1999-05-02,KEWAUNEE 1,97, , , , 
1999-05-02,LASALLE 1,100, , , , 
1999-05-02,LASALLE 2,60, ,REPAIRING MAIN CONDENSER TUBE LEAK,*, 
1999-05-02,MONTICELLO 1,100, , ,*, 
1999-05-02,PALISADES 1,100, , , , 
1999-05-02,PERRY 1,0,1999-03-26,REFUELING OUTAGE, , 
1999-05-02,POINT BEACH 1,100, , , , 
1999-05-02,POINT BEACH 2,100, , , , 
1999-05-02,PRAIRIE ISLAND 1,0,1999-04-16,REFUELING OUTAGE, , 
1999-05-02,PRAIRIE ISLAND 2,100, , , , 
1999-05-02,QUAD CITIES 1,96, ,INCREASING REACTOR POWER,*, 
1999-05-02,QUAD CITIES 2,100, , , , 
1999-05-02,ARKANSAS NUCLEAR 1,100, , , , 
1999-05-02,ARKANSAS NUCLEAR 2,100, , , , 
1999-05-02,CALLAWAY 1,100, , , , 
1999-05-02,COMANCHE PEAK 1,100, , , , 
1999-05-02,COMANCHE PEAK 2,100, , , , 
1999-05-02,COOPER 1,100, , , , 
1999-05-02,DIABLO CANYON 1,100, , , , 
1999-05-02,DIABLO CANYON 2,100, , ,*, 
1999-05-02,FT CALHOUN 1,100, , , , 
1999-05-02,GRAND GULF 1,100, , , , 
1999-05-02,PALO VERDE 1,100, , , , 
1999-05-02,PALO VERDE 2,11, ,STARTUP TESTING,*, 
1999-05-02,PALO VERDE 3,99, , ,*, 
1999-05-02,RIVER BEND 1,0,1999-04-03,REFUELING OUTAGE, , 
1999-05-02,SAN ONOFRE 2,100, , , , 
1999-05-02,SAN ONOFRE 3,0,1999-03-27,REFUELING OUTAGE, , 
1999-05-02,SOUTH TEXAS 1,96, ,INCREASING POWER,*, 
1999-05-02,SOUTH TEXAS 2,100, , , , 
1999-05-02,WASHINGTON NUCLEAR 2,0,1999-04-17,MAINTENANCE OUTAGE, , 
1999-05-02,WATERFORD 3,100, , ,*, 
1999-05-02,WOLF CREEK 1,0,1999-04-03,REFUELING OUTAGE, , 
1999-05-03,BEAVER VALLEY 1,0,1999-05-01,SHUTDOWN FROM STARTUP TESTING DUE TO PROBLEMS WITH THE MAIN TURBINE SEAL OIL, , 
1999-05-03,BEAVER VALLEY 2,100, , , , 
1999-05-03,CALVERT CLIFFS 1,100, , , , 
1999-05-03,CALVERT CLIFFS 2,0,1999-03-12,REFUELING OUTAGE, , 
1999-05-03,FITZPATRICK 1,100, , , , 
1999-05-03,GINNA 1,99, , , , 
1999-05-03,HOPE CREEK 1,100, , ,*, 
1999-05-03,INDIAN POINT 2,99, , , , 
1999-05-03,INDIAN POINT 3,100, , , , 
1999-05-03,LIMERICK 1,100, , , , 
1999-05-03,LIMERICK 2,0,1999-04-16,REFUELING OUTAGE, , 
1999-05-03,MILLSTONE 2,0,1996-02-20,PLANT STARTUP ON HOLD, , 
1999-05-03,MILLSTONE 3,0,1999-05-01,ENTERING REFUELING OUTAGE,*, 
1999-05-03,NINE MILE POINT 1,0,1999-04-11,REFUELING OUTAGE - DEFUELED, , 
