Date,Unit,Power,Down,Reason or Comment,Change in report(*),Number of Scrams(#)
2000-04-01,BEAVER VALLEY 1,0,2000-02-15,REFUELING OUTAGE, , 
2000-04-01,BEAVER VALLEY 2,100, , , , 
2000-04-01,CALVERT CLIFFS 1,0,2000-03-10,REFUELING OUTAGE, , 
2000-04-01,CALVERT CLIFFS 2,100, , , , 
2000-04-01,FITZPATRICK 1,35, ,REDUCING POWER TO 30% FOR SCHEDULED MAINTENANCE,*, 
2000-04-01,GINNA 1,100, , , , 
2000-04-01,HOPE CREEK 1,70, ,REDUCED POWER FOR FEEDWATER HEATER OUTAGE,*, 
2000-04-01,INDIAN POINT 2,0,2000-02-15,MAINTENANCE OUTAGE, , 
2000-04-01,INDIAN POINT 3,100, , , , 
2000-04-01,LIMERICK 1,0,2000-03-29,REFUELING OUTAGE, , 
2000-04-01,LIMERICK 2,100, , , , 
2000-04-01,MILLSTONE 2,100, , , , 
2000-04-01,MILLSTONE 3,100, , , , 
2000-04-01,NINE MILE POINT 1,95, ,REDUCED POWER FOR CONDENSATE DEMINERALIZER WORK,*, 
2000-04-01,NINE MILE POINT 2,0,2000-03-03,REFUELING OUTAGE, , 
2000-04-01,OYSTER CREEK 1,100, , , , 
2000-04-01,PEACH BOTTOM 2,100, , , , 
2000-04-01,PEACH BOTTOM 3,100, , , , 
2000-04-01,PILGRIM 1,100, , , , 
2000-04-01,SALEM 1,100, , , , 
2000-04-01,SALEM 2,100, , , , 
2000-04-01,SEABROOK 1,100, , , , 
2000-04-01,SUSQUEHANNA 1,0,2000-03-18,REFUELING OUTAGE, , 
2000-04-01,SUSQUEHANNA 2,100, , , , 
2000-04-01,THREE MILE ISLAND 1,100, , , , 
2000-04-01,VERMONT YANKEE 1,100, , , , 
2000-04-01,BROWNS FERRY 1,0,1985-03-03,DEFUELED, , 
2000-04-01,BROWNS FERRY 2,78, ,REDUCED POWER FOR SCHEDULED MAINTENANCE,*, 
2000-04-01,BROWNS FERRY 3,97, ,COASTDOWN TO REFUELING OUTAGE,*, 
2000-04-01,BRUNSWICK 1,100, , , , 
2000-04-01,BRUNSWICK 2,100, , , , 
2000-04-01,CATAWBA 1,100, , , , 
2000-04-01,CATAWBA 2,0,2000-03-11,REFUELING OUTAGE,*, 
2000-04-01,CRYSTAL RIVER 3,100, , , , 
2000-04-01,FARLEY 1,0,2000-03-04,REFUELING OUTAGE - DEFUELED, , 
2000-04-01,FARLEY 2,100, , , , 
2000-04-01,HARRIS 1,100, , , , 
2000-04-01,HATCH 1,100, , , , 
2000-04-01,HATCH 2,0,2000-03-04,REFUELING OUTAGE, , 
2000-04-01,MCGUIRE 1,100, , , , 
2000-04-01,MCGUIRE 2,100, , , , 
2000-04-01,NORTH ANNA 1,0,2000-03-11,REFUELING OUTAGE,*, 
2000-04-01,NORTH ANNA 2,100, , , , 
2000-04-01,OCONEE 1,100, , , , 
2000-04-01,OCONEE 2,100, , , , 
2000-04-01,OCONEE 3,100, , , , 
2000-04-01,ROBINSON 2,100, , , , 
2000-04-01,SAINT LUCIE 1,100, , , , 
2000-04-01,SAINT LUCIE 2,100, , , , 
2000-04-01,SEQUOYAH 1,100, , , , 
2000-04-01,SEQUOYAH 2,100, , , , 
2000-04-01,SUMMER 1,100, , , , 
2000-04-01,SURRY 1,84, ,COASTDOWN TO REFUELING OUTAGE, , 
2000-04-01,SURRY 2,100, , , , 
2000-04-01,TURKEY POINT 3,100, , , , 
2000-04-01,TURKEY POINT 4,100, , , , 
2000-04-01,VOGTLE 1,100, , , , 
2000-04-01,VOGTLE 2,100, , , , 
2000-04-01,WATTS BAR 1,100, , , , 
2000-04-01,BRAIDWOOD 1,0,2000-03-18,REFUELING OUTAGE, , 
2000-04-01,BRAIDWOOD 2,100, , , , 
2000-04-01,BYRON 1,100, , , , 
2000-04-01,BYRON 2,100, , , , 
2000-04-01,CLINTON 1,80, ,REDUCED POWER FOR ROD SEQUENCE EXCHANGE,*, 
2000-04-01,COOK 1,0,1997-09-08,REFUELING OUTAGE - DEFUELED, , 
2000-04-01,COOK 2,0,1997-09-09,REFUELING OUTAGE - DEFUELED, , 
2000-04-01,DAVIS BESSE 1,0,2000-03-31,REFUELING OUTAGE - COOLDOWN IN PROGRESS,*, 
2000-04-01,DRESDEN 2,100, , , , 
2000-04-01,DRESDEN 3,100, , , , 
2000-04-01,DUANE ARNOLD 1,100, , , , 
2000-04-01,FERMI 2,88, ,TROUBLESHOOTING MAIN TURBINE HIGH PRESSURE STOP VALVE, , 
2000-04-01,KEWAUNEE 1,97, , , , 
2000-04-01,LASALLE 1,100, , , , 
2000-04-01,LASALLE 2,100, , , , 
2000-04-01,MONTICELLO 1,100, , , , 
2000-04-01,PALISADES 1,100, , , , 
2000-04-01,PERRY 1,100, , , , 
2000-04-01,POINT BEACH 1,100, , , , 
2000-04-01,POINT BEACH 2,100, , , , 
2000-04-01,PRAIRIE ISLAND 1,100, , , , 
2000-04-01,PRAIRIE ISLAND 2,100, , , , 
2000-04-01,QUAD CITIES 1,100, , , , 
2000-04-01,QUAD CITIES 2,100, , , , 
2000-04-01,ARKANSAS NUCLEAR 1,100, , , , 
2000-04-01,ARKANSAS NUCLEAR 2,100, , , , 
2000-04-01,CALLAWAY 1,100, , , , 
2000-04-01,COMANCHE PEAK 1,100, , , , 
2000-04-01,COMANCHE PEAK 2,97, ,INCREASING POWER TO 100%,*, 
2000-04-01,COOPER 1,0,2000-03-04,REFUELING OUTAGE, , 
2000-04-01,DIABLO CANYON 1,100, , , , 
2000-04-01,DIABLO CANYON 2,100, , , , 
2000-04-01,FT CALHOUN 1,0,2000-03-31,MAINTENANCE OUTAGE,*, 
2000-04-01,GRAND GULF 1,100, , , , 
2000-04-01,PALO VERDE 1,100, , ,*, 
2000-04-01,PALO VERDE 2,100, , , , 
2000-04-01,PALO VERDE 3,0,2000-03-31,REFUELING OUTAGE - COOLDOWN IN PROGRESS,*, 
2000-04-01,RIVER BEND 1,0,2000-03-04,STARTING EXIT OF REFUELING OUTAGE, , 
2000-04-01,SAN ONOFRE 2,100, , , , 
2000-04-01,SAN ONOFRE 3,100, , , , 
