Date,Unit,Power,Down,Reason or Comment,Change in report (*),Number of Scrams (#)
2013-09-01,Beaver Valley 1,100, , , , 
2013-09-01,Beaver Valley 2,100, , , , 
2013-09-01,Calvert Cliffs 1,100, , , , 
2013-09-01,Calvert Cliffs 2,100, , , , 
2013-09-01,FitzPatrick,90, ,REACTOR FEED PUMP 'B' VIBRATION ISSUE, , 
2013-09-01,Ginna,100, , , , 
2013-09-01,Hope Creek 1,94, ,POWER LIMITED BY ATOMOSPHERIC CONDITIONS,*, 
2013-09-01,Indian Point 2,100, ,13.8 KV LINE 33332LM OOS, , 
2013-09-01,Indian Point 3,100, ,13.8 KV LINE 33332LM OOS, , 
2013-09-01,Limerick 1,100, , , , 
2013-09-01,Limerick 2,100, , , , 
2013-09-01,Millstone 2,100, , , , 
2013-09-01,Millstone 3,100, , , , 
2013-09-01,Nine Mile Point 1,100, , , , 
2013-09-01,Nine Mile Point 2,100, , , , 
2013-09-01,Oyster Creek,100, , , , 
2013-09-01,Peach Bottom 2,48, ,2B RECIRC PUMP TRIP,*, 
2013-09-01,Peach Bottom 3,89, ,COASTDOWN TO REFUELING OUTAGE, , 
2013-09-01,Pilgrim 1,75, ,HOLDING POWER TO REPAIR FW PUMP, , 
2013-09-01,Salem 1,100, , , , 
2013-09-01,Salem 2,100, , , , 
2013-09-01,Seabrook 1,100, , , , 
2013-09-01,Susquehanna 1,100, , , , 
2013-09-01,Susquehanna 2,100, , , , 
2013-09-01,Three Mile Island 1,100, , , , 
2013-09-01,Vermont Yankee,100, , ,*, 
2013-09-01,Browns Ferry 1,100, , , , 
2013-09-01,Browns Ferry 2,100, , , , 
2013-09-01,Browns Ferry 3,100, , ,*, 
2013-09-01,Brunswick 1,100, , , , 
2013-09-01,Brunswick 2,100, , , , 
2013-09-01,Catawba 1,100, , , , 
2013-09-01,Catawba 2,100, , , , 
2013-09-01,Farley 1,100, , , , 
2013-09-01,Farley 2,100, , , , 
2013-09-01,Harris 1,100, , , , 
2013-09-01,Hatch 1,98, ,INCREASING POWER,*, 
2013-09-01,Hatch 2,100, , , , 
2013-09-01,McGuire 1,100, , , , 
2013-09-01,McGuire 2,100, , , , 
2013-09-01,North Anna 1,100, , , , 
2013-09-01,North Anna 2,100, , , , 
2013-09-01,Oconee 1,100, , ,*, 
2013-09-01,Oconee 2,100, , , , 
2013-09-01,Oconee 3,100, , , , 
2013-09-01,Robinson 2,100, , , , 
2013-09-01,Saint Lucie 1,100, , , , 
2013-09-01,Saint Lucie 2,100, , , , 
2013-09-01,Sequoyah 1,100, , , , 
2013-09-01,Sequoyah 2,100, , , , 
2013-09-01,Summer,100, , , , 
2013-09-01,Surry 1,100, , , , 
2013-09-01,Surry 2,100, , , , 
2013-09-01,Turkey Point 3,100, , , , 
2013-09-01,Turkey Point 4,100, , , , 
2013-09-01,Vogtle 1,100, , , , 
2013-09-01,Vogtle 2,100, , , , 
2013-09-01,Watts Bar 1,100, , , , 
2013-09-01,Braidwood 1,100, , , , 
2013-09-01,Braidwood 2,100, , , , 
2013-09-01,Byron 1,100, , , , 
2013-09-01,Byron 2,100, , , , 
2013-09-01,Clinton,97, ,100% ELECTRICAL CAPABILITY, , 
