Date,Unit,Power,Down,Reason or Comment,Change in report(*),Number of Scrams(#)
2000-05-01,BEAVER VALLEY 1,100, , , , 
2000-05-01,BEAVER VALLEY 2,100, , ,*, 
2000-05-01,CALVERT CLIFFS 1,100, , ,*, 
2000-05-01,CALVERT CLIFFS 2,100, , , , 
2000-05-01,FITZPATRICK 1,98, ,STEAM LEAK ISOLATED - HOLDING DUE TO REHEAT SYSTEM BEING OFF LINE, , 
2000-05-01,GINNA 1,100, , , , 
2000-05-01,HOPE CREEK 1,0,2000-04-21,REFUELING OUTAGE - CORE ALTERATIONS IN PROGRESS, , 
2000-05-01,INDIAN POINT 2,0,2000-02-15,MAINTENANCE/REFUELING OUTAGE - DEFUELED, , 
2000-05-01,INDIAN POINT 3,100, , , , 
2000-05-01,LIMERICK 1,0,2000-04-30,REACTOR SCRAM DUE TO ELECTRICAL BUS MALFUNCTION - SEE EVENT #36947,*,1
2000-05-01,LIMERICK 2,100, , , , 
2000-05-01,MILLSTONE 2,0,2000-04-21,REFUELING OUTAGE, , 
2000-05-01,MILLSTONE 3,100, , , , 
2000-05-01,NINE MILE POINT 1,0,2000-04-30,PLANNED OUTAGE - IN PROCESS OF PLACING SHUTDOWN COOLING SYSTEM IN SERVICE,*, 
2000-05-01,NINE MILE POINT 2,100, , , , 
2000-05-01,OYSTER CREEK 1,100, , , , 
2000-05-01,PEACH BOTTOM 2,100, , , , 
2000-05-01,PEACH BOTTOM 3,100, , , , 
2000-05-01,PILGRIM 1,100, , , , 
2000-05-01,SALEM 1,100, , , , 
2000-05-01,SALEM 2,100, , , , 
2000-05-01,SEABROOK 1,100, , , , 
2000-05-01,SUSQUEHANNA 1,0,2000-03-18,REFUELING OUTAGE, , 
2000-05-01,SUSQUEHANNA 2,100, , , , 
2000-05-01,THREE MILE ISLAND 1,100, , , , 
2000-05-01,VERMONT YANKEE 1,100, , , , 
2000-05-01,BROWNS FERRY 1,0,1985-03-03,DEFUELED, , 
2000-05-01,BROWNS FERRY 2,100, , , , 
2000-05-01,BROWNS FERRY 3,0,2000-04-30,REFUELING OUTAGE - REACTOR VESSEL HYDROTEST IN PROGRESS,*, 
2000-05-01,BRUNSWICK 1,100, , , , 
2000-05-01,BRUNSWICK 2,100, , , , 
2000-05-01,CATAWBA 1,100, , , , 
2000-05-01,CATAWBA 2,100, , ,*, 
2000-05-01,CRYSTAL RIVER 3,100, , , , 
2000-05-01,FARLEY 1,0,2000-03-04,REFUELING OUTAGE - DEFUELED, , 
2000-05-01,FARLEY 2,100, , , , 
2000-05-01,HARRIS 1,0,2000-04-15,REFUELING OUTAGE - CORE ALTERATIONS IN PROGRESS, , 
2000-05-01,HATCH 1,100, , , , 
2000-05-01,HATCH 2,100, , ,*, 
2000-05-01,MCGUIRE 1,100, , , , 
2000-05-01,MCGUIRE 2,100, , , , 
2000-05-01,NORTH ANNA 1,100, , , , 
2000-05-01,NORTH ANNA 2,100, , , , 
2000-05-01,OCONEE 1,100, , , , 
2000-05-01,OCONEE 2,100, , , , 
2000-05-01,OCONEE 3,0,2000-04-12,REFUELING OUTAGE - DEFUELED, , 
2000-05-01,ROBINSON 2,100, , , , 
2000-05-01,SAINT LUCIE 1,100, , , , 
2000-05-01,SAINT LUCIE 2,0,2000-04-17,REFUELING OUTAGE - DEFUELED, , 
2000-05-01,SEQUOYAH 1,100, , , , 
2000-05-01,SEQUOYAH 2,100, , , , 
2000-05-01,SUMMER 1,100, , , , 
2000-05-01,SURRY 1,0,2000-04-16,REFUELING OUTAGE - CORE ALTERATIONS IN PROGRESS,*, 
2000-05-01,SURRY 2,100, , , , 
2000-05-01,TURKEY POINT 3,100, , , , 
2000-05-01,TURKEY POINT 4,100, , , , 
2000-05-01,VOGTLE 1,100, , , , 
2000-05-01,VOGTLE 2,100, , , , 
2000-05-01,WATTS BAR 1,100, , , , 
2000-05-01,BRAIDWOOD 1,100, , , , 
2000-05-01,BRAIDWOOD 2,100, , , , 
2000-05-01,BYRON 1,100, , , , 
2000-05-01,BYRON 2,100, , , , 
2000-05-01,CLINTON 1,80, ,PERFORMING ROD PATTERN ADJUSTMENT,*, 
2000-05-01,COOK 1,0,1997-09-08,REFUELING OUTAGE - DEFUELED, , 
2000-05-01,COOK 2,0,1997-09-09,REFUELING OUTAGE, , 
2000-05-01,DAVIS BESSE 1,0,2000-03-31,REFUELING OUTAGE,*, 
2000-05-01,DRESDEN 2,100, , , , 
2000-05-01,DRESDEN 3,100, , , , 
2000-05-01,DUANE ARNOLD 1,100, , , , 
2000-05-01,FERMI 2,0,2000-04-01,REFUELING OUTAGE - SHUTDOWN COOLING OUTAGE IN PROGRESS, , 
2000-05-01,KEWAUNEE 1,0,2000-04-21,REFUELING OUTAGE, , 
2000-05-01,LASALLE 1,100, , , , 
2000-05-01,LASALLE 2,100, , , , 
2000-05-01,MONTICELLO 1,100, , , , 
2000-05-01,PALISADES 1,100, , , , 
2000-05-01,PERRY 1,100, , , , 
2000-05-01,POINT BEACH 1,100, , , , 
2000-05-01,POINT BEACH 2,100, , , , 
2000-05-01,PRAIRIE ISLAND 1,100, , , , 
2000-05-01,PRAIRIE ISLAND 2,0,2000-04-28,REFUELING OUTAGE, , 
2000-05-01,QUAD CITIES 1,100, , , , 
2000-05-01,QUAD CITIES 2,100, , , , 
2000-05-01,ARKANSAS NUCLEAR 1,100, , , , 
2000-05-01,ARKANSAS NUCLEAR 2,100, , , , 
2000-05-01,CALLAWAY 1,100, , , , 
2000-05-01,COMANCHE PEAK 1,100, , , , 
2000-05-01,COMANCHE PEAK 2,100, , , , 
2000-05-01,COOPER 1,0,2000-03-04,REFUELING OUTAGE, , 
2000-05-01,DIABLO CANYON 1,50, ,HOLDING POWER FOR SECONDARY PLANT MAINTENANCE (SALTWATER TUNNEL CLEANING),*, 
2000-05-01,DIABLO CANYON 2,100, , , , 
2000-05-01,FT CALHOUN 1,100, , , , 
2000-05-01,GRAND GULF 1,100, , , , 
2000-05-01,PALO VERDE 1,100, , , , 
2000-05-01,PALO VERDE 2,100, , , , 
2000-05-01,PALO VERDE 3,0,2000-03-31,INITIAL APPROACH TO CRITICALITY IN PROGRESS,*, 
2000-05-01,RIVER BEND 1,100, , , , 
2000-05-01,SAN ONOFRE 2,100, , , , 
2000-05-01,SAN ONOFRE 3,100, , , , 
2000-05-01,SOUTH TEXAS 1,0,2000-03-01,REFUELING OUTAGE - REPLACING STEAM GENERATORS - RV HEAD SET NOT TENSIONED,*, 
2000-05-01,SOUTH TEXAS 2,100, , , , 
2000-05-01,WATERFORD 3,100, , , , 
2000-05-01,WNP-2,61, ,LOAD FOLLOWING, , 
2000-05-01,WOLF CREEK 1,100, , , , 
2000-05-02,BEAVER VALLEY 1,100, , , , 
2000-05-02,BEAVER VALLEY 2,100, , , , 
2000-05-02,CALVERT CLIFFS 1,100, , , , 
2000-05-02,CALVERT CLIFFS 2,100, , , , 
2000-05-02,FITZPATRICK 1,100, ,SECOND STAGE REHEAT RETURNED TO SERVICE,*, 
2000-05-02,GINNA 1,100, , , , 
2000-05-02,HOPE CREEK 1,0,2000-04-21,REFUELING OUTAGE - DEFUELED,*, 
2000-05-02,INDIAN POINT 2,0,2000-02-15,MAINTENANCE/REFUELING OUTAGE - DEFUELED, , 
2000-05-02,INDIAN POINT 3,100, , , , 
2000-05-02,LIMERICK 1,0,2000-04-30,APPROACH TO CRITICALITY IN PROGRESS,*, 
2000-05-02,LIMERICK 2,100, , , , 
2000-05-02,MILLSTONE 2,0,2000-04-21,REFUELING OUTAGE, , 
2000-05-02,MILLSTONE 3,100, , , , 
2000-05-02,NINE MILE POINT 1,0,2000-04-30,PLANNED OUTAGE - PERFORMING NOBLE METALS INJECTION,*, 
2000-05-02,NINE MILE POINT 2,100, , , , 
2000-05-02,OYSTER CREEK 1,100, , , , 
2000-05-02,PEACH BOTTOM 2,100, , , , 
2000-05-02,PEACH BOTTOM 3,100, , , , 
2000-05-02,PILGRIM 1,100, , , , 
2000-05-02,SALEM 1,100, , , , 
2000-05-02,SALEM 2,100, , , , 
2000-05-02,SEABROOK 1,100, , , , 
2000-05-02,SUSQUEHANNA 1,0,2000-03-18,REFUELING OUTAGE, , 
2000-05-02,SUSQUEHANNA 2,100, , , , 
2000-05-02,THREE MILE ISLAND 1,100, , , , 
2000-05-02,VERMONT YANKEE 1,100, , , , 
2000-05-02,BROWNS FERRY 1,0,1985-03-03,DEFUELED, , 
2000-05-02,BROWNS FERRY 2,100, , , , 
2000-05-02,BROWNS FERRY 3,0,2000-04-30,REFUELING OUTAGE,*, 
2000-05-02,BRUNSWICK 1,100, , , , 
2000-05-02,BRUNSWICK 2,100, , , , 
2000-05-02,CATAWBA 1,100, , , , 
2000-05-02,CATAWBA 2,100, , , , 
2000-05-02,CRYSTAL RIVER 3,100, , , , 
2000-05-02,FARLEY 1,0,2000-03-04,REFUELING OUTAGE - DEFUELED, , 
2000-05-02,FARLEY 2,100, , , , 
2000-05-02,HARRIS 1,0,2000-04-15,REFUELING OUTAGE - CORE RELOADED,*, 
2000-05-02,HATCH 1,100, , , , 
2000-05-02,HATCH 2,100, , , , 
2000-05-02,MCGUIRE 1,100, , , , 
2000-05-02,MCGUIRE 2,100, , , , 
2000-05-02,NORTH ANNA 1,100, , , , 
2000-05-02,NORTH ANNA 2,100, , , , 
2000-05-02,OCONEE 1,100, , , , 
2000-05-02,OCONEE 2,100, , , , 
2000-05-02,OCONEE 3,0,2000-04-12,REFUELING OUTAGE - DEFUELED, , 
2000-05-02,ROBINSON 2,100, , , , 
2000-05-02,SAINT LUCIE 1,100, , , , 
2000-05-02,SAINT LUCIE 2,0,2000-04-17,REFUELING OUTAGE - DEFUELED, , 
2000-05-02,SEQUOYAH 1,100, , , , 
2000-05-02,SEQUOYAH 2,100, , , , 
2000-05-02,SUMMER 1,100, , , , 
2000-05-02,SURRY 1,0,2000-04-16,REFUELING OUTAGE,*, 
2000-05-02,SURRY 2,100, , , , 
2000-05-02,TURKEY POINT 3,100, , , , 
2000-05-02,TURKEY POINT 4,100, , , , 
2000-05-02,VOGTLE 1,100, , , , 
2000-05-02,VOGTLE 2,100, , , , 
2000-05-02,WATTS BAR 1,100, , , , 
2000-05-02,BRAIDWOOD 1,100, , , , 
2000-05-02,BRAIDWOOD 2,100, , , , 
2000-05-02,BYRON 1,100, , , , 
2000-05-02,BYRON 2,100, , , , 
2000-05-02,CLINTON 1,100, , ,*, 
2000-05-02,COOK 1,0,1997-09-08,REFUELING OUTAGE - DEFUELED, , 
2000-05-02,COOK 2,0,1997-09-09,REFUELING OUTAGE, , 
2000-05-02,DAVIS BESSE 1,0,2000-03-31,REFUELING OUTAGE, , 
2000-05-02,DRESDEN 2,100, , , , 
2000-05-02,DRESDEN 3,100, , , , 
2000-05-02,DUANE ARNOLD 1,100, , , , 
2000-05-02,FERMI 2,0,2000-04-01,REFUELING OUTAGE,*, 
2000-05-02,KEWAUNEE 1,0,2000-04-21,REFUELING OUTAGE, , 
2000-05-02,LASALLE 1,100, , , , 
2000-05-02,LASALLE 2,100, , , , 
2000-05-02,MONTICELLO 1,100, , , , 
2000-05-02,PALISADES 1,100, , , , 
2000-05-02,PERRY 1,100, , , , 
2000-05-02,POINT BEACH 1,100, , , , 
2000-05-02,POINT BEACH 2,100, , , , 
2000-05-02,PRAIRIE ISLAND 1,100, , , , 
2000-05-02,PRAIRIE ISLAND 2,0,2000-04-28,REFUELING OUTAGE, , 
2000-05-02,QUAD CITIES 1,100, , , , 
2000-05-02,QUAD CITIES 2,100, , , , 
2000-05-02,ARKANSAS NUCLEAR 1,100, , , , 
2000-05-02,ARKANSAS NUCLEAR 2,100, , , , 
2000-05-02,CALLAWAY 1,100, , , , 
2000-05-02,COMANCHE PEAK 1,100, , , , 
2000-05-02,COMANCHE PEAK 2,100, , , , 
2000-05-02,COOPER 1,0,2000-03-04,REFUELING OUTAGE, , 
2000-05-02,DIABLO CANYON 1,52, ,HOLDING POWER FOR SECONDARY PLANT MAINTENANCE (SALTWATER TUNNEL AND CONDENSER CLEANING),*, 
2000-05-02,DIABLO CANYON 2,100, , , , 
2000-05-02,FT CALHOUN 1,100, , , , 
2000-05-02,GRAND GULF 1,100, , , , 
2000-05-02,PALO VERDE 1,100, , , , 
2000-05-02,PALO VERDE 2,100, , , , 
2000-05-02,PALO VERDE 3,13, ,PREPARING TO TAKE GENERATOR OFFLINE FOR TURBINE OVERSPEED TESTING,*, 
2000-05-02,RIVER BEND 1,100, , , , 
2000-05-02,SAN ONOFRE 2,100, , , , 
2000-05-02,SAN ONOFRE 3,100, , , , 
2000-05-02,SOUTH TEXAS 1,0,2000-03-01,REFUELING OUTAGE - REPLACING STEAM GENERATORS - RV HEAD TENSIONING IN PROGRESS,*, 
2000-05-02,SOUTH TEXAS 2,100, , , , 
2000-05-02,WATERFORD 3,100, , , , 
2000-05-02,WNP-2,61, ,LOAD FOLLOWING, , 
2000-05-02,WOLF CREEK 1,100, , , , 
2000-05-03,BEAVER VALLEY 1,100, , , , 
2000-05-03,BEAVER VALLEY 2,100, , , , 
2000-05-03,CALVERT CLIFFS 1,100, , , , 
2000-05-03,CALVERT CLIFFS 2,100, , , , 
2000-05-03,FITZPATRICK 1,100, , ,*, 
2000-05-03,GINNA 1,100, , , , 
2000-05-03,HOPE CREEK 1,0,2000-04-21,REFUELING OUTAGE - DEFUELED, , 
2000-05-03,INDIAN POINT 2,0,2000-02-15,MAINTENANCE/REFUELING OUTAGE - DEFUELED, , 
2000-05-03,INDIAN POINT 3,100, , , , 
2000-05-03,LIMERICK 1,56, ,INCREASING REACTOR POWER,*, 
2000-05-03,LIMERICK 2,100, , , , 
2000-05-03,MILLSTONE 2,0,2000-04-21,REFUELING OUTAGE, , 
2000-05-03,MILLSTONE 3,100, , , , 
2000-05-03,NINE MILE POINT 1,0,2000-04-30,PLANNED OUTAGE - PERFORMING NOBLE METALS INJECTION, , 
2000-05-03,NINE MILE POINT 2,100, , , , 
2000-05-03,OYSTER CREEK 1,100, , , , 
2000-05-03,PEACH BOTTOM 2,100, , , , 
2000-05-03,PEACH BOTTOM 3,100, , , , 
2000-05-03,PILGRIM 1,100, , , , 
2000-05-03,SALEM 1,100, , , , 
2000-05-03,SALEM 2,100, , , , 
2000-05-03,SEABROOK 1,100, , , , 
2000-05-03,SUSQUEHANNA 1,0,2000-03-18,REFUELING OUTAGE, , 
2000-05-03,SUSQUEHANNA 2,100, , , , 
2000-05-03,THREE MILE ISLAND 1,100, , , , 
2000-05-03,VERMONT YANKEE 1,100, , , , 
2000-05-03,BROWNS FERRY 1,0,1985-03-03,DEFUELED, , 
2000-05-03,BROWNS FERRY 2,100, , , , 
2000-05-03,BROWNS FERRY 3,0,2000-04-30,STARTUP IS IN PROGRESS - NOT CRITICAL AT TIME OF STATUS CHECK,*, 
2000-05-03,BRUNSWICK 1,100, , , , 
2000-05-03,BRUNSWICK 2,100, , , , 
2000-05-03,CATAWBA 1,100, , , , 
2000-05-03,CATAWBA 2,100, , , , 
2000-05-03,CRYSTAL RIVER 3,100, , , , 
2000-05-03,FARLEY 1,0,2000-03-04,REFUELING OUTAGE - DEFUELED, , 
2000-05-03,FARLEY 2,100, , , , 
2000-05-03,HARRIS 1,0,2000-04-15,REFUELING OUTAGE - CORE RELOADED, , 
2000-05-03,HATCH 1,100, , , , 
2000-05-03,HATCH 2,100, , , , 
2000-05-03,MCGUIRE 1,100, , , , 
2000-05-03,MCGUIRE 2,100, , , , 
2000-05-03,NORTH ANNA 1,100, , , , 
2000-05-03,NORTH ANNA 2,100, , , , 
2000-05-03,OCONEE 1,100, , , , 
2000-05-03,OCONEE 2,100, , , , 
2000-05-03,OCONEE 3,0,2000-04-12,REFUELING OUTAGE - DEFUELED, , 
2000-05-03,ROBINSON 2,100, , , , 
2000-05-03,SAINT LUCIE 1,100, , , , 
2000-05-03,SAINT LUCIE 2,0,2000-04-17,REFUELING OUTAGE - DEFUELED, , 
2000-05-03,SEQUOYAH 1,100, , , , 
2000-05-03,SEQUOYAH 2,100, , , , 
2000-05-03,SUMMER 1,100, , , , 
2000-05-03,SURRY 1,0,2000-04-16,REFUELING OUTAGE, , 
2000-05-03,SURRY 2,100, , , , 
2000-05-03,TURKEY POINT 3,100, , , , 
2000-05-03,TURKEY POINT 4,100, , , , 
2000-05-03,VOGTLE 1,100, , , , 
2000-05-03,VOGTLE 2,100, , , , 
2000-05-03,WATTS BAR 1,100, , , , 
2000-05-03,BRAIDWOOD 1,100, , , , 
2000-05-03,BRAIDWOOD 2,100, , , , 
2000-05-03,BYRON 1,100, , , , 
2000-05-03,BYRON 2,100, , , , 
2000-05-03,CLINTON 1,100, , , , 
2000-05-03,COOK 1,0,1997-09-08,REFUELING OUTAGE - DEFUELED, , 
2000-05-03,COOK 2,0,1997-09-09,REFUELING OUTAGE, , 
2000-05-03,DAVIS BESSE 1,0,2000-03-31,REFUELING OUTAGE, , 
2000-05-03,DRESDEN 2,100, , , , 
2000-05-03,DRESDEN 3,100, , , , 
2000-05-03,DUANE ARNOLD 1,100, , , , 
2000-05-03,FERMI 2,0,2000-04-01,REFUELING OUTAGE, , 
2000-05-03,KEWAUNEE 1,0,2000-04-21,REFUELING OUTAGE, , 
2000-05-03,LASALLE 1,100, , , , 
2000-05-03,LASALLE 2,100, , , , 
2000-05-03,MONTICELLO 1,100, , , , 
2000-05-03,PALISADES 1,100, , , , 
2000-05-03,PERRY 1,100, , , , 
2000-05-03,POINT BEACH 1,100, , , , 
2000-05-03,POINT BEACH 2,100, , , , 
2000-05-03,PRAIRIE ISLAND 1,100, , , , 
2000-05-03,PRAIRIE ISLAND 2,0,2000-04-28,REFUELING OUTAGE, , 
2000-05-03,QUAD CITIES 1,100, , , , 
2000-05-03,QUAD CITIES 2,100, , , , 
2000-05-03,ARKANSAS NUCLEAR 1,100, , , , 
2000-05-03,ARKANSAS NUCLEAR 2,100, , , , 
2000-05-03,CALLAWAY 1,96, ,SURVEILLANCE TESTING OF THE ATMOSPHERIC STEAM DUMP VALVES,*, 
2000-05-03,COMANCHE PEAK 1,100, , , , 
2000-05-03,COMANCHE PEAK 2,100, , , , 
2000-05-03,COOPER 1,0,2000-03-04,REFUELING OUTAGE, , 
2000-05-03,DIABLO CANYON 1,53, ,HOLDING POWER FOR SECONDARY PLANT MAINTENANCE (SALTWATER TUNNEL AND CONDENSER CLEANING),*, 
2000-05-03,DIABLO CANYON 2,100, , , , 
2000-05-03,FT CALHOUN 1,100, , , , 
2000-05-03,GRAND GULF 1,100, , , , 
2000-05-03,PALO VERDE 1,100, , , , 
2000-05-03,PALO VERDE 2,100, , , , 
2000-05-03,PALO VERDE 3,19, ,COMPLETED TURBINE OVERSPEED TESTING,*, 
2000-05-03,RIVER BEND 1,100, , , , 
2000-05-03,SAN ONOFRE 2,100, , , , 
2000-05-03,SAN ONOFRE 3,100, , , , 
2000-05-03,SOUTH TEXAS 1,0,2000-03-01,REFUELING OUTAGE,*, 
2000-05-03,SOUTH TEXAS 2,100, , , , 
2000-05-03,WATERFORD 3,100, , , , 
2000-05-03,WNP-2,61, ,LOAD FOLLOWING, , 
2000-05-03,WOLF CREEK 1,100, , , , 
2000-05-04,BEAVER VALLEY 1,100, , , , 
2000-05-04,BEAVER VALLEY 2,100, , , , 
2000-05-04,CALVERT CLIFFS 1,100, , , , 
2000-05-04,CALVERT CLIFFS 2,100, , , , 
2000-05-04,FITZPATRICK 1,100, , , , 
2000-05-04,GINNA 1,100, , , , 
2000-05-04,HOPE CREEK 1,0,2000-04-21,REFUELING OUTAGE - DEFUELED, , 
2000-05-04,INDIAN POINT 2,0,2000-02-15,MAINTENANCE/REFUELING OUTAGE - DEFUELED, , 
2000-05-04,INDIAN POINT 3,100, , , , 
2000-05-04,LIMERICK 1,91, ,XENON TRANSIENT,*, 
2000-05-04,LIMERICK 2,100, , , , 
2000-05-04,MILLSTONE 2,0,2000-04-21,REFUELING OUTAGE, , 
2000-05-04,MILLSTONE 3,100, , , , 
2000-05-04,NINE MILE POINT 1,0,2000-04-30,PLANNED OUTAGE - PERFORMING NOBLE METALS INJECTION, , 
2000-05-04,NINE MILE POINT 2,100, , , , 
2000-05-04,OYSTER CREEK 1,100, , , , 
2000-05-04,PEACH BOTTOM 2,100, , , , 
2000-05-04,PEACH BOTTOM 3,100, , , , 
2000-05-04,PILGRIM 1,100, , , , 
2000-05-04,SALEM 1,100, , , , 
2000-05-04,SALEM 2,100, , , , 
2000-05-04,SEABROOK 1,100, , , , 
2000-05-04,SUSQUEHANNA 1,0,2000-03-18,REFUELING OUTAGE, , 
2000-05-04,SUSQUEHANNA 2,100, , , , 
