Date,Unit,Power,Down,Reason or Comment,Change in report (*),Number of Scrams (#)
2014-03-01,Beaver Valley 1,100, , ,*, 
2014-03-01,Beaver Valley 2,100, , ,*, 
2014-03-01,Calvert Cliffs 1,0,2014-02-16,REFUELING OUTAGE,*, 
2014-03-01,Calvert Cliffs 2,100, , , , 
2014-03-01,FitzPatrick,50, ,REPAIRING TUBE IN CONDENSER WATER BOX,*, 
2014-03-01,Ginna,100, , , , 
2014-03-01,Hope Creek 1,100, , , , 
2014-03-01,Indian Point 2,0,2014-02-23,REFUELING OUTAGE LINE 95891 OOS FOR SCHEDULED MAINTENANCE,*, 
2014-03-01,Indian Point 3,100, ,LINES 96951 AND 96952 RESTRICTED DUE TO UNIT 2 OUTAGE. LINE 95891 OOS FOR UNIT 2 OUTAGE., , 
2014-03-01,Limerick 1,100, , , , 
2014-03-01,Limerick 2,100, , , , 
2014-03-01,Millstone 2,100, , ,*, 
2014-03-01,Millstone 3,100, , , , 
2014-03-01,Nine Mile Point 1,100, , , , 
2014-03-01,Nine Mile Point 2,100, , , , 
2014-03-01,Oyster Creek,100, , ,*, 
2014-03-01,Peach Bottom 2,40, ,LOAD DROP FOR ROD SEQUENCE EXCHANGE,*, 
2014-03-01,Peach Bottom 3,100, ,JUMPERS INSTALLED AROUND MAIN GENERATOR DISCONNECT,*, 
2014-03-01,Pilgrim 1,100, , , , 
2014-03-01,Salem 1,100, , , , 
2014-03-01,Salem 2,100, , , , 
2014-03-01,Seabrook 1,100, , , , 
2014-03-01,Susquehanna 1,99, ,100% ELECTRICAL CAPABILITY,*, 
2014-03-01,Susquehanna 2,1, ,SHUTDOWN IN PROGRESS FOR PLANNED TURBINE MAINTENANCE,*, 
2014-03-01,Three Mile Island 1,100, , , , 
2014-03-01,Vermont Yankee,100, , , , 
2014-03-01,Browns Ferry 1,100, , , , 
2014-03-01,Browns Ferry 2,100, , , , 
2014-03-01,Browns Ferry 3,0,2014-02-14,REFUELING OUTAGE, , 
2014-03-01,Brunswick 1,0,2014-02-28,ENTERING REFUELING OUTAGE,*, 
2014-03-01,Brunswick 2,100, , , , 
2014-03-01,Catawba 1,100, , , , 
2014-03-01,Catawba 2,100, , , , 
2014-03-01,Farley 1,100, , , , 
2014-03-01,Farley 2,100, , , , 
2014-03-01,Harris 1,100, , , , 
2014-03-01,Hatch 1,0,2014-02-17,REFUELING OUTAGE, , 
2014-03-01,Hatch 2,100, , , , 
2014-03-01,McGuire 1,100, , , , 
2014-03-01,McGuire 2,100, , , , 
2014-03-01,North Anna 1,100, , , , 
2014-03-01,North Anna 2,99, , ,*, 
2014-03-01,Oconee 1,100, , , , 
2014-03-01,Oconee 2,100, , , , 
2014-03-01,Oconee 3,100, , , , 
2014-03-01,Robinson 2,100, , , , 
2014-03-01,Saint Lucie 1,100, , , , 
2014-03-01,Saint Lucie 2,100, , , , 
2014-03-01,Sequoyah 1,100, , , , 
2014-03-01,Sequoyah 2,100, , , , 
2014-03-01,Summer,100, , , , 
2014-03-01,Surry 1,100, , , , 
2014-03-01,Surry 2,100, , , , 
2014-03-01,Turkey Point 3,100, , , , 
2014-03-01,Turkey Point 4,100, , , , 
2014-03-01,Vogtle 1,100, , , , 
2014-03-01,Vogtle 2,92, ,REPAIRING HEATER DRAIN PUMP DISCHARGE VALVE,*, 
2014-03-01,Watts Bar 1,100, , , , 
2014-03-01,Braidwood 1,100, , ,*, 
2014-03-01,Braidwood 2,100, , ,*, 
2014-03-01,Byron 1,100, , , , 
2014-03-01,Byron 2,100, , , , 
2014-03-01,Clinton,98, ,100% ELECTRICAL CAPABILITY, , 
2014-03-01,D.C. Cook 1,100, , ,*, 
2014-03-01,D.C. Cook 2,100, , ,*, 
2014-03-01,Davis-Besse,0,2014-01-31,REFUELING OUTAGE COLD WEATHER ALERT, , 
2014-03-01,Dresden 2,100, , , , 
2014-03-01,Dresden 3,100, , , , 
2014-03-01,Duane Arnold,100, , , , 
2014-03-01,Fermi 2,0,2014-02-10,REFUELING OUTAGE, , 
2014-03-01,La Salle 1,10, ,NOT SYNCED TO GRID. HOLDING POWER FOR GENERATOR VIBRATION ISSUES.,*, 
2014-03-01,La Salle 2,100, , ,*, 
2014-03-01,Monticello,91, ,ENGINEERING HOLD FOR EPU TESTING, , 
2014-03-01,Palisades,0,2014-01-19,REFUELING OUTAGE - FUEL MOVEMENT IN PROGRESS, , 
2014-03-01,Perry 1,100, ,COLD WEATHER ALERT, , 
2014-03-01,Point Beach 1,65, ,REDUCED POWER FOR PLANNED MAINTENANCE,*, 
2014-03-01,Point Beach 2,100, , , , 
2014-03-01,Prairie Island 1,100, , , , 
2014-03-01,Prairie Island 2,100, , , , 
2014-03-01,Quad Cities 1,100, , , , 
2014-03-01,Quad Cities 2,94, ,COASTDOWN TO REFUELING OUTAGE,*, 
2014-03-01,Arkansas Nuclear 1,100, , , , 
2014-03-01,Arkansas Nuclear 2,100, , , , 
