Date,Unit,Power,Down,Reason or Comment,Change in report(*),Number of Scrams(#)
2002-09-01,BEAVER VALLEY 1,100.00000, , , , 
2002-09-01,BEAVER VALLEY 2,100.00000, , , , 
2002-09-01,CALVERT CLIFFS 1,100.00000, , , , 
2002-09-01,CALVERT CLIFFS 2,100.00000, , , , 
2002-09-01,FITZPATRICK 1,100.00000, , , , 
2002-09-01,GINNA 1,100.00000, , , , 
2002-09-01,HOPE CREEK 1,100.00000, , , , 
2002-09-01,INDIAN POINT 2,91.00000, ,IN PROGRESSTESTING IN PROGRESS,*, 
2002-09-01,INDIAN POINT 3,100.00000, , ,*, 
2002-09-01,LIMERICK 1,100.00000, , , , 
2002-09-01,LIMERICK 2,100.00000, , , , 
2002-09-01,MILLSTONE 2,100.00000, , , , 
2002-09-01,MILLSTONE 3,90.00000, ,WN TO REFUELING OUTAGECOASTDOWN TO REFUELING OUTAGE, , 
2002-09-01,NINE MILE POINT 1,100.00000, , , , 
2002-09-01,NINE MILE POINT 2,100.00000, , , , 
2002-09-01,OYSTER CREEK 1,100.00000, , , , 
2002-09-01,PEACH BOTTOM 2,90.00000, ,WN TO REFUELING OUTAGECOASTDOWN TO REFUELING OUTAGE,*, 
2002-09-01,PEACH BOTTOM 3,100.00000, , , , 
2002-09-01,PILGRIM 1,100.00000, , , , 
2002-09-01,SALEM 1,100.00000, , , , 
2002-09-01,SALEM 2,100.00000, , , , 
2002-09-01,SEABROOK 1,100.00000, , , , 
2002-09-01,SUSQUEHANNA 1,100.00000, , , , 
2002-09-01,SUSQUEHANNA 2,100.00000, , , , 
2002-09-01,THREE MILE ISLAND 1,100.00000, , , , 
2002-09-01,VERMONT YANKEE 1,100.00000, , , , 
2002-09-01,BROWNS FERRY 1,0.00000,03/03/1985,DDEFUELED, , 
2002-09-01,BROWNS FERRY 2,100.00000, , , , 
2002-09-01,BROWNS FERRY 3,100.00000, , , , 
2002-09-01,BRUNSWICK 1,94.00000, ,ECTRICAL CAPABILITY100% ELECTRICAL CAPABILITY, , 
2002-09-01,BRUNSWICK 2,100.00000, , , , 
2002-09-01,CATAWBA 1,100.00000, , , , 
2002-09-01,CATAWBA 2,100.00000, , , , 
2002-09-01,CRYSTAL RIVER 3,100.00000, , , , 
2002-09-01,FARLEY 1,100.00000, , , , 
2002-09-01,FARLEY 2,100.00000, , , , 
2002-09-01,HARRIS 1,100.00000, , , , 
2002-09-01,HATCH 1,100.00000, , , , 
2002-09-01,HATCH 2,100.00000, , , , 
2002-09-01,MCGUIRE 1,100.00000, , , , 
2002-09-01,MCGUIRE 2,100.00000, , , , 
2002-09-01,NORTH ANNA 1,100.00000, ,ARED DUE TO LAKE LEVEL BELOW 246.0 FT - CURRENT LEVEL IS 245.8 FTUE DECLARED DUE TO LAKE LEVEL BELOW 246.0 FT - CURRENT LEVEL IS 245.8 FT,*, 
2002-09-01,NORTH ANNA 2,100.00000, ,ARED DUE TO LAKE LEVEL BELOW 246.0 FT - CURRENT LEVEL IS 245.8 FTUE DECLARED DUE TO LAKE LEVEL BELOW 246.0 FT - CURRENT LEVEL IS 245.8 FT,*, 
2002-09-01,OCONEE 1,100.00000, , , , 
2002-09-01,OCONEE 2,100.00000, , , , 
2002-09-01,OCONEE 3,100.00000, , , , 
2002-09-01,ROBINSON 2,100.00000, , , , 
2002-09-01,SAINT LUCIE 1,100.00000, , , , 
2002-09-01,SAINT LUCIE 2,100.00000, , , , 
2002-09-01,SEQUOYAH 1,100.00000, , , , 
2002-09-01,SEQUOYAH 2,100.00000, , , , 
2002-09-01,SUMMER 1,100.00000, , , , 
2002-09-01,SURRY 1,100.00000, , , , 
2002-09-01,SURRY 2,100.00000, , , , 
2002-09-01,TURKEY POINT 3,100.00000, , , , 
2002-09-01,TURKEY POINT 4,100.00000, , , , 
2002-09-01,VOGTLE 1,100.00000, , , , 
2002-09-01,VOGTLE 2,100.00000, , , , 
2002-09-01,WATTS BAR 1,100.00000, , , , 
2002-09-01,BRAIDWOOD 1,100.00000, , , , 
2002-09-01,BRAIDWOOD 2,100.00000, , ,*, 
2002-09-01,BYRON 1,100.00000, , , , 
2002-09-01,BYRON 2,100.00000, , , , 
2002-09-01,CLINTON 1,94.00000, ,ECTRICAL CAPABILITY100% ELECTRICAL CAPABILITY,*, 
2002-09-01,COOK 1,100.00000, , , , 
2002-09-01,COOK 2,100.00000, , , , 
2002-09-01,DAVIS BESSE 1,0.00000,02/15/2002,NG OUTAGE - DEFUELEDREFUELING OUTAGE - DEFUELED, , 
2002-09-01,DRESDEN 2,62.00000, ,G POWER FOR ROD SWAPSREDUCING POWER FOR ROD SWAPS,*, 
2002-09-01,DRESDEN 3,94.00000, ,WN TO REFUELING OUTAGECOASTDOWN TO REFUELING OUTAGE,*, 
2002-09-01,DUANE ARNOLD 1,0.00000,08/30/2002,N TO REPAIR POTABLE WATER LEAK IN THE DRYWELLSHUTDOWN TO REPAIR POTABLE WATER LEAK IN THE DRYWELL, , 
2002-09-01,FERMI 2,100.00000, , , , 
2002-09-01,KEWAUNEE 1,100.00000, , , , 
2002-09-01,LASALLE 1,100.00000, , , , 
2002-09-01,LASALLE 2,50.00000, ,HANGE IN PROGRESSROD EXCHANGE IN PROGRESS,*, 
2002-09-01,MONTICELLO 1,100.00000, , , , 
2002-09-01,PALISADES 1,100.00000, , , , 
2002-09-01,PERRY 1,100.00000, , , , 
2002-09-01,POINT BEACH 1,100.00000, , , , 
2002-09-01,POINT BEACH 2,100.00000, , , , 
2002-09-01,PRAIRIE ISLAND 1,100.00000, , , , 
2002-09-01,PRAIRIE ISLAND 2,100.00000, , , , 
2002-09-01,QUAD CITIES 1,97.00000, , ,*, 
2002-09-01,QUAD CITIES 2,97.00000, ,ECTRICAL CAPABILITY100% ELECTRICAL CAPABILITY, , 
2002-09-01,ARKANSAS NUCLEAR 1,100.00000, , , , 
2002-09-01,ARKANSAS NUCLEAR 2,100.00000, , , , 
2002-09-01,CALLAWAY 1,100.00000, , , , 
2002-09-01,COLUMBIA GENERATING,65.00000, ,MAINTENANCE IN PROGRESS.PLANNED MAINTENANCE IN PROGRESS.,*, 
2002-09-01,COMANCHE PEAK 1,100.00000, , , , 
2002-09-01,COMANCHE PEAK 2,99.00000, ,ECTRICAL CAPABILITY100% ELECTRICAL CAPABILITY, , 
2002-09-01,COOPER 1,100.00000, , , , 
2002-09-01,DIABLO CANYON 1,98.00000, ,due to high turbine vibrationLimited due to high turbine vibration, , 
2002-09-01,DIABLO CANYON 2,100.00000, , , , 
2002-09-01,FT CALHOUN 1,100.00000, , , , 
2002-09-01,GRAND GULF 1,89.00000, ,WN TO REFUELING OUTAGECOASTDOWN TO REFUELING OUTAGE,*, 
2002-09-01,PALO VERDE 1,99.00000, , , , 
2002-09-01,PALO VERDE 2,98.00000, , , , 
2002-09-01,PALO VERDE 3,99.00000, , , , 
2002-09-01,RIVER BEND 1,100.00000, , , , 
2002-09-01,SAN ONOFRE 2,100.00000, , , , 
2002-09-01,SAN ONOFRE 3,85.00000, ,POWER FOR PLANNED MAINTENANCEREDUCED POWER FOR PLANNED MAINTENANCE, , 
2002-09-01,SOUTH TEXAS 1,100.00000, , , , 
2002-09-01,SOUTH TEXAS 2,100.00000, , , , 
2002-09-01,WATERFORD 3,100.00000, , , , 
2002-09-01,WOLF CREEK 1,100.00000, , , , 
2002-09-02,BEAVER VALLEY 1,100.00000, , , , 
2002-09-02,BEAVER VALLEY 2,100.00000, , , , 
2002-09-02,CALVERT CLIFFS 1,100.00000, , , , 
2002-09-02,CALVERT CLIFFS 2,100.00000, , , , 
2002-09-02,FITZPATRICK 1,100.00000, , , , 
2002-09-02,GINNA 1,100.00000, , , , 
2002-09-02,HOPE CREEK 1,100.00000, , , , 
2002-09-02,INDIAN POINT 2,100.00000, , ,*, 
2002-09-02,INDIAN POINT 3,100.00000, , , , 
2002-09-02,LIMERICK 1,100.00000, , , , 
2002-09-02,LIMERICK 2,100.00000, , , , 
2002-09-02,MILLSTONE 2,100.00000, , , , 
2002-09-02,MILLSTONE 3,89.00000, ,WN TO REFUELING OUTAGECOASTDOWN TO REFUELING OUTAGE,*, 
2002-09-02,NINE MILE POINT 1,100.00000, , , , 
2002-09-02,NINE MILE POINT 2,100.00000, , , , 
2002-09-02,OYSTER CREEK 1,100.00000, , , , 
2002-09-02,PEACH BOTTOM 2,90.00000, ,WN TO REFUELING OUTAGECOASTDOWN TO REFUELING OUTAGE, , 
2002-09-02,PEACH BOTTOM 3,100.00000, , , , 
2002-09-02,PILGRIM 1,100.00000, , , , 
2002-09-02,SALEM 1,100.00000, , , , 
2002-09-02,SALEM 2,100.00000, , , , 
2002-09-02,SEABROOK 1,100.00000, , , , 
2002-09-02,SUSQUEHANNA 1,100.00000, , , , 
2002-09-02,SUSQUEHANNA 2,100.00000, , , , 
2002-09-02,THREE MILE ISLAND 1,100.00000, , , , 
2002-09-02,VERMONT YANKEE 1,100.00000, , , , 
2002-09-02,BROWNS FERRY 1,0.00000,03/03/1985,DDEFUELED, , 
