Date,Unit,Power,Down,Reason or Comment,Change in report (*),Number of Scrams (#)
2007-10-01,Beaver Valley 1,0,2007-09-23,REFUELING OUTAGE, , 
2007-10-01,Beaver Valley 2,100, , , , 
2007-10-01,Calvert Cliffs 1,99, ,REDUCED FOR WATERBOX CLEANING,*, 
2007-10-01,Calvert Cliffs 2,100, , , , 
2007-10-01,FitzPatrick,100, , , , 
2007-10-01,Ginna,100, , , , 
2007-10-01,Hope Creek 1,90, ,COASTDOWN TO REFUELING OUTAGE, , 
2007-10-01,Indian Point 2,100, , , , 
2007-10-01,Indian Point 3,100, , , , 
2007-10-01,Limerick 1,100, , , , 
2007-10-01,Limerick 2,100, , , , 
2007-10-01,Millstone 2,100, , , , 
2007-10-01,Millstone 3,100, , , , 
2007-10-01,Nine Mile Point 1,100, , , , 
2007-10-01,Nine Mile Point 2,100, , , , 
2007-10-01,Oyster Creek,100, , , , 
2007-10-01,Peach Bottom 2,100, , , , 
2007-10-01,Peach Bottom 3,0,2007-09-23,REFUELING OUTAGE, , 
2007-10-01,Pilgrim 1,100, , , , 
2007-10-01,Salem 1,100, ,500 KV HOPE CREEK TIE LINE OOS FOR 10/1/07,*, 
2007-10-01,Salem 2,100, ,500 KV HOPE CREEK TIE LINE OOS FOR 10/1/07,*, 
2007-10-01,Seabrook 1,100, ,POWER REDUCTION THREAT DUE TO GRID WORK IN NEW ENGLAND UNTIL JANUARY, , 
2007-10-01,Susquehanna 1,100, ,VOLTAGE REGULATOR IN MANUAL, , 
2007-10-01,Susquehanna 2,100, ,VOLTAGE REGULATOR IN MANUAL, , 
2007-10-01,Three Mile Island 1,100, , , , 
2007-10-01,Vermont Yankee,100, , , , 
2007-10-01,Browns Ferry 1,100, , , , 
2007-10-01,Browns Ferry 2,100, , , , 
2007-10-01,Browns Ferry 3,100, , ,*, 
2007-10-01,Brunswick 1,100, , , , 
2007-10-01,Brunswick 2,100, , ,*, 
2007-10-01,Catawba 1,100, , , , 
2007-10-01,Catawba 2,0,2007-09-14,DEFUELED, , 
2007-10-01,Crystal River 3,100, , , , 
2007-10-01,Farley 1,0,2007-09-28,REFUELING OUTAGE, , 
2007-10-01,Farley 2,100, , , , 
2007-10-01,Harris 1,0,2007-09-28,REFUELING OUTAGE., , 
2007-10-01,Hatch 1,100, , , , 
2007-10-01,Hatch 2,100, , , , 
2007-10-01,McGuire 1,100, , , , 
2007-10-01,McGuire 2,100, , , , 
2007-10-01,North Anna 1,0,2007-09-08,REFUELING OUTAGE,*, 
2007-10-01,North Anna 2,100, , , , 
2007-10-01,Oconee 1,100, , , , 
2007-10-01,Oconee 2,100, , , , 
2007-10-01,Oconee 3,100, , , , 
2007-10-01,Robinson 2,100, ,SWITCHYARD MAINTENANCE SCHEDULED FOR 10/1/07,*, 
2007-10-01,Saint Lucie 1,86, ,CIRC PUMP SECURED DUE TO HIGH SCREEN DP,*, 
2007-10-01,Saint Lucie 2,0,2007-09-30,REFUELING OUTAGE,*, 
2007-10-01,Sequoyah 1,79, ,COASTDOWN TO REFUELING OUTAGE,*, 
2007-10-01,Sequoyah 2,100, , , , 
2007-10-01,Summer,100, , , , 
2007-10-01,Surry 1,100, , , , 
2007-10-01,Surry 2,100, , , , 
2007-10-01,Turkey Point 3,0,2007-09-02,REFUELING OUTAGE,*, 
2007-10-01,Turkey Point 4,100, , , , 
2007-10-01,Vogtle 1,97, ,100% ELECTRICAL CAPABILITY, , 
2007-10-01,Vogtle 2,98, ,100% ELECTRICAL CAPABILITY, , 
2007-10-01,Watts Bar 1,100, , , , 
2007-10-01,Braidwood 1,0,2007-10-01,REFUELING OUTAGE,*, 
2007-10-01,Braidwood 2,100, , , , 
2007-10-01,Byron 1,100, , , , 
2007-10-01,Byron 2,100, , ,*, 
2007-10-01,Clinton,97, ,100% ELECTRICAL CAPABILITY, , 
2007-10-01,D.C. Cook 1,100, , , , 
2007-10-01,D.C. Cook 2,0,2007-09-14,DEFUELED, , 
2007-10-01,Davis-Besse,100, , , , 
2007-10-01,Dresden 2,99, ,100% ELECTRICAL CAPABILITY, , 
2007-10-01,Dresden 3,100, , ,*, 
2007-10-01,Duane Arnold,98, ,100% ELECTRICAL CAPABILITY, , 
2007-10-01,Fermi 2,0,2007-09-29,REFUELING OUTAGE. PLANNED MAINTENANCE ON 345 KV BROWNSTONE LINE STARTING 9/30/07.,*, 
2007-10-01,Kewaunee,100, , , , 
2007-10-01,La Salle 1,100, , ,*, 
2007-10-01,La Salle 2,100, , , , 
2007-10-01,Monticello,100, , , , 
2007-10-01,Palisades,0,2007-09-09,REFUELING OUTAGE, , 
2007-10-01,Perry 1,100, , , , 
2007-10-01,Point Beach 1,100, , , , 
2007-10-01,Point Beach 2,100, , , , 
