Date,Unit,Power,Down,Reason or Comment,Change in report (*),Number of Scrams (#)
2006-03-01,Beaver Valley 1,0,2006-02-12,DEFUELED, , 
2006-03-01,Beaver Valley 2,100, , , , 
2006-03-01,Calvert Cliffs 1,0,2006-02-20,REFUELING OUTAGE, , 
2006-03-01,Calvert Cliffs 2,100, , , , 
2006-03-01,FitzPatrick,100, , , , 
2006-03-01,Ginna,100, , , , 
2006-03-01,Hope Creek 1,100, , , , 
2006-03-01,Indian Point 2,100, , , , 
2006-03-01,Indian Point 3,100, , , , 
2006-03-01,Limerick 1,91, ,COASTDOWN TO REFUELING OUTAGE, , 
2006-03-01,Limerick 2,100, , , , 
2006-03-01,Millstone 2,100, , , , 
2006-03-01,Millstone 3,100, , , , 
2006-03-01,Nine Mile Point 1,100, , , , 
2006-03-01,Nine Mile Point 2,91, ,COASTDOWN TO REFUELING OUTAGE, , 
2006-03-01,Oyster Creek,100, , , , 
2006-03-01,Peach Bottom 2,100, , , , 
2006-03-01,Peach Bottom 3,100, , , , 
2006-03-01,Pilgrim 1,100, , , , 
2006-03-01,Salem 1,100, , , , 
2006-03-01,Salem 2,100, , , , 
2006-03-01,Seabrook 1,100, , , , 
2006-03-01,Susquehanna 1,93, ,COASTDOWN TO REFUELING OUTAGE, , 
2006-03-01,Susquehanna 2,100, , , , 
2006-03-01,Three Mile Island 1,100, , , , 
2006-03-01,Vermont Yankee,100, , , , 
2006-03-01,Browns Ferry 1,0,1985-03-03,DEFUELED, , 
2006-03-01,Browns Ferry 2,100, , , , 
2006-03-01,Browns Ferry 3,0,2006-02-28,REFUELING OUTAGE - DRYWELL HEAD DETENSIONING IN PROGRESS,*, 
2006-03-01,Brunswick 1,95, ,COASTDOWN TO REFUELING OUTAGE, , 
2006-03-01,Brunswick 2,95, ,REDUCED POWER FOR TURBINE CONTROL VALVE TESTING,*, 
2006-03-01,Catawba 1,100, , , , 
2006-03-01,Catawba 2,100, , , , 
2006-03-01,Crystal River 3,100, , , , 
