Date,Unit,Power,Down,Reason or Comment,Change in report (*),Number of Scrams (#)
2004-02-01,Beaver Valley 1,100, , , , 
2004-02-01,Beaver Valley 2,100, , , , 
2004-02-01,Calvert Cliffs 1,100, , ,*, 
2004-02-01,Calvert Cliffs 2,100, , , , 
2004-02-01,FitzPatrick,100, , , , 
2004-02-01,Ginna,100, , , , 
2004-02-01,Hope Creek 1,55, ,REDUCED POWER FOR CR MANIPULATIONS TO IDENTIFY POTENTIAL LEAKING FUEL PIN (POWER SUPPRESSION),*, 
2004-02-01,Indian Point 2,100, , , , 
2004-02-01,Indian Point 3,100, , , , 
2004-02-01,Limerick 1,99, ,COASTDOWN TO REFUELING OUTAGE, , 
2004-02-01,Limerick 2,100, , , , 
2004-02-01,Millstone 2,100, , , , 
2004-02-01,Millstone 3,100, , , , 
2004-02-01,Nine Mile Point 1,100, , , , 
2004-02-01,Nine Mile Point 2,97, ,COASTDOWN TO REFUELING OUTAGE, , 
2004-02-01,Oyster Creek,100, , , , 
2004-02-01,Peach Bottom 2,100, , , , 
2004-02-01,Peach Bottom 3,100, , , , 
2004-02-01,Pilgrim 1,100, , , , 
2004-02-01,Salem 1,100, , , , 
2004-02-01,Salem 2,99, , , , 
2004-02-01,Seabrook 1,100, , , , 
2004-02-01,Susquehanna 1,88, ,COASTDOWN TO REFUELING OUTAGE, , 
2004-02-01,Susquehanna 2,100, , , , 
2004-02-01,Three Mile Island 1,100, , , , 
2004-02-01,Vermont Yankee,100, , , , 
2004-02-01,Browns Ferry 1,0,1985-03-03,DEFUELED, , 
2004-02-01,Browns Ferry 2,100, , , , 
2004-02-01,Browns Ferry 3,100, , ,*, 
2004-02-01,Brunswick 1,92, ,COASTDOWN TO REFUELING OUTAGE,*, 
2004-02-01,Brunswick 2,96, , , , 
2004-02-01,Catawba 1,99, ,HOLDING POWER PENDING RESOLUTION OF DIGITAL FEEDWATER PROBLEM, , 
2004-02-01,Catawba 2,100, , , , 
2004-02-01,Crystal River 3,100, , , , 
2004-02-01,Farley 1,100, , , , 
2004-02-01,Farley 2,100, , , , 
2004-02-01,Harris 1,100, , , , 
2004-02-01,Hatch 1,90, ,COASTDOWN TO REFUELING OUTAGE - INCREASING POWER TO 92%,*, 
2004-02-01,Hatch 2,100, , , , 
2004-02-01,McGuire 1,100, , , , 
2004-02-01,McGuire 2,100, , ,*, 
2004-02-01,North Anna 1,100, , , , 
2004-02-01,North Anna 2,100, , , , 
2004-02-01,Oconee 1,100, , , , 
2004-02-01,Oconee 2,100, , , , 
2004-02-01,Oconee 3,100, , , , 
2004-02-01,Robinson 2,100, , , , 
2004-02-01,Saint Lucie 1,100, , , , 
2004-02-01,Saint Lucie 2,100, , , , 
2004-02-01,Sequoyah 1,100, , , , 
2004-02-01,Sequoyah 2,100, , , , 
2004-02-01,Summer,100, , , , 
2004-02-01,Surry 1,100, , , , 
2004-02-01,Surry 2,100, , , , 
2004-02-01,Turkey Point 3,100, , , , 
2004-02-01,Turkey Point 4,100, , , , 
2004-02-01,Vogtle 1,100, , , , 
2004-02-01,Vogtle 2,35, ,REDUCED POWER TO REPAIR HYDROGEN LEAK - GENERATOR OFFLINE,*, 
2004-02-01,Watts Bar 1,100, , , , 
2004-02-01,Braidwood 1,100, , , , 
2004-02-01,Braidwood 2,100, , , , 
2004-02-01,Byron 1,100, , , , 
2004-02-01,Byron 2,100, , , , 
2004-02-01,Clinton,78, ,COASTDOWN TO REFUELING OUTAGE, , 
2004-02-01,D.C. Cook 1,100, , , , 
2004-02-01,D.C. Cook 2,100, , , , 
2004-02-01,Davis-Besse,0,2002-02-15, , , 
2004-02-01,Dresden 2,95, ,100% ELECTRICAL CAPABILITY,*, 
2004-02-01,Dresden 3,0,2004-01-30,INVESTIGATING REACTOR SCRAM.,*, 
2004-02-01,Duane Arnold,94, ,100% ELECTRICAL CAPABILITY, , 
2004-02-01,Fermi 2,100, , , , 
2004-02-01,Kewaunee,9, ,INCREASING POWER,*, 
2004-02-01,La Salle 1,0,2004-01-13,REFUELING OUTAGE, , 
2004-02-01,La Salle 2,100, , , , 
2004-02-01,Monticello,100, , , , 
2004-02-01,Palisades,100, , , , 
2004-02-01,Perry 1,100, , , , 
2004-02-01,Point Beach 1,100, , , , 
2004-02-01,Point Beach 2,100, , , , 
2004-02-01,Prairie Island 1,100, , , , 
2004-02-01,Prairie Island 2,100, , , , 
2004-02-01,Quad Cities 1,85, ,LIMITED IN POWER (STEAM DRYER MONITORING)., , 
2004-02-01,Quad Cities 2,96, ,100% ELECTRICAL CAPABILITY, , 
2004-02-01,Arkansas Nuclear 1,100, , , , 
2004-02-01,Arkansas Nuclear 2,100, , , , 
2004-02-01,Callaway,100, , , , 
2004-02-01,Columbia Generating Station,95, ,INCREASING POWER AFTER TESTIING,*, 
